"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"MEM194504150","carls102","KCM","1","4","value","26","","","1","1","0","0","19450415","0","MEM02","MEM","L","exhibition","y"
"MEM194504150","carls102","KCM","1","4","lower","26","","","1","1","0","0","19450415","0","MEM02","MEM","L","exhibition","y"
"MEM194504150","carls102","KCM","1","4","upper","26","","","1","1","0","0","19450415","0","MEM02","MEM","L","exhibition","y"
"KCM194504220","carls102","KCM","1","4","value","9","0","0","0","0","0","0","19450422","0","NOL01","CIA","W","exhibition","y"
"KCM194504220","carls102","KCM","1","4","lower","9","0","0","0","0","0","0","19450422","0","NOL01","CIA","W","exhibition","y"
"KCM194504220","carls102","KCM","1","4","upper","9","0","0","0","0","0","0","19450422","0","NOL01","CIA","W","exhibition","y"
