"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"NW2193904270","browj115","NW2","1","value","21","0","25","4","0","0","0","0","0","2","0","7","0","0","0","1","0","0","1","0","1","","","1","","","19390427","0","MAC01","ATN","w","exhibition","y"
"NW2193905171","browj115","NW2","1","value","27","0","36","7","0","0","0","2","2","3","0","0","0","0","0","0","0","0","0","0","1","","","1","","1","19390517","1","NWK04","PH5","w","regular","y"
"NW2193905212","browj115","NW2","2","value","18","0","29","5","0","1","0","1","1","6","0","0","0","0","0","0","0","0","0","0","1","","","","1","","19390521","2","NWK04","BLG","w","regular","y"
"NW2193905252","browj115","NW2","2","value","9","","10","0","0","0","0","0","0","2","","","0","0","0","0","0","","","","1","","","","1","","19390525","2","NWK04","NY6","w","regular","y"
"NW2193905270","browj115","NW2","1","value","27","0","32","3","0","0","0","0","0","2","0","6","1","0","0","0","0","2","0","0","1","","","1","","1","19390527","0","TRE01","TLC","w","regular","y"
"HOM193906042","browj115","NW2","1","value","21","","","8","","","","6","","","","","","","","","","","","","1","","","1","","1","19390604","2","BUF06","HOM","w","regular",""
"PH5193906150","browj115","NW2","1","value","27","0","31","1","0","0","0","0","0","3","0","5","0","0","0","0","0","0","0","0","1","","","1","","1","19390615","0","PHI17","PH5","w","regular","y"
"PH5193906172","browj115","NW2","1","value","13","","24","6","","","","7","","2","","","","","","","","","","","","1","","1","","","19390617","2","PHI17","PH5","l","regular","y"
"BLG193906190","browj115","NW2","1","value","0","","7","5","","","0","7","","2","","0","0","0","0","0","","0","","","","1","","1","","","19390619","0","RIC05","BLG","l","regular","y"
"NY5193907042","browj115","NW2","1","value","0","","3","0","0","0","0","0","","3","","0","0","0","0","0","0","","","","","1","","1","","","19390704","2","NYC23","NY5","l","regular","y"
"NW2193907130","browj115","NW2","1","value","0","4","4","0","0","0","0","2","2","4","0","0","0","0","0","0","0","0","0","0","","","","1","","","19390713","0","NWK04","NY5","w","regular","y"
"BLG193907232","browj115","NW2","2","value","2","0","5","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","","","","","","","19390723","2","WAS09","BLG","l","regular","y"
"NY6194106250","browj115","NW2","1","value","3","","11","5","0","0","0","5","","3","0","1","1","0","0","0","0","","","","1","","","1","","","19410625","0","HRB01","NY6","w","regular","y"
"BLG194106300","browj115","NW2","1","value","27","","42","11","3","0","0","6","","4","","3","0","0","0","0","","","","","1","","","1","","1","19410630","0","CHE01","BLG","w","regular","y"
"BLG194107180","browj115","NW2","2","value","","","","","","","","","","","","","","","","","","","","","","","","","","","19410718","0","BAL14","BLG","l","regular",""
"BLG194107190","browj115","NW2","2","value","15","","31","10","0","0","0","12","","3","0","2","1","0","0","","0","","","","","","","","1","","19410719","0","NOR04","BLG","l","exhibition","y"
"BLG194107250","browj115","NW2","2","value","","","","","","","","","","","","","","","","","","","","","","","","","","","19410725","0","BAL14","BLG","l","regular",""
"NW2194108080","browj115","NW2","2","value","14","","20","1","0","0","0","1","","2","0","2","0","0","0","1","0","","","","","","","","1","","19410808","0","RED01","NY6","l","regular","y"
"HOM194108120","browj115","NW2","1","value","24","","37","13","5","1","1","8","","1","","4","0","0","0","0","","","","","","1","","1","","1","19410812","0","ALT02","HOM","l","regular","y"
"HOM194108220","browj115","NW2","1","value","27","","39","9","0","0","0","5","","3","","5","0","0","0","0","","","","","1","","","1","","1","19410822","0","CAN03","HOM","w","regular","y"
"HOM194206100","browj115","NW2","2","value","12","","20","5","0","0","0","4","","3","0","1","1","0","0","","0","","","","","","","","1","","19420610","0","AKR01","HOM","l","exhibition","y"
"HOM194206150","browj115","NW2","2","value","8","","13","3","0","0","0","1","","2","0","0","0","0","0","","0","","","","","","","","1","","19420615","0","WAP01","HOM","l","exhibition","y"
"HOM194304251","browj115","NW2","1","value","12","","18","3","0","0","0","4","","3","0","2","0","0","0","","0","","","","","1","","1","","","19430425","1","WAS09","HOM","l","exhibition","y"
"HOM194305100","browj115","NW2","3","value","3","","3","0","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","","","1","","19430510","0","RIC04","HOM","l","exhibition","y"
"IN9194706100","browj115","IN9","1","value","24","","39","10","3","0","1","13","","4","","","0","0","0","0","","","","","","1","","1","","","19470610","0","SPR03","KCM","l","regular","y"
"CVB194706231","browj115","IN9","2","value","12","","","","","","","","","","","","","","","","","","","","","","","","1","","19470623","1","SYR04","CVB","l","regular",""
"CVB194706250","browj115","IN9","2","value","9","","11","1","0","0","0","0","","1","0","2","0","0","0","","0","","","","","","","","1","","19470625","0","ERI01","CVB","l","regular","y"
"CVB194706260","browj115","IN9","2","value","12","","","","","","1","10","","","","","","","","","","","","","","","","","1","","19470626","0","DAY03","CVB","l","regular",""
"CVB194706260","browj115","IN9","2","upper","15","","","","","","1","12","","","","","","","","","","","","","","","","","","","19470626","0","DAY03","CVB","l","regular",""
