"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NY5194705112","grifb102","NY5","","","lower","","","","","","","","","","","","","","","","","","","","","19470511","2","NYC16","NY6","L","regular",""
"NY5194705112","grifb102","NY5","","","upper","","","","","","","","","","","","","","","","","","","","","19470511","2","NYC16","NY6","L","regular",""
"NW2194705120","grifb102","NY5","","","value","","1","2","","","1","2","","","","","","","","","","","","","","19470512","0","TRE01","NW2","L","regular",""
"NW2194705120","grifb102","NY5","","","lower","2","1","2","","","1","2","","","","","","","","","","","","","","19470512","0","TRE01","NW2","L","regular",""
"NW2194705120","grifb102","NY5","","","upper","2","","2","","","1","0","","","","","","","","","","","","","","19470512","0","TRE01","NW2","L","regular",""
"BLG194705180","grifb102","NY5","9","2","value","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19470518","0","BAL14","BLG","T","regular","y"
"BLG194705180","grifb102","NY5","9","2","lower","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470518","0","BAL14","BLG","T","regular","y"
"BLG194705180","grifb102","NY5","9","2","upper","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470518","0","BAL14","BLG","T","regular","y"
"PH5194705200","grifb102","NY5","9","3","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","1","","19470520","0","WIL04","PH5","L","regular","y"
"PH5194705200","grifb102","NY5","9","3","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470520","0","WIL04","PH5","L","regular","y"
"PH5194705200","grifb102","NY5","9","3","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470520","0","WIL04","PH5","L","regular","y"
"HOM194705220","grifb102","NY5","","","value","","","","","","","","","","","","","","","","","","","","","19470522","0","WAS09","HOM","L","regular",""
"HOM194705220","grifb102","NY5","","","lower","","","","","","","","","","","","","","","","","","","","","19470522","0","WAS09","HOM","L","regular",""
"HOM194705220","grifb102","NY5","","","upper","","","","","","","","","","","","","","","","","","","","","19470522","0","WAS09","HOM","L","regular",""
"HOM194705241","grifb102","NY5","5","2","value","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","1","","19470524","1","PIT06","HOM","L","regular","y"
"HOM194705241","grifb102","NY5","5","2","lower","","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19470524","1","PIT06","HOM","L","regular","y"
"HOM194705241","grifb102","NY5","5","2","upper","","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19470524","1","PIT06","HOM","L","regular","y"
"PH5194705262","grifb102","NY5","9","2","value","0","0","0","0","0","0","0","0","","0","1","","","1","","","0","","","","19470526","2","PHI11","PH5","T","regular","y"
"PH5194705262","grifb102","NY5","9","2","lower","0","0","0","0","0","0","0","0","","0","","","","1","","","0","","","","19470526","2","PHI11","PH5","T","regular","y"
"PH5194705262","grifb102","NY5","9","2","upper","0","0","0","0","0","0","0","0","","0","","","","1","","","0","","","","19470526","2","PHI11","PH5","T","regular","y"
"BLG194705301","grifb102","NY5","2","4","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","1","","19470530","1","BAL14","BLG","L","regular","y"
"BLG194705301","grifb102","NY5","2","4","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470530","1","BAL14","BLG","L","regular","y"
