"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"KCM193807150","reedj102","CAG","2","value","","","","","","","","","","","","","","","","","","","","","1","","","","","","19380715","0","WIN01","KCM","w","regular",""
"CAG193807161","reedj102","CAG","2","value","","","","","","","","","","","","","","","","","","","","","","","","","","","19380716","1","WIN01","KCM","l","regular",""
"CAG194209100","reedj102","BIR","2","value","","","","","","","","","","","","","","","","","","","","","","","","","","","19420910","0","DAL01","CAG","l","exhibition",""
