"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"BIR194504081","robij103","KCM","1","6","value","27","2","3","0","0","0","","","","","1","19450408","1","BIR01","BIR","w","exhibition","y"
"KCM194504220","robij103","KCM","1","6","value","18","2","1","0","0","0","","","","","1","19450422","0","NOL01","CIA","w","exhibition","y"
"KCM194505040","robij103","KCM","1","6","value","","1","0","0","0","0","","","","","","19450504","0","OKC02","CIA","w","exhibition","y"
"KCM194505060","robij103","KCM","1","6","value","27","0","3","0","1","0","","","","","1","19450506","0","KAN05","CAG","w","regular","y"
"KCM194505090","robij103","KCM","1","6","value","27","3","4","1","0","0","","","","","1","19450509","0","OKC02","CAG","l","regular","y"
"KCM194505131","robij103","KCM","1","6","value","27","2","5","1","0","0","","","","","1","19450513","1","KAN05","BIR","w","regular","y"
"KCM194505132","robij103","KCM","1","6","value","21","0","5","0","0","0","","","","","1","19450513","2","KAN05","BIR","w","regular","y"
"CAG194505201","robij103","KCM","1","6","value","27","1","0","0","0","0","","","","","1","19450520","1","COL05","CAG","w","regular","y"
"CAG194505250","robij103","KCM","1","6","value","27","","","0","0","0","","","","","1","19450525","0","SPR03","CAG","w","regular","y"
"CAG194505270","robij103","KCM","1","6","value","24","","9","0","0","0","","","","","1","19450527","0","CHI10","CAG","l","regular","y"
"CAG194505280","robij103","KCM","1","6","value","24","","","0","0","0","","","","","1","19450528","0","MIL03","CAG","l","regular","y"
"CAG194505290","robij103","KCM","1","6","value","27","","","0","0","0","","","","","1","19450529","0","RAC01","CAG","w","regular","y"
"CAG194505310","robij103","KCM","1","6","value","21","","","0","0","0","","","","","1","19450531","0","SPR03","CAG","w","regular","y"
"BIR194506031","robij103","KCM","1","6","value","27","","","0","0","0","","","","","1","19450603","1","BIR01","BIR","w","regular","y"
"KCM194506101","robij103","KCM","1","6","value","27","2","3","0","0","0","","","","","1","19450610","1","KAN05","CIA","w","regular","y"
"KCM194506102","robij103","KCM","1","6","value","21","3","3","1","0","0","","","","","1","19450610","2","KAN05","CIA","l","regular","y"
"KCM194506110","robij103","KCM","1","6","value","27","3","1","1","0","0","","","","","1","19450611","0","KAN05","CIA","w","regular","y"
"PH5194506180","robij103","KCM","1","6","value","24","1","1","0","0","0","","","","","1","19450618","0","PHI11","PH5","l","exhibition","y"
"HOM194506230","robij103","KCM","1","6","value","24","1","2","1","1","0","","","","","1","19450623","0","WIL04","HOM","l","exhibition","y"
"HOM194506241","robij103","KCM","1","6","value","24","3","","1","2","0","","","","","1","19450624","1","WAS09","HOM","l","exhibition","y"
"PHB194506251","robij103","KCM","1","6","value","26","0","0","1","0","0","","","","","1","19450625","1","PHI11","PHB","l","exhibition","y"
