"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"KCM193804102","bryar102","PH5","1","value","9","","19","10","","","0","4","","","","","","","","","","","","","","1","","1","","","19380410","2","HOU01","KCM","l","exhibition","y"
"PH5193804130","bryar102","PH5","3","value","9","","14","5","0","","0","3","","0","","2","","","","","","","","","","","","","1","","19380413","0","GAL01","HOM","l","exhibition","y"
