"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"NY5194105111","fillj101","PH5","1","value","24","","39","9","0","0","1","5","","3","","2","0","0","0","1","1","","","","","1","","1","","1","19410511","1","NYC16","NY5","l","regular","y"
"PH5194105241","fillj101","PH5","1","value","10","","22","7","0","0","0","7","7","6","0","3","1","0","0","0","0","","","","","","","1","","","19410524","1","PHI17","NY5","w","regular","y"
"PH5194105242","fillj101","PH5","1","value","21","","30","8","2","0","0","5","","3","","2","0","0","0","1","","","","","","1","","1","","1","19410524","2","PHI17","NY5","l","regular","y"
"HOM194106012","fillj101","PH5","1","value","18","","27","6","1","0","0","5","","2","","2","1","0","0","0","1","","","","","1","","1","","1","19410601","2","WAS09","HOM","l","regular","y"
"PH5194106142","fillj101","PH5","2","value","6","","9","2","0","0","0","1","","","0","","0","0","0","","0","","","","","","","","1","","19410614","2","PHI17","NW2","l","regular","y"
"PH5194106211","fillj101","PH5","1","value","18","","26","7","0","0","0","4","4","2","0","","0","0","0","","0","","","","","1","","1","","","19410621","1","PHI17","BLG","l","regular","y"
"PH5194106260","fillj101","PH5","1","value","18","","31","11","2","1","0","7","7","2","","","0","0","0","0","","","","","","1","","1","","1","19410626","0","PHI17","NY6","l","regular","y"
"PH5194107050","fillj101","PH5","1","value","27","","44","11","1","2","1","9","","2","","3","0","0","0","0","","","","","","1","","1","","1","19410705","0","PHI17","BLG","l","regular","y"
"PH5194107121","fillj101","PH5","2","value","10","","20","9","0","0","0","5","","0","0","","0","0","0","","0","","","","","","","","","","19410712","1","PHI17","MEM","l","exhibition","y"
"HOM194108010","fillj101","PH5","1","value","24","","","11","","","","7","","","","","","","","","","","","","","1","","1","","1","19410801","0","BUT01","HOM","l","regular",""
"PH5194108090","fillj101","PH5","1","value","27","","36","8","1","1","0","4","","","","","0","0","0","0","","","","","1","","","1","","1","19410809","0","PHI17","BIR","w","exhibition","y"
"PH5194109012","fillj101","PH5","1","value","27","","39","8","0","0","0","10","","","","","0","0","0","0","","","","","","1","","1","","1","19410901","2","PHI17","NY6","l","regular","y"
"PH5194109071","fillj101","PH5","1","value","21","","31","7","0","0","1","3","","2","","0","0","0","0","0","","","","","1","","","1","","1","19410907","1","WAS09","NY5","w","regular","y"
"MEM194109141","fillj101","NY5","1","value","30","","","7","","","","6","","1","","","","","","","","","","","","1","","1","","1","19410914","1","LRK02","MEM","l","exhibition",""
"NAL194109210","fillj101","NNL","1","value","29","","40","5","0","1","0","3","","5","","6","0","0","0","2","1","","","","","1","","1","","1","19410921","0","MEM03","NAL","l","regular","y"
"BIR194109282","fillj101","NY5","1","value","18","","","","","","","3","","","","","","","","","","","","","1","","","1","","1","19410928","2","BIR01","BIR","w","exhibition",""
"TWA194110080","fillj101","ECG","2","value","12","","23","4","","","0","4","4","6","","3","0","0","0","0","","","","","","","","","1","","19411008","0","LOS02","TWA","l","exhibition","y"
"ECG194110191","fillj101","ECG","2","value","2","","8","2","","","0","2","2","4","","0","0","1","0","0","","","","","","1","","","","","19411019","1","LOS02","PIR","l","exhibition","y"
"BLG194205100","fillj101","PH5","2","value","0","","1","0","0","0","0","0","","1","0","0","0","0","0","0","0","","","","","","","","","","19420510","0","BAL10","BLG","l","regular","y"
"PH5194205162","fillj101","PH5","2","value","4","","9","3","0","0","0","4","","2","0","","0","0","0","","0","","","","","","","","","","19420516","2","PHI17","NW2","l","regular","y"
"PH5194205250","fillj101","PH5","1","value","27","","36","9","2","0","2","3","","0","","5","0","0","0","0","","","","","1","","","1","","1","19420525","0","CHA02","BLG","w","exhibition","y"
"PH5194206072","fillj101","PH5","1","value","24","","36","8","3","1","0","2","","2","","","0","0","0","0","","","","","1","","","1","","1","19420607","2","PHI17","NW2","w","regular","y"
"PH5194206200","fillj101","PH5","1","value","27","","38","8","0","0","1","7","","3","","","0","0","0","0","","","","","","1","","1","","1","19420620","0","PHI17","HOM","l","regular","y"
"PH5194207020","fillj101","PH5","1","value","25","","35","11","0","0","0","7","7","5","0","","0","0","0","","0","","","","1","","","1","","","19420702","0","PHI17","NY6","w","regular","y"
"PH5194207160","fillj101","PH5","1","value","27","","38","9","0","0","0","9","","3","","","0","0","0","0","","","","","","1","","1","","1","19420716","0","PHI17","NW2","l","regular","y"
"PH5194207230","fillj101","PH5","2","value","7","","9","2","0","0","0","0","0","0","0","","0","0","0","","0","","","","","","","","1","","19420723","0","PHI17","BLG","l","regular","y"
"PH5194207240","fillj101","PH5","2","value","1","","1","0","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","","","1","","19420724","0","HRB01","BIR","w","exhibition","y"
"PH5194207250","fillj101","PH5","1","value","27","","33","3","0","0","1","3","","","","","0","0","0","0","","","","","1","","","1","","1","19420725","0","PHI17","BIR","w","exhibition","y"
"PH5194207300","fillj101","PH5","1","value","27","","35","7","0","0","0","4","","","","","0","0","0","0","","","","","1","","","1","","1","19420730","0","PHI17","CAG","w","exhibition","y"
"PH5194208010","fillj101","PH5","1","value","12","","18","6","0","0","0","4","","","0","","0","0","0","","0","","","","","","","1","","","19420801","0","PHI17","NY5","l","regular","y"
"PH5194208060","fillj101","PH5","2","value","6","","10","2","0","0","0","1","","1","0","","0","0","0","","0","","","","","","","","1","","19420806","0","PHI17","KCM","l","exhibition","y"
"PH5194208090","fillj101","PH5","1","value","21","","35","7","2","0","0","7","","3","","2","0","0","0","0","","","","","","1","","1","","1","19420809","0","ROC04","NY5","l","exhibition","y"
"PH5194208200","fillj101","PH5","2","value","9","","","","","","","0","","","","","","","","","","","","","1","","","","1","","19420820","0","PHI17","MEM","w","exhibition",""
"PH5194208240","fillj101","PH5","1","value","27","","38","4","0","0","0","4","","1","","7","1","0","0","0","1","","","","","","","1","","1","19420824","0","PHI17","HOM","t","exhibition","y"
"KCM194208301","fillj101","PH5","3","value","3","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","","19420830","1","CHI10","KCM","l","regular","y"
"BLG194209061","fillj101","PH5","1","value","34","","49","9","0","0","0","4","2","4","0","4","0","0","0","2","0","","","","","1","","1","","","19420906","1","BAL14","BLG","l","regular","y"
"PH5194508072","fillj101","PH5","2","value","18","","28","8","0","0","0","7","","2","0","","0","0","0","","0","","","","1","","","","1","","19450807","2","PHI11","BIR","w","exhibition","y"
"PH5194508110","fillj101","PH5","1","value","27","","37","5","1","0","1","6","","2","","1","0","0","0","0","","","","","1","","","1","","1","19450811","0","PHI17","HOM","w","regular","y"
"PH5194508180","fillj101","PH5","1","value","27","3","40","11","0","0","0","7","6","0","0","","0","0","0","","0","","","","","1","","1","","","19450818","0","PHI17","BLG","l","regular","y"
"NY6194509162","fillj101","PH5","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19450916","2","NYC14","NY6","l","exhibition",""
"NY6194604211","fillj101","PH5","1","value","9","","15","5","0","0","0","6","","1","0","3","0","0","0","","0","","","","","","","1","","","19460421","1","NYC14","NY6","l","exhibition","y"
"PH5194605060","fillj101","PH5","1","value","7","","15","4","0","0","1","4","","4","0","","0","0","0","1","0","","","","","","","1","","","19460506","0","WIL04","NW2","l","regular","y"
"PH5194605200","fillj101","PH5","1","value","27","","","","","","","1","","","","","","","","","","","","","1","","","1","","1","19460520","0","NOR02","NW2","w","regular",""
"PH5194605250","fillj101","PH5","1","value","27","","40","7","0","0","0","4","","","","","0","0","0","0","","","","","1","","","1","","1","19460525","0","PHI17","NY6","w","regular","y"
"NW2194605302","fillj101","PH5","1","value","18","","29","9","1","0","0","6","","2","","1","0","0","0","0","","","","","","1","","1","","1","19460530","2","NWK04","NW2","l","regular","y"
"PH5194606080","fillj101","PH5","2","value","9","","11","1","0","0","0","0","","0","0","","0","0","0","","0","","","","1","","","","1","","19460608","0","PHI17","NY5","w","regular","y"
"PH5194606131","fillj101","PH5","4","value","4","","5","1","0","0","0","0","","0","0","","0","0","0","0","0","","","","","","","","1","","19460613","1","PHI11","NY6","t","regular","y"
"PH5194606182","fillj101","PH5","1","value","6","3","12","5","0","0","0","5","","1","0","3","0","0","0","0","0","","","","","","","1","","","19460618","2","WIL04","NY5","w","regular","y"
"PH5194606220","fillj101","PH5","1","value","27","","33","6","0","0","0","0","0","","","","0","0","0","0","","","","","1","","","1","","1","19460622","0","PHI17","NY5","w","regular","y"
"PH5194607041","fillj101","PH5","1","value","15","","22","5","0","0","0","4","","","0","","0","0","0","","0","","","","1","","","1","","","19460704","1","PHI17","BLG","w","regular","y"
"PH5194607081","fillj101","PH5","2","value","1","","5","3","0","0","0","3","","1","0","0","0","0","0","0","0","","","","","","","","","","19460708","1","PHI11","NY5","l","regular","y"
"BLG194607101","fillj101","PH5","1","value","25","","33","8","0","1","0","3","","1","","2","0","0","0","0","","","","","","1","","1","","1","19460710","1","WAS09","BLG","l","regular","y"
"NW2194607142","fillj101","PH5","1","value","21","","27","6","0","0","0","3","","","","","0","0","0","0","","","","","1","","","1","","1","19460714","2","NWK04","NW2","w","regular","y"
"PH5194607180","fillj101","PH5","2","value","4","","4","0","0","0","0","0","","","0","","0","0","0","","0","","","","","","","","1","","19460718","0","PHI17","NY5","l","regular","y"
