"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"NW2194306061","riche101","NW2","1","6","value","27","1","4","0","1","0","","","","","1","19430606","1","NWK04","NY5","w","regular","y"
"NW2194306062","riche101","NW2","1","6","value","21","","","0","1","0","0","","","","","19430606","2","NWK04","NY5","w","regular",""
"BLG194306120","riche101","NW2","1","6","value","","2","1","1","1","0","","","","","1","19430612","0","BAL14","BLG","l","regular","y"
"HSL194306180","riche101","NW2","1","6","value","24","1","4","3","0","0","","","","","1","19430618","0","HRB01","HSL","l","regular","y"
"HSL194306190","riche101","NW2","1","6","value","24","3","3","1","2","0","","","","","1","19430619","0","WIL05","HSL","l","regular","y"
"HSL194306200","riche101","NW2","1","6","value","33","1","4","0","0","0","","","","","1","19430620","0","HRB01","HSL","w","regular","y"
"NW2194306271","riche101","NW2","1","6","value","27","","","0","1","0","","","","","1","19430627","1","NWK04","HOM","l","regular","y"
"NW2194307020","riche101","NW2","1","6","value","27","2","2","1","2","0","","","","","1","19430702","0","RIC04","HOM","l","regular","y"
"HOM194307041","riche101","NW2","1","6","value","24","3","3","0","1","0","","","","","1","19430704","1","WAS09","HOM","l","regular","y"
"HOM194307042","riche101","NW2","1","6","value","18","3","2","0","0","0","","","","","1","19430704","2","WAS09","HOM","l","regular","y"
"NY5194307112","riche101","NW2","1","6","value","27","3","3","0","1","0","","","","","1","19430711","2","NYC16","NY5","w","regular","y"
