"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PH5193806010","cainm101","PTC","1","value","16","","28","8","","","0","6","","5","","4","0","","","","","","","","1","","","1","","","19380601","0","CHE02","PH5","w","regular","y"
"WBS193806192","cainm101","PTC","3","value","7","","12","5","","","0","3","","0","","0","0","","","","","","","","","","","","1","","19380619","2","WAS09","WBS","l","regular","y"
"PTC193807022","cainm101","PTC","2","value","","","","","","","","","","","","","","","","","","","","","","1","","","1","","19380702","2","GRE04","HOM","l","regular",""
"SAS193810020","cainm101","NAS","3","value","6","0","11","2","0","0","0","2","1","3","0","1","0","0","0","0","0","0","0","0","","","","","1","","19381002","0","MEM02","SAS","l","allstar","y"
"MLS193910080","cainm101","NNS","1","value","3","4","9","4","0","0","1","3","2","1","0","1","0","0","0","0","0","0","0","0","","1","","1","","","19391008","0","BAL09","MLS","l","exhibition","y"
"ASW195808240","cainm101","ASW","3","value","9","0","9","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","","","","","1","","19580824","0","CHI10","ASE","l","allstar","y"
"ASW195808310","cainm101","ASW","2","value","6","","","2","","","0","2","2","1","","","","","","","1","2","","","","1","","","1","","19580831","0","NYC16","ASE","l","allstar",""
