"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BLG194704130","robij104","CAG","1","6","value","","2","1","0","0","0","0","19470413","0","NSH02","BLG","L","exhibition","y"
"BLG194704130","robij104","CAG","1","6","lower","","2","1","0","0","0","0","19470413","0","NSH02","BLG","L","exhibition","y"
"BLG194704130","robij104","CAG","1","6","upper","","2","1","0","0","0","0","19470413","0","NSH02","BLG","L","exhibition","y"
"KCM194705040","robij104","CAG","1","5","value","18","0","2","0","0","0","0","19470504","0","KAN05","KCM","L","regular","y"
"KCM194705040","robij104","CAG","1","5","lower","18","0","2","0","0","0","0","19470504","0","KAN05","KCM","L","regular","y"
"KCM194705040","robij104","CAG","1","5","upper","18","0","2","0","0","0","0","19470504","0","KAN05","KCM","L","regular","y"
"KCM194705080","robij104","CAG","1","9","value","9","0","0","0","0","0","0","19470508","0","KAN05","KCM","L","regular","y"
"KCM194705080","robij104","CAG","1","9","lower","9","0","0","0","0","0","0","19470508","0","KAN05","KCM","L","regular","y"
"KCM194705080","robij104","CAG","1","9","upper","9","0","0","0","0","0","0","19470508","0","KAN05","KCM","L","regular","y"
