"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"CV9193905211","smitg106","ATN","1","value","24","0","38","5","2","0","0","5","0","5","0","6","1","0","0","0","0","0","0","1","","1","","1","","1","19390521","1","CLE06","CV9","l","regular","y"
"KCM193905282","smitg106","ATN","1","value","18","0","35","11","2","2","1","9","8","4","0","5","2","0","0","1","0","2","0","3","","1","","1","","1","19390528","2","KAN05","KCM","l","regular","y"
