"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"BIR194504180","smito102","CIA","1","value","27","","","3","","","","0","0","3","","3","","","","","","1","","","1","","1","19450418","0","ATL04","BIR","W","exhibition",""
"BIR194504180","smito102","CIA","1","lower","27","","","3","","","","0","0","3","","3","","","","","","","","","","","","19450418","0","ATL04","BIR","W","exhibition",""
"BIR194504180","smito102","CIA","1","upper","27","","","3","","","","0","0","3","","3","","","","","","","","","","","","19450418","0","ATL04","BIR","W","exhibition",""
"CIA194504270","smito102","CIA","2","value","","","","","","","","","","","","","","","","","","1","","","","1","","19450427","0","SAT01","KCM","W","exhibition",""
"CIA194504270","smito102","CIA","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19450427","0","SAT01","KCM","W","exhibition",""
"CIA194504270","smito102","CIA","2","upper","","","","","","","","","","","","","","","","","","","","","","","","19450427","0","SAT01","KCM","W","exhibition",""
"CIA194505020","smito102","CIA","1","value","","","","","","","","","","","","","","","","","","","","","1","","","19450502","0","FTW01","KCM","L","exhibition",""
"CIA194505020","smito102","CIA","1","lower","","","","","","","","","","","","","","","","","","","","","","","","19450502","0","FTW01","KCM","L","exhibition",""
"CIA194505020","smito102","CIA","1","upper","","","","","","","","","","","","","","","","","","","1","","","","","19450502","0","FTW01","KCM","L","exhibition",""
"KCM194505040","smito102","CIA","1","value","14","","27","11","","","0","7","","2","","","0","0","0","","","","1","","1","","","19450504","0","OKC02","KCM","L","exhibition","y"
"KCM194505040","smito102","CIA","1","lower","","","","","","","0","","","","","","0","0","0","","","","","","","","","19450504","0","OKC02","KCM","L","exhibition","y"
"KCM194505040","smito102","CIA","1","upper","","","","","","","0","","","","","","0","0","0","","","","","","","","","19450504","0","OKC02","KCM","L","exhibition","y"
"CIA194505220","smito102","CIA","1","value","3","","","","","","","2","","","","","","","","","","","1","","1","","","19450522","0","COL05","CVB","L","regular",""
"CIA194505220","smito102","CIA","1","lower","3","","","","","","","2","","","","","","","","","","","","","","","","19450522","0","COL05","CVB","L","regular",""
"CIA194505220","smito102","CIA","1","upper","6","","","","","","","3","","","","","","","","","","","","","","","","19450522","0","COL05","CVB","L","regular",""
"BIR194505271","smito102","CIA","5","value","4","","6","2","","","","1","","1","","","","","","","","","1","","","1","","19450527","1","BIR01","BIR","L","regular","y"
"BIR194505271","smito102","CIA","5","lower","","","","","","","","","","","","","","","","","","","","","","","","19450527","1","BIR01","BIR","L","regular","y"
"BIR194505271","smito102","CIA","5","upper","","","","","","","","","","","","","","","","","","","","","","","","19450527","1","BIR01","BIR","L","regular","y"
"BIR194505280","smito102","CIA","1","value","3","","","","","","","","","","","","","","","","","","","","1","","","19450528","0","MTG01","BIR","W","regular",""
"BIR194505280","smito102","CIA","1","lower","3","","","","","","","","","","","","","","","","","","","","","","","19450528","0","MTG01","BIR","W","regular",""
"BIR194505280","smito102","CIA","1","upper","","","","","","","","","","","","","","","","","","1","","","","","","19450528","0","MTG01","BIR","W","regular",""
"BIR194505290","smito102","CIA","1","value","12","","","","","","","","","","","","","","","","","","1","","1","","","19450529","0","MTG01","BIR","L","regular",""
"BIR194505290","smito102","CIA","1","lower","12","","","","","","","","","","","","","","","","","","","","","","","19450529","0","MTG01","BIR","L","regular",""
"BIR194505290","smito102","CIA","1","upper","12","","","","","","","","","","","","","","","","","","","","","","","19450529","0","MTG01","BIR","L","regular",""
