ID,last,first
barrg901,Barr,George
branu901,Brannan,
carnu901,Carnicella,
connt901,Connolly,Tommy
craij901,Craig,John
dinnb101,Dinneen,Bill
donnc901,Donnelly,Charles
donnu901,Donnelly,
eraau901,Eraat,
geish901,Geisel,Harry
guthb901,Guthrie,Bill
harrm103,Harris,Mo
hildg101,Hildebrand,George
klemb901,Klem,Bill
lee-u901,Lee,
mageg901,Magerkurth,George
mcgob901,McGowan,Bill
morac102,Moran,Charlie
morig101,Moriarty,George
nalld901,Nallin,Dick
ormsr901,Ormsby,Red
owenb901,Owens,Brick
pfirc901,Pfirman,Cy
quige901,Quigley,Ernie
rearb901,Reardon,Beans
riglc901,Rigler,Cy
rilee901,Riley,Edward
spenh901,Spencer,Henry
stard901,Stark,Dolly
taylb108,Taylor,Ben
vangr901,Van Graflan,Roy
walkh901,Walker,Harry
weicu901,Weichert,
younu901,Young,
