ID,last,first
andre101,Andrews,Ed
arnof901,Arnold,Frank
bakep101,Baker,Phil
barnb101,Barnie,Billy
beate101,Beatin,Ed
bellf101,Bell,Frank
bittr101,Bittmann,Red
buffc101,Buffinton,Charlie
burnw801,Burnham,Watch
bushd101,Bushong,Doc
butlc901,Butler,Nathan
carlb901,Carlin,Billy
connt103,Connell,Terry
creiu901,Creighton,Ed
crosl101,Cross,Lave
currw101,Curry,Wes
dailj101,Dailey,John
danic901,Daniels,Charles
dwyef101,Dwyer,Frank
ellij104,Ellick,Joe
ewinj101,Ewing,John
fergb101,Ferguson,Bob
fessw801,Fessenden,Wally
gaffj801,Gaffney,John
galvj103,Galvin,Pud
goldf101,Goldsmith,Fred
grubh101,Gruber,Henry
gunnt101,Gunning,Tom
gunsj101,Gunson,Joe
haddg101,Haddock,George
hatfg101,Hatfield,Gil
heckg101,Hecker,Guy
hendh102,Henderson,Hardie
henge801,Hengel,Ed
hollj901,Holland,Jack
jenna101,Jennings,Alamazoo
joseu901,Jose,Victor
kerij101,Kerins,John
knigl101,Knight,Lon
lynct901,Lynch,Tom
mccaj103,McCarthy,John
mccat103,McCarthy,Tommy
mcgij102,McGinnis,Jumbo
mcleb901,McLean,Billy
mcquj902,McQuaid,Jack
oconj104,O'Connor,Jack
odayh101,O'Day,Hank
paasw901,Paasch,Bill
peopj101,Peoples,Jimmy
pikel101,Pike,Lip
powep101,Powers,Phil
quinb901,Quinn,Billy
sandb101,Sanders,Ben
sommp101,Sommers,Andy
sulld901,Sullivan,Dave
sullm103,Sullivan,Marty
sutcs101,Sutcliffe,Sy
tenej101,Tener,John
weedu901,Weden,Charles
woodg104,Wood,George
zimmc101,Zimmer,Chief
