SEQ is the sequence number for ordering the teams under one franchise ID
For example: (1) PHA, (2) KC1, (3) OAK
END is 0 for current teams
TEAMID,LEAGUE,START,END,CITY,NICKNAME,FRANCHID,SEQ
PIT,NL,1887,0,Pittsburgh,Pirates,PT1,2
PTF,FL,1914,1915,Pittsburgh,Rebels,PTF,1
PTP,PL,1890,1890,Pittsburgh,Burghers,PTP,1
PTU,UA,1884,1884,Pittsburgh,Unions,PTU,1
RC1,NA,1871,1871,Rockford,Forest Citys,RC1,1
RC2,AA,1890,1890,Rochester,Hop Bitters,RC2,1
RIC,AA,1884,1884,Richmond,Virginias,RIC,1
SDN,NL,1969,0,San Diego,Padres,SDN,1
SE1,AL,1969,1969,Seattle,Pilots,SE1,1
MIL,AL,1970,1997,Milwaukee,Brewers,SE1,2
MIL,NL,1998,0,Milwaukee,Brewers,SE1,3
SEA,AL,1977,0,Seattle,Mariners,SEA,1
SL1,NA,1875,1875,St. Louis,Red Stockings,SL1,1
SL2,NA,1875,1875,St. Louis,Brown Stockings,SL2,1
SL3,NL,1876,1877,St. Louis,Brown Stockings,SL2,2
SL4,AA,1882,1891,St. Louis,Cardinals,SL4,1
SLN,NL,1892,0,St. Louis,Cardinals,SL4,2
SLF,FL,1914,1915,St. Louis,Terriers,SLF,1
SLU,UA,1884,1884,St. Louis,Maroons,SLU,1
SL5,NL,1885,1886,St. Louis,Maroons,SLU,2
SPU,UA,1884,1884,St. Paul,Saints,SPU,1
SR1,NL,1879,1879,Syracuse,Stars,SR1,1
SR2,AA,1890,1890,Syracuse,Stars,SR2,1
TBA,AL,1998,0,Tampa Bay,Devil Rays,TBA,1
TL1,AA,1884,1884,Toledo,Blue Stockings,TL1,1
TL2,AA,1890,1890,Toledo,Maumees,TL2,1
TOR,AL,1977,0,Toronto,Blue Jays,TOR,1
TRN,NL,1879,1882,Troy,Trojans,TRN,1
NY1,NL,1883,1957,New York,Giants,TRN,2
SFN,NL,1958,0,San Francisco,Giants,TRN,3
TRO,NA,1871,1872,Troy,Haymakers,TRO,1
WIL,UA,1884,1884,Wilmington,Quicksteps,WIL,1
WOR,NL,1880,1882,Worcester,Ruby Legs,WOR,1
WS1,AL,1901,1960,Washington,Senators,WS1,1
MIN,AL,1961,0,Minnesota,Twins,WS1,2
WS2,AL,1961,1971,Washington,Senators,WS2,1
TEX,AL,1972,0,Texas,Rangers,WS2,2
WS3,NA,1871,1872,Washington,Olympics,WS3,1
WS4,NA,1872,1872,Washington,Nationals,WS4,1
WS5,NA,1873,1873,Washington,Nationals,WS5,1
WS6,NA,1875,1875,Washington,Nationals,WS6,1
WS7,AA,1884,1884,Washington,Nationals,WS7,1
WS8,NL,1886,1889,Washington,Senators,WS8,1
WS9,AA,1891,1891,Washington,Senators,WS9,1
WSN,NL,1892,1899,Washington,Senators,WS9,2
WSU,UA,1884,1884,Washington,Nationals,WSU,1
