ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,X,Notes,Accepted
1897N0001,alleb103,1897,BSN,O,,G,PIT189707160,1,0,,,,Allen PR in 9th,
1897N0004,clarb103,1897,BLN,O,,G,PHI189705060,1,0,,,,,
1897N0005,clarb103,1897,BLN,D,C,G,PHI189705060,1,0,,,,,
1897N0012,gardj101,1897,PIT,O,,G,CHN189707010,1,0,,,,Gardner PR in 9th,
1897N0013,grifc101,1897,CHN,O,,G,CHN189705290,1,0,,,,Griffith PR in 9th,
1897N0014,mcals101,1897,CL4,O,,G,CL4189705080,1,0,,,,McAlister PR in 9th,
1897N0015,powej105,1897,CL4,O,,G,LS3189708042,1,0,,,,Powell PR in 9th,
1897N0016,younc102,1897,CL4,O,,G,CL4189708150,1,0,,,,Young PR in 4th,
1897N0017,stalg101,1897,PHI,O,,G,PHI189705080,1,0,,,,Stallings PR in 9th,
1897N0018,stalg101,1897,PHI,O,,G,SLN189705122,1,0,,,,Stallings PR in 9th,
1897N0019,stalg101,1897,PHI,O,,G,PHI189707051,1,0,,,,Stallings PR in 9th,
1897N0020,stalg101,1897,PHI,O,,G,PHI189709210,1,0,,,,Stallings PR in 9th,
1897N0021,mccob104,1897,CHN,O,,G,LS3189708090,0,1,,,,,
1897N0022,mccob104,1897,CHN,D,3B,G,LS3189708090,0,1,,,,,
1897N0023,mccob104,1897,CHN,O,,AB,LS3189708090,0,4,,,,,
1897N0024,mccob104,1897,CHN,O,,H,LS3189708090,0,1,,,,,
1897N0025,obrit101,1897,BLN,O,,G,BLN189709020,1,0,,,,,
1897N0026,ortha101,1897,PHI,O,,G,NY1189708180,1,0,,,,Orth PH for McFarland in 9th,
1897N0027,ortha101,1897,PHI,O,,AB,NY1189708180,1,0,1897N0028,SWAP,,Orth PH for McFarland in 9th,
1897N0028,mcfae101,1897,PHI,O,,AB,NY1189708180,4,5,1897N0027,SWAP,,Orth PH for McFarland in 9th,
1897N0029,quinj103,1897,BLN,O,,G,BSN189708050,1,0,,,,,
1897N0030,quinj103,1897,BLN,D,SS,G,BSN189708050,1,0,,,,,
1897N0031,quinj103,1897,BLN,O,,G,BSN189708060,1,0,,,,Quinn PR in 9th,
1897N0032,schrp101,1897,CIN,O,,G,CIN189708130,1,0,,,,Schriver PH in 9th,
1897N0033,schrp101,1897,CIN,O,,AB,CIN189708130,1,0,,,,Schriver PH in 9th,
1897N0034,schrp101,1897,CIN,O,,G,CIN189708140,1,0,,,,Schriver PH in 9th,
1897N0035,schrp101,1897,CIN,O,,AB,CIN189708140,1,0,,,,Schriver PH in 9th,
1897N0036,shocg101,1897,BRO,O,,G,LS3189705220,1,0,,,,Shoch PH in 9th,
1897N0037,shocg101,1897,BRO,O,,AB,LS3189705220,1,0,1897N0039,SWAP,,Shoch PH for McMasters in 9th,
1897N0038,shocg101,1897,BRO,O,,H,LS3189705220,1,0,1897N0040,SWAP,,Shoch PH for McMasters in 9th,
1897N0039,mcmas101,1897,BRO,O,,AB,LS3189705220,3,4,1897N0039,SWAP,,Shoch PH for McMasters in 9th,
1897N0040,mcmas101,1897,BRO,O,,H,LS3189705220,0,1,1897N0040,SWAP,,Shoch PH for McMasters in 9th,
1897N0041,stivj101,1897,BSN,O,,G,BSN189708180,1,0,,,,Stivetts PR in 5th,
1897N0046,swaic101,1897,WSN,P,,G,,27,26,,,,ICI sheet shows 27 G not 26,
1897N0047,swaic101,1897,WSN,P,,GS,,20,19,,,,ICI sheet shows 20 GS not 19,
1897N0048,swaic101,1897,WSN,P,,CG,,16,14,,,,ICI sheet shows 16 CG not 14,
1897N0050,swaic101,1897,WSN,P,,IP,,194,184,,,,ICI sheet shows 194 IP not 184,
1897N0051,swaic101,1897,WSN,P,,H,,227,219,,,,ICI sheet shows 227 H not 219,
1897N0052,swaic101,1897,WSN,P,,R,,130,129,,,,ICI sheet shows 130 R not 129,
1897N0053,swaic101,1897,WSN,P,,BB,,61,59,,,,ICI sheet shows 61 BB not 59,
1897N0054,swaic101,1897,WSN,P,,SO,,55,52,,,,ICI sheet shows 55 K not 52,
1897N0055,swaic101,1897,WSN,O,,G,,27,26,,,,ICI sheet shows 27 G not 26,
1897N0056,swaic101,1897,WSN,D,P,G,,27,26,,,,ICI sheet shows 27 G not 26,
1897N0057,swaic101,1897,WSN,O,,AB,,75,71,,,,ICI sheet shows 75 AB not 71,
1897N0058,swaic101,1897,WSN,O,,H,,17,16,,,,ICI sheet shows 17 H not 16,
1897N0059,swaic101,1897,WSN,O,,R,,8,7,,,,ICI sheet shows 8 R not 7,
1897N0060,swaic101,1897,WSN,D,P,ERR,,6,5,,,,ICI sheet shows 6 E not 5,
1897N0061,mercw101,1897,WSN,O,,G,BSN189708170,1,0,,,,,
1897N0062,mercw101,1897,WSN,D,P,G,BSN189708170,1,0,,,,,
1897N0063,mercw101,1897,WSN,P,,G,BSN189708170,1,0,,,,,
1897N0064,mercw101,1897,WSN,P,,SV,BSN189708170,1,0,,,,,
1897N0065,mercw101,1897,WSN,P,,IP,BSN189708170,1,0,,,,,
1897N0066,mercw101,1897,WSN,P,,BB,BSN189708170,1,0,,,,,
1897N0067,mercw101,1897,WSN,P,,H,BSN189708170,2,0,,,,,
1897N0068,swaic101,1897,WSN,P,,IP,BSN189708170,8,9,,,,,
1897N0069,swaic101,1897,WSN,P,,BB,BSN189708170,3,4,,,,,
1897N0070,swaic101,1897,WSN,P,,H,BSN189708170,14,16,,,,,
1897N0071,swaic101,1897,WSN,P,,CG,BSN189708170,0,1,,,,,
1897N0072,mercw101,1897,WSN,P,,G,,45,47,,,,ICI sheet shows 45 G not 47,
1897N0073,mercw101,1897,WSN,P,,GS,,42,43,,,,ICI sheet shows 42 GS not 43,
1897N0074,mercw101,1897,WSN,P,,CG,,34,35,,,,ICI sheet shows 34 CG not 35,
1897N0076,mercw101,1897,WSN,P,,IP,,332,342,,,,ICI sheet shows 332 IP not 342,
1897N0077,mercw101,1897,WSN,P,,H,,395,403,,,,ICI sheet shows 395 H not 403,
1897N0078,mercw101,1897,WSN,P,,R,,218,219,,,,ICI sheet shows 218 R not 219,
1897N0079,mercw101,1897,WSN,P,,BB,,102,104,,,,ICI sheet shows 102 BB not 104,
1897N0080,mercw101,1897,WSN,P,,SO,,88,91,,,,ICI sheet shows 88 K not 91,
1897N0081,mercw101,1897,WSN,D,P,G,,45,47,,,,ICI sheet shows 45 G not 47,
1897N0082,mercw101,1897,WSN,D,P,ERR,,14,15,,,,ICI sheet shows 14 E not 15,
1897N0083,mercw101,1897,WSN,O,,G,,48,50,,,,ICI sheet shows 48 G not 50,
1897N0084,mercw101,1897,WSN,O,,AB,,135,139,,,,ICI sheet shows 135 AB not 139,
1897N0085,mercw101,1897,WSN,O,,R,,22,23,,,,ICI sheet shows 22 R not 23,
1897N0086,mercw101,1897,WSN,O,,H,,43,44,,,,ICI sheet shows 43 H not 44,
1897N0087,abbec101,1897,WSN,O,,G,CHN189705230,1,0,,,,,
1897N0088,abbec101,1897,WSN,D,OF,G,CHN189705230,1,0,,,,,
1897N0089,wrigz101,1897,WSN,D,2B,G,CHN189705230,1,0,,,,,
1897N0090,leaht101,1897,WSN,O,,G,NY1189709270,1,0,,,,,
1897N0091,leaht101,1897,WSN,D,3B,G,NY1189709270,1,0,,,,,
1897N0092,schrp101,1897,CIN,D,C,G,CIN189704220,0,1,,,,,
1897N0093,hollb103,1897,CIN,D,OF,G,BSN189706140,1,0,,,,,
1897N0094,hollb103,1897,CIN,D,OF,CFG,BSN189706140,1,0,,,,,
1897N0095,hollb103,1897,CIN,O,,G,CIN189708020,1,0,,,,,
1897N0096,hollb103,1897,CIN,D,OF,G,CIN189708020,1,0,,,,,
1897N0097,hollb103,1897,CIN,D,OF,RFG,CIN189708020,1,0,,,,,
1897N0098,ritcc101,1897,CIN,D,OF,G,WSN189709140,1,0,,,,,
1897N0099,ritcc101,1897,CIN,D,OF,RFG,WSN189709140,1,0,,,,,
1897N0100,calln101,1897,CHN,P,,HR,,5,6,,,,ICI sheet shows 5 HR not 6,
1897N0101,denzr101,1897,CHN,P,,HR,,5,4,,,,ICI sheet shows 5 HR not 4,
1897N0102,donat101,1897,CHN,D,C,G,BSN189706160,0,1,,,,,
1897N0103,carsk102,1897,SLN,P,,HR,,6,5,,,,ICI sheet shows 6 HR not 5,
1897N0104,donar101,1897,SLN,P,,H,,484,485,,,,ICI sheet shows 484 H not 485,
1897N0105,donar101,1897,SLN,P,,HR,,15,16,,,,ICI sheet shows 15 HR not 16,
1897N0106,abbec101,1897,WSN,D,OF,RFG,CHN189705230,1,0,,,,,
1897N0107,cuppn101,1897,CL4,P,,IP,,138.2,138,,,,ICI sheet shows 138-2/3 IP not 138,
1897N0108,cuppn101,1897,CL4,P,,HR,,4,3,,,,ICI sheet shows 4 HR not 3,
1897N0109,mcals101,1897,CL4,P,,HR,,2,3,,,,ICI sheet shows 2 HR not 3,
1897N0110,younc102,1897,CL4,P,,IP,,335,335.2,,,,ICI sheet shows 335 IP not 335-2/3,
1897N0113,killf101,1897,PIT,P,,HR,,3,4,,,,ICI sheet shows 3 HR not 4,
1897N0114,seymc101,1897,NY1,P,,HR,,5,4,,,,ICI sheet shows 5 HR not 4,
1897N0116,frasc101,1897,LS3,P,,H,NY1189706031,3,2,,,,Game missing from ICI sheet,
1897N0117,mageb101,1897,LS3,P,,H,NY1189706031,0,1,,,,Game missing from ICI sheet,
1897N0118,frasc101,1897,LS3,P,,IP,NY1189706031,7,8,,,,Game missing from ICI sheet,
1897N0119,sullm101,1897,NY1,P,,HR,,5,6,,,,ICI sheet shows 5 HR not 6,
1897N0120,doylj103,1897,BLN,O,,HR,,1,2,,,,ICI sheet shows 1 HR not 2,
1897N0121,keelw101,1897,BLN,O,,HR,,1,0,,,,ICI sheet shows 1 HR not 0,
1897N0122,stenj101,1897,BLN,O,,HR,,5,4,,,,ICI sheet shows 5 HR not 4,
1897N0123,obrit101,1897,BLN,D,1B,G,BLN189708170,0,1,,,,,
1897N0124,obrit101,1897,BLN,D,OF,G,BLN189708170,1,0,,,,,
1897N0125,obrit101,1897,BLN,D,OF,LFG,BLN189708170,1,0,,,,,
1897N0126,dunnj102,1897,BRO,O,,AB,BRO189707060,4,3,,,,,
1897N0127,dunnj102,1897,BRO,O,,H,BRO189707060,1,0,,,,,
1897N0128,hannp102,1897,BRO,O,,G,BRO189707060,0,1,,,,,
1897N0129,hannp102,1897,BRO,O,,H,BRO189707060,0,1,,,,,
1897N0130,hannp102,1897,BRO,O,,AB,BRO189707060,0,1,,,,,
1897N0131,jonef102,1897,BRO,O,,HR,,0,1,,,,ICI sheet shows 0 HR not 1,
1897N0132,shinb101,1897,BRO,O,,HR,,3,4,,,,ICI sheet shows 3 HR not 4,
1897N0133,everb101,1897,CHN,O,,G,LS3189708090,1,0,,,,ICI sheet is missing 3B for this game,
1897N0134,everb101,1897,CHN,D,3B,G,LS3189708090,1,0,,,,ICI sheet is missing 3B for this game,
1897N0135,everb101,1897,CHN,O,,AB,LS3189708090,4,0,,,,ICI sheet is missing 3B for this game,
1897N0136,everb101,1897,CHN,O,,H,LS3189708090,1,0,,,,ICI sheet is missing 3B for this game,
1897N0137,thorw101,1897,CHN,O,,G,CHN189707160,1,0,,,,Thornton PR in 9th,
1897N0138,dowdt101,1897,PHI,D,2B,G,PHI189706300,0,1,,,,,
1897N0139,wilmw101,1897,NY1,O,,G,NY1189708121,1,0,,,,Wilmot PR in 12th inning,
1897N0140,lajon101,1897,PHI,D,1B,G,PIT189705210,1,0,,,,,
1897N0141,lajon101,1897,PHI,D,OF,LFG,PIT189705210,0,1,,,,,
1897N0142,wallb101,1897,CL4,D,OF,G,SLN189705020,1,0,,,,,
1897N0143,wallb101,1897,CL4,D,OF,CFG,SLN189705020,1,0,,,,,
1897N0144,hannp102,1897,BRO,O,,G,BRO189705070,1,0,,,,Hannifan PH in 9th,
1897N0145,hannp102,1897,BRO,O,,AB,BRO189705070,1,0,,,,Hannifan PH in 9th,
1897N0146,geiep101,1897,PHI,D,OF,G,PHI189706300,0,1,,,,,
1897N0147,geiep101,1897,PHI,D,OF,RFG,PHI189706300,0,1,,,,,
1897N0148,housj102,1897,SLN,D,2B,G,BSN189709090,1,0,,,,,
1897N0149,mccrt101,1897,NY1,D,OF,G,BSN189709170,1,0,,,,,
1897N0150,mccrt101,1897,NY1,D,OF,RFG,BSN189709170,1,0,,,,,
1897N0151,mcals101,1897,CL4,D,OF,G,,27,28,,ADD,,,
1897N0152,abbec101,1897,WSN,O,,R,CHN189707052,1,0,,,,,
1897N0153,lewit101,1897,BSN,P,,R,BSN189709100,6,9,,,,,
1897N0154,nichk101,1897,BSN,P,,R,BSN189709100,3,0,,,,,
1897N0155,nichk101,1897,BSN,P,,ER,BSN189709100,3,0,,,,,
1897N0156,fried101,1897,CHN,P,,R,CHN189707052,4,3,,,,,
1897N0157,fried101,1897,CHN,P,,ER,CHN189707052,3,2,,,,,
1897N0158,brigb101,1897,CHN,P,,IP,CIN189708150,8.2,9,,,,Game ended with two out in bottom of 9th,
1897N0159,younc102,1897,CL4,P,,IP,PHI189709061,8.2,9,,,,Game ended with two out in bottom of 9th,
1897N0160,thorw101,1897,CHN,P,,IP,PHI189709090,8.2,9,,,,Game ended with two out in bottom of 9th,
1897N0161,grifc101,1897,CHN,P,,IP,PIT189706230,10.2,11,,,,Game ended with two outs in bottom of 11th,
1897N0162,mcdem101,1897,CL4,P,,IP,BRO189706010,8,9,,,,Brooklyn did not bat in bottom of 9th,
1897N0176,keelw101,1897,BLN,O,,SB,BLN189704230,1,2,,,,,
1897N0180,doylj103,1897,BLN,O,,SB,BLN189704240,0,1,,,,,
1897N0198,quinj103,1897,BLN,O,,SB,BLN189704270,1,0,,,,,
1897N0222,breit101,1897,CIN,O,,BB,BLN189706020,1,0,,,,,
1897N0223,breit101,1897,CIN,O,,SB,BLN189706020,0,1,,,,,
1897N0224,burke101,1897,CIN,O,,BB,BLN189706020,1,0,,,,,
1897N0234,nopsj101,1897,BLN,P,,BB,BLN189706020,3,1,,,,,
1897N0276,bowef102,1897,BLN,O,,SB,BLN189706160,0,1,,,,,
1897N0278,mcgrj101,1897,BLN,O,,SB,BLN189706160,1,2,,,,,
1897N0280,quinj103,1897,BLN,O,,SB,BLN189706160,0,2,,,,,
1897N0302,reith101,1897,BLN,O,,BB,BLN189706211,0,1,,OPP,,,
1897N0316,reith101,1897,BLN,O,,BB,BLN189706220,1,0,,OPP,,,
1897N0325,mcgrj101,1897,BLN,O,,SB,BLN189706230,1,0,,,,,
1897N0326,vanhg101,1897,NY1,O,,BB,BLN189706230,1,0,,,,,
1897N0330,hoffb102,1897,BLN,P,,BB,BLN189706230,3,2,,,,,
1897N0334,browt102,1897,WSN,O,,SB,BLN189707010,2,0,,,,,
1897N0335,keelw101,1897,BLN,O,,SB,BLN189707010,1,0,,,,,
1897N0336,kellj106,1897,BLN,O,,SB,BLN189707010,1,0,,,,,
1897N0337,obrit101,1897,BLN,O,,SB,BLN189707010,1,0,,,,,
1897N0338,ponda101,1897,BLN,O,,SB,BLN189707010,1,0,,,,,
1897N0339,selbk101,1897,WSN,O,,SB,BLN189707010,1,0,,,,,
1897N0344,keelw101,1897,BLN,O,,BB,BLN189707020,0,1,,OPP,,,
1897N0366,kellj106,1897,BLN,O,,SB,BLN189708020,0,1,,,,,
