"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"MEM193806140","CAG","MEM","MNL01","19380614","0","","night","","","","","","1000","","","","","","","","","","","","","","","allec101","davil102","","regular","1","3","MEM","CAG","y","both","","","","1938"
"MEM193904160","KCM","MEM","MNL01","19390416","0","","","","","","","","600","","","","","","","","","","","","","","","smith111","jeffw101","","exhibition","5","2","KCM","MEM","y","p","","","","1939"
"MEM193909200","KCM","MEM","MNL01","19390920","0","","night","","","","","","","","","","","","","","","","","","","","","walkg103","mossp101","smith111","exhibition","2","1","KCM","MEM","","","","","","1939"
"CAG194005010","HOM","CAG","MNL01","19400501","0","","night","","","","","","","","","","","","","","","","","","","","","","johnt108","","exhibition","5","2","HOM","CAG","","","","","","1940"
"HOM194005030","CAG","HOM","MNL01","19400503","0","","night","","","","","","","","","","","","","","","","","","","","","walke103","johnt108","","exhibition","2","5","HOM","CAG","y","both","y","y","","1940"
"SNO194104130","CAG","SNO","MNL01","19410413","0","","","","","","","","3200","","","","","","","","","","","","","","","hudsf101","washf101","","exhibition","14","7","CAG","SNO","y","both","y","y","","1941"
"KCM194204050","CCB","KCM","MNL01","19420405","0","","","","","","","","4000","","","","","","","","","","","","","","","breme101","paigs101","jeffw101","exhibition","12","9","CCB","KCM","","p","","","","1942"
"KCM194904140","CAG","KCM","MNL01","19490414","0","","night","","","FALSE","","","","","","","","","","","","","","","","","","smitt105","collg101","","exhibition","2","1","CAG","KCM","","","","","","1949"
"KCM194904220","IN9","KCM","MNL01","19490422","0","","night","","","FALSE","","","","","","","","","","","","","","","","","","","","","exhibition","3","4","KCM","IN9","y","both","","","","1949"
"BIR194907190","PH5","BIR","MNL01","19490719","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","3","5","BIR","PH5","","","","","","1949"
