"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"MEM193804100","BLG","MEM","MEM02","19380410","0","","","","","","","","","","","","","","","","","","","","","","","","direj101","fostw101","exhibition","5","6","MEM","BLG","y","both","","","","1938"
"MEM193804170","PH5","MEM","MEM02","19380417","0","","day","","","","","","","","rain","","","","","","","","","","","","","carts102","wilsl102","","exhibition","10","4","PH5","MEM","","","","","","1938"
"MEM193805011","ATN","MEM","MEM02","19380501","1","","day","","","","","","3500","","","","","","","","","goodw901","wallg901","","","","","mossp101","howar101","","exhibition","7","8","MEM","ATN","y","both","","","","1938"
"MEM193805012","ATN","MEM","MEM02","19380501","2","","day","7","","","","","3500","","","","","","","","","","","","","","","jeffw101","howar101","","exhibition","4","5","MEM","ATN","y","both","","","","1938"
"MEM193805020","ATN","MEM","MEM02","19380502","0","","night","9","","FALSE","","","","","","","","","","","","","","","","","","radct101","","","exhibition","0","8","MEM","ATN","","","","","","1938"
"MEM193805090","KCM","MEM","MEM02","19380509","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","7","1","KCM","MEM","","","","","","1938"
"CAG193805101","KCM","CAG","MEM02","19380510","1","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","0","KCM","CAG","","","","","","1938"
"MEM193805102","KCM","MEM","MEM02","19380510","2","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","7","8","MEM","KCM","","","","","","1938"
"MEM193805152","IN7","MEM","MEM02","19380515","2","","","7","","","","","","","","","","","","","","","","","","","","mossp101","mitcg101","","regular","7","8","MEM","IN7","","","","","","1938"
"MEM193806051","BIR","MEM","MEM02","19380605","1","","","","","","","135","3000","","","","","","","","","goodw901","wallg901","","","","","mossp101","blacc103","","regular","6","7","MEM","BIR","y","both","y","y","","1938"
"MEM193806052","BIR","MEM","MEM02","19380605","2","","","7","","","","","3000","","","","","","","","","wallg901","goodw901","","","","","breme101","oslej101","","regular","2","3","MEM","BIR","y","both","","","","1938"
"MEM193806070","BIR","MEM","MEM02","19380607","0","","","","","FALSE","","","","","","","","","","","","","","","","","","breme101","","","regular","1","5","MEM","BIR","","both","","","","1938"
"MEM193806270","ATN","MEM","MEM02","19380627","0","","night","9","","FALSE","","","","","","","","","","","","","","","","","","","","","regular","3","6","MEM","ATN","","","","","","1938"
"MEM193806280","ATN","MEM","MEM02","19380628","0","","night","9","","FALSE","","","","","","","","","","","","","","","","","","jeffw101","mitcb104","","regular","6","7","MEM","ATN","y","both","y","y","","1938"
"MEM193808081","KCM","MEM","MEM02","19380808","1","","night","7","","FALSE","","","","","","","","","","","","","","","","","","radct101","bradf104","","regular","5","7","MEM","KCM","","","","","","1938"
"MEM193808090","BIR","MEM","MEM02","19380809","0","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","regular","8","9","MEM","BIR","","","","","","1938"
"MEM193808150","BIR","MEM","MEM02","19380815","0","","night","","","","","","3000","","","cloudy","","","","","","","","","","","","mossp101","burrs101","","regular","0","4","MEM","BIR","","","","","","1938"
"MEM193808211","IN7","MEM","MEM02","19380821","1","","","","","","","","","","","","","","","","","","","","","","","hannl102","","","exhibition","1","4","MEM","IN7","","","","","","1938"
"MEM193808212","IN7","MEM","MEM02","19380821","2","","","7","","","","","","","","","","","","","","","","","","","","","mossp101","","regular","5","3","IN7","MEM","","","","","","1938"
"MEM193809180","ATN","MEM","MEM02","19380918","0","0:00PM","day","","","false","","130","0","unknown","unknown","unknown","0","unknown","-1","","","goodw901","wallg901","harvu901","meanu901","","","radct101","evanf101","","lcs","1","6","MEM","ATN","y","both","y","y","d","1938"
"MEM193809190","ATN","MEM","MEM02","19380919","0","0:00PM","night","","","false","","140","0","unknown","unknown","unknown","0","unknown","-1","","","wallg901","meanu901","harvu901","goodw901","","","mossp101","berrc104","","lcs","6","11","MEM","ATN","y","both","y","y","d","1938"
"SAS193810020","NAS","SAS","MEM02","19381002","0","0:00PM","day","","","false","","0","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","jeffw101","byrdb101","","allstar","1","3","SAS","NAS","y","both","y","y","d","1938"
"SAS193810030","NAS","SAS","MEM02","19381003","0","","night","","","","","","","","","","","","","","","","","","","","","grifb102","","","allstar","13","0","NAS","SAS","","p","","","","1938"
"MEM193904020","BLG","MEM","MEM02","19390402","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","4","MEM","BLG","","","","","","1939"
"MEM193904090","KCM","MEM","MEM02","19390409","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","8","7","KCM","MEM","","","","","","1939"
"MEM193904301","SSA","MEM","MEM02","19390430","1","","day","","","","","170","","","","","","","","","","goodw901","wallg901","","","","","radct101","smitt105","","exhibition","4","5","MEM","SSA","y","both","y","y","","1939"
"MEM193904302","SSA","MEM","MEM02","19390430","2","","night","","","","","","","","","","","","","","","","","","","","","wilsl102","calhl101","","exhibition","0","1","MEM","SSA","y","p","","","","1939"
"MEM193905010","SSA","MEM","MEM02","19390501","0","","night","","","","","","","","","","","","","","","","","","","","","mossp101","deanr101","","exhibition","2","10","MEM","SSA","y","both","","","","1939"
"MEM193905040","HOM","MEM","MEM02","19390504","0","0:00PM","night","","","FALSE","","0","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","radct101","walke103","","exhibition","7","8","MEM","HOM","y","both","y","y","d","1939"
"MEM193905071","CAG","MEM","MEM02","19390507","1","0:00PM","day","","","FALSE","","117","0","unknown","unknown","unknown","0","unknown","-1","","","goodw901","wallg901","","","","","mossp101","johnt108","","exhibition","2","3","MEM","CAG","y","both","y","y","d","1939"
"MEM193905072","CAG","MEM","MEM02","19390507","2","0:00PM","day","7","","FALSE","","100","0","unknown","unknown","unknown","0","unknown","-1","","","wallg901","goodw901","","","","","","cornw101","","exhibition","0","9","MEM","CAG","y","both","y","y","d","1939"
"KCM193905080","CAG","KCM","MEM02","19390508","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","3","CAG","KCM","","","","","","1939"
"MEM193905210","SSA","MEM","MEM02","19390521","0","4:00PM","day","","","FALSE","","0","0","soaked","drizzle","overcast","0","unknown","-1","","","","","","","","","calhl101","radct101","","regular","3","1","SSA","MEM","y","both","y","y","d","1939"
"MEM193905220","SSA","MEM","MEM02","19390522","0","","night","","","","","","","","","","","","","","","","","","","","","mossp101","deanr101","","regular","5","6","MEM","SSA","y","both","","","","1939"
"MEM193905241","SSA","MEM","MEM02","19390524","1","","day","","","","","","","","","","","","","","","","","","","","","breme101","","","regular","4","12","MEM","SSA","","","","","","1939"
"MEM193905242","SSA","MEM","MEM02","19390524","2","","day","7","","","","","","","","","","","","","","","","","","","","davir103","","","regular","2","4","MEM","SSA","","","","","","1939"
"MEM193906040","ATN","MEM","MEM02","19390604","0","0:00PM","day","","","FALSE","","0","0","unknown","unknown","unknown","0","unknown","-1","","","wallg901","goodw901","","","","","jeffw101","dixoe101","","regular","0","4","MEM","ATN","y","both","y","y","d","1939"
"MEM193906251","CAG","MEM","MEM02","19390625","1","","day","","","","","","","","","","","","","","","","","","","","","cornw101","breme101","","regular","5","4","CAG","MEM","y","both","y","y","","1939"
"MEM193906252","CAG","MEM","MEM02","19390625","2","","night","","","","","","","","","","","","","","","","","","","","","radct101","","","regular","3","5","MEM","CAG","y","both","","","","1939"
"MEM193906290","CAG","MEM","MEM02","19390629","0","","night","","","","","","","","","","","","","","","","","","","","","jeffw101","bowel102","","regular","0","8","MEM","CAG","y","both","","","","1939"
"MEM193907041","CV9","MEM","MEM02","19390704","1","","day","","","","","","","","","","","","","","","","","","","","","mossp101","henrp101","","regular","4","12","MEM","CV9","y","p","","","","1939"
"MEM193907042","CV9","MEM","MEM02","19390704","2","","day","","","","","","","","","","","","","","","","","","","","","wilsl102","owens101","","regular","0","1","MEM","CV9","y","both","","","","1939"
"MEM193907060","CV9","MEM","MEM02","19390706","0","","night","","","","","","","","","","","","","","","","","","","","","henrp101","breme101","","regular","7","4","CV9","MEM","","both","","","","1939"
"MEM193907161","SSA","MEM","MEM02","19390716","1","","day","","","","","","","","","","","","","","","","","","","","","mcalf101","wilsl102","calhl101","regular","4","3","SSA","MEM","y","both","y","y","","1939"
"MEM193907162","SSA","MEM","MEM02","19390716","2","","day","7","","","","","","","","","","","","","","","","","","","","smitt105","breme101","","regular","7","6","SSA","MEM","y","both","","","","1939"
"MEM193907170","SSA","MEM","MEM02","19390717","0","","","","","","","","","","","","","","","","","","","","","","","mossp101","","","regular","5","21","MEM","SSA","","p","","","","1939"
"MEM193907231","CV9","MEM","MEM02","19390723","1","0:00PM","day","","","FALSE","","115","0","unknown","unknown","unknown","0","unknown","-1","","","goodw901","wallg901","","","","","radct101","henrp101","","regular","3","6","MEM","CV9","y","both","y","y","d","1939"
"MEM193907232","CV9","MEM","MEM02","19390723","2","","night","7","","","","","","","","","","","","","","","","","","","","owens101","wilsl102","","regular","7","0","CV9","MEM","y","both","","","","1939"
"MEM193907240","CV9","MEM","MEM02","19390724","0","","night","","","","","","","","","","","","","","","","","","","","","davir103","boona101","","regular","2","5","MEM","CV9","y","both","","","","1939"
"MEM193908030","SSA","MEM","MEM02","19390803","0","","night","","","","","","5000","","","","","","","","","","","","","","","mossp101","","","regular","6","12","MEM","SSA","","","","","","1939"
"MEM193908090","BLG","MEM","MEM02","19390809","0","","night","","","","","","","","","","","","","","","","","","","","","radct101","","","exhibition","4","5","MEM","BLG","y","","","","","1939"
"MEM193908130","KCM","MEM","MEM02","19390813","0","0:00PM","day","","","FALSE","","0","10000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","smith111","davir103","","regular","3","1","KCM","MEM","y","both","y","y","d","1939"
