ID,last,first
allia102,Allison,Andy
averh901,Avery,Ham
barnr102,Barnes,Ross
barrb102,Barrett,Bill
battj102,Battin,Joe
bealt101,Beals,Tommy
bechg101,Bechtel,George
bielo101,Bielaski,Oscar
birdd102,Birdsall,Dave
bomet901,Bomeisler,Theo
brigw901,Briggs,Warren
buncf901,Bunce,Fred
burdj101,Burdock,Jack
caret101,Carey,Tom
carpj901,Carpenter,John
chanm901,Chandler,Moses
chapj102,Chapman,Jack
clapj101,Clapp,John
conef101,Cone,Fred
danic901,Daniels,Charles
davil901,David,L.N.
deanh101,Deane,Harry
dehlh101,Dehlman,Herman
englj901,English,John
fergb101,Ferguson,Bob
folet101,Foley,Tom
fulmc102,Fulmer,Chick
geerb101,Geer,Billy
glenj102,Glenn,John
goulc101,Gould,Charlie
halba901,Halbach,Al
hallg101,Hall,George
hasts101,Hastings,Scott
highd101,Higham,Dick
hodec101,Hodes,Charlie
hodga902,Hodges,Amory
hoopm101,Hooper,Mike
hoswu901,Hosworth,S.A.
lennb101,Lennon,Bill
lockm901,Locke,William
mackd101,Mack,Denny
martl901,Martin,Lewis
mathb101,Mathews,Bobby
mcleb901,McLean,Billy
mcmuj101,McMullin,John
mitcf901,Mitchell,Franklin
murnt101,Murnane,Tim
pattd103,Patterson,Tom
pheln101,Phelps,Nealy
portu901,Porter,Charles
reaca101,Reach,Al
reedh101,Reid,Hugh
remsj101,Remsen,Jack
schuj901,Schuester,John
sensc101,Sensenderfer,Count
simmj101,Simmons,Joe
swanm101,Swandell,Marty
sweac101,Sweasy,Charlie
tatew901,Tate,William
wardu901,Wardell,
weigw901,Wiegel,William
whitw102,White,Warren
yorkt101,York,Tom
younn801,Young,Nick
