"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"KCM194604030","CCR","KCM","HOU04","19460403","0","","night","","","","","","3000","","","","","","","","","","","","","","","","","","exhibition","3","9","KCM","CCR","","","","","1946"
"KCM194604040","CCR","KCM","HOU04","19460404","0","8:15pm","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","6","KCM","CCR","","p","","","1946"
"KCM194604070","CCR","KCM","WAC01","19460407","0","","day","","","","","","","","","","","","","","","","","","","","","","blaib103","","exhibition","5","6","KCM","CCR","y","both","","","1946"
"KCM194604120","CCR","KCM","HOU04","19460412","0","","night","","","","","","","","","","","","","","","","","","","","","bryaa101","","johnc103","exhibition","4","5","KCM","CCR","y","both","","","1946"
"KCM194604130","CCR","KCM","HOU04","19460413","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","8","4","CCR","KCM","","","","","1946"
"KCM194604140","CCR","KCM","COR01","19460414","0","","day","","","","","","","","","","","","","","","","","","","","","wylis101","thomf110","","exhibition","3","14","KCM","CCR","y","both","","","1946"
"CCR194604170","KCM","CCR","DAL01","19460417","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","3","KCM","CCR","y","both","","","1946"
"KCM194604180","CCR","KCM","FTW01","19460418","0","","","","","","","","","","","","","","","","","","","","","","","alext101","brooj103","","exhibition","1","3","KCM","CCR","y","both","","","1946"
"KCM194604190","CCR","KCM","FTW01","19460419","0","8:15pm","","","","","","","","","","","","","","","","","","","","","","wylis101","","","exhibition","8","9","KCM","CCR","y","both","","","1946"
"CCR194605290","KCM","CCR","IND10","19460529","0","","night","","","","","","","","","","","","","","","","","","","","","smitw106","","","exhibition","9","10","CCR","KCM","y","both","","","1946"
"IN9194607060","CCR","IN9","IND10","19460706","0","","night","","","","","","","","","","","","","","","","","","","","","watsa102","alexg103","","exhibition","3","5","IN9","CCR","y","both","","","1946"
"CCR194607071","IN9","CCR","CIN07","19460707","1","","day","","","","","","","","","","","","","","","","","","","","","garca101","markj101","","exhibition","9","1","IN9","CCR","y","both","","","1946"
"CCR194607072","IN9","CCR","CIN07","19460707","2","","day","7","","","","","","","","","","","","","","","","","","","","smitw106","","","exhibition","3","6","CCR","IN9","y","both","","","1946"
"IN9194607080","CCR","IN9","COL05","19460708","0","","night","","","","","","1050","","","","","","","","","","","","","","","godim101","sayla101","","exhibition","7","8","IN9","CCR","y","both","","","1946"
"IN9194607090","CCR","IN9","RCI01","19460709","0","","night","","","","","","3222","","","","","","","","","","","","","","","napol101","","markj101","exhibition","6","3","CCR","IN9","y","both","","","1946"
"CCR194607110","MEM","CCR","SPR03","19460711","0","","night","","","","","","","","","","","","","","","Russl","boylu901","","","","","bryaa101","brooj103","","exhibition","12","8","MEM","CCR","y","both","y","y","1946"
"BIR194607141","CCR","BIR","BIR01","19460714","1","","day","","","","","","","","","","","","","","","","","","","","","gipsa101","thomf110","","exhibition","0","4","BIR","CCR","y","both","","","1946"
"BIR194607142","CCR","BIR","BIR01","19460714","2","","day","","","","","","","","","","","","","","","","","","","","","polln102","markj101","","exhibition","2","4","BIR","CCR","y","both","","","1946"
"MEM194607211","CCR","MEM","MEM03","19460721","1","","day","","","","","","6500","","","","","","","","","","","","","","","pearf104","thomf110","","exhibition","1","5","MEM","CCR","y","both","","","1946"
"MEM194607212","CCR","MEM","MEM03","19460721","2","","day","7","","","","","6500","","","","","","","","","","","","","","","bryaa101","alexg103","","exhibition","2","6","MEM","CCR","y","both","","","1946"
"CCR194607230","MEM","CCR","CIN07","19460723","0","","night","","","","","","","","","","","","","","","","","","","","","markj101","hubej101","","exhibition","2","11","CCR","MEM","y","p","","","1946"
"BLG194607250","CCR","BLG","HRB01","19460725","0","","night","","","","","120","1400","","","","","","","","","coopu901","gunnu901","","","","","barnb105","napol101","","exhibition","4","8","BLG","CCR","y","both","y","y","1946"
"NY5194607290","CCR","NY5","NYC23","19460729","0","","night","","","","","","","","","","","","","","","raupu901","taglp901","bergu901","","","","fernr101","smitw106","grifb102","exhibition","3","4","NY5","CCR","y","both","y","y","1946"
"IN9194608041","CCR","IN9","CIN07","19460804","1","","day","","","","","","","","","","","","","","","","","","","","","alexg103","davip103","","exhibition","6","2","CCR","IN9","y","both","","","1946"
"IN9194608042","CCR","IN9","CIN07","19460804","2","","day","7","","","","","","","","","","","","","","","","","","","","cathw101","","","exhibition","3","2","CCR","IN9","y","p","","","1946"
"CCR194608070","IN9","CCR","CHI10","19460807","0","","night","","","","","","8000","","","","","","","","","","","","","","","willj112","","","exhibition","3","2","IN9","CCR","y","both","","","1946"
"KCM194608130","CCR","KCM","CBI01","19460813","0","","night","","","","","110","","","","","","","","","","mcgou901","colbu902","","","","","smith111","napol101","","exhibition","0","4","KCM","CCR","y","both","y","y","1946"
"KCM194608140","CCR","KCM","OXF01","19460814","0","","day","","","","","","2000","","","","","","","","","manlu901","mccou901","","","","","alext101","smitw106","","exhibition","4","7","KCM","CCR","y","both","y","y","1946"
"KCM194608150","CCR","KCM","STJ01","19460815","0","","night","","","","","","3275","","","","","","","","","","","","","","","wylis101","cathw101","","exhibition","7","9","KCM","CCR","y","both","y","y","1946"
"KCM194608160","CCR","KCM","KAN05","19460816","0","","night","","","","","142","3150","","","","","","","","","fambu091","vaugs901","","","","","paigs101","alexg103","smitf107","exhibition","2","7","KCM","CCR","y","both","y","y","1946"
"CCR194608181","CAG","CCR","CIN07","19460818","1","","day","","","","","","","","","","","","","","","","","","","","","mccow102","napol101","","exhibition","5","1","CAG","CCR","","p","","","1946"
"CCR194608182","CAG","CCR","CIN07","19460818","2","","day","","","","","","","","","","","","","","","","","","","","","smitw106","lockc102","","exhibition","0","3","CCR","CAG","","p","","","1946"
"CAG194608190","CCR","CAG","RCI01","19460819","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","7","CAG","CCR","y","","","","1946"
"IN9194608200","CCR","IN9","ERI01","19460820","0","","night","","","","","","813","","","","","","","","","","","","","","","garca101","cathw101","","exhibition","6","9","IN9","CCR","y","both","y","y","1946"
"CCR194608220","IN9","CCR","FLI01","19460822","0","","night","","","","","170","","","","","","","","","","smoru901","hillu901","","","","","markj101","henrp101","","exhibition","2","4","CCR","IN9","y","both","y","y","1946"
"NY6194609020","CCR","NY6","NYC14","19460902","0","","day","","","","","","8000","","","","","","","","","","","","","","","andeb106","alexg103","","exhibition","4","9","NY6","CCR","y","both","","","1946"
