"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"HOM192810070","ALS","HOM","SHA01","19281007","0","0:00PM","day","","","false","","-1","3500","unknown","unknown","unknown","0","unknown","-1","","","mcgru901","duffu901","","","","","willj109","walbr101","","exhibition","4","8","HOM","ALS","y","both","y","y","","1928"
"HOM192810080","ALS","HOM","FMT01","19281008","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","dawsu901","knigu901","","","","","willl105","uhleg101","","exhibition","5","9","HOM","ALS","y","both","y","y","","1928"
"HOM192810090","ALS","HOM","PPB01","19281009","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","meicl901","scriu901","","","","","foxxj101","oweno101","","exhibition","6","5","ALS","HOM","y","both","y","y","","1928"
"HOM192810100","ALS","HOM","PIT06","19281010","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","dougd901","gannu901","","","","","mcdow101","quinj102","","exhibition","1","5","HOM","ALS","y","both","y","y","","1928"
"HOM192810110","ALS","HOM","BUT01","19281011","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","stres101","walbr101","","exhibition","10","12","HOM","ALS","y","both","y","y","","1928"
"HOM192810120","ALS","HOM","PIT06","19281012","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","stetu901","beggu901","","","","","uhleg101","willj109","","exhibition","6","4","ALS","HOM","y","both","y","y","","1928"
"HOM192810130","ALS","HOM","COL04","19281013","0","","day","","","false","","","500","","","","","","","","","kiseu901","buthu901","","","","","quinj102","britg103","","exhibition","6","2","ALS","HOM","y","both","y","y","","1928"
"HOM192810140","ALS","HOM","COL04","19281014","0","","day","","","","","","2000","","","","","","","","","","","","","","","walbr101","johnu101","","exhibition","7","2","ALS","HOM","","p","","","","1928"
