"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"NY5194404120","BLG","NY5","LRK02","19440412","0","","","","","","","","","","","","","","","","","","","","","","","porta103","stann101","","exhibition","6","4","BLG","NY5","y","both","","","1944"
"NY5194404161","BLG","NY5","MTG01","19440416","1","","day","","","","","","2000","","","","","","","","","","","","","","","","","","exhibition","4","4","","","y","both","","","1944"
"BLG194404162","NY5","BLG","MTG01","19440416","2","","day","","","","","","2000","","","","","","","","","","","","","","","","","","exhibition","6","9","BLG","NY5","","","","","1944"
"BIR194404240","BLG","BIR","MTG01","19440424","0","","night","","","","","","","","","","","","","","","","","","","","","porta103","washf101","","exhibition","3","2","BLG","BIR","y","p","","","1944"
"CVB194404301","BLG","CVB","IND10","19440430","1","","day","","","","","","3900","","","","","","","","","","","","","","","harvb101","","","exhibition","10","6","BLG","CVB","y","both","","","1944"
"CVB194404302","BLG","CVB","IND10","19440430","2","","","","","","","","","","","","","","","","","","","","","","","","porta103","","exhibition","7","8","CVB","BLG","y","both","","","1944"
"BLG194405010","CAG","BLG","NSH02","19440501","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","10","6","CAG","BLG","","","","","1944"
"BLG194405030","CAG","BLG","NSH02","19440503","0","","night","","","","","","","","","","","","","","","","","","","","","harvb101","brooj103","","exhibition","2","15","BLG","CAG","","p","","","1944"
"PH5194405060","BLG","PH5","PHI17","19440506","0","","","","","","","","3000","","","","","","","","","","","","","","","browb107","byrdb101","","regular","4","5","PH5","BLG","y","both","y","y","1944"
"BLG194405071","PH5","BLG","BAL14","19440507","1","","","","","","","","7000","","","","","","","","","randu901","hollu902","","","","","harvb101","boonl102","","regular","5","15","BLG","PH5","y","both","y","y","1944"
"BLG194405072","PH5","BLG","BAL14","19440507","2","","","","","","","","7000","","","","","","","","","","","","","","","glovt101","browb107","","regular","0","9","BLG","PH5","y","p","","","1944"
"BLG194405130","HOM","BLG","HRB01","19440513","0","","day","","","","","150","1200","","","","","","","","","fiela901","banku901","","arp-u901","","","hubew101","troyd102","johnj110","regular","3","1","HOM","BLG","y","both","y","y","1944"
"BLG194405141","HOM","BLG","BAL14","19440514","1","","","","","","","","8000","","","","","","","","","cockp101","hollu902","","","","","byrdb101","walke103","","regular","4","5","BLG","HOM","y","both","y","y","1944"
"BLG194405142","HOM","BLG","BAL14","19440514","2","","","","","","","","8000","","","","","","","","","","","","","","","hoskd101","glovt101","","regular","10","9","HOM","BLG","y","both","","","1944"
