"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"HOM194404231","NW2","HOM","WAS09","19440423","1","","","","","","","","5000","","","","","","","","","kempu901","greee901","","","","","walke103","forrp101","","exhibition","6","8","HOM","NW2","y","both","y","y","1944"
"HOM194404232","NW2","HOM","WAS09","19440423","2","","","","","","","","5000","","","","","","","","","","","","","","","hoskd101","hookl101","","exhibition","1","6","HOM","NW2","y","both","","","1944"
"HOM194404250","NW2","HOM","GRE03","19440425","0","","night","","","","","","","","","","","","","","","","","","","","","kingd101","","","exhibition","4","10","HOM","NW2","y","p","","","1944"
"NW2194405141","PH5","NW2","NWK04","19440514","1","","","","","","","","12000","","","","","","","","","","","","","","","hookl101","","","regular","4","5","NW2","PH5","","","","","1944"
"NW2194405142","PH5","NW2","NWK04","19440514","2","","","","","","","","12000","","","","","","","","","","","","","","","forrp101","","","regular","6","11","NW2","PH5","","","","","1944"
"NW2194405170","NY6","NW2","NOR02","19440517","0","","","","","","","","","","","","","","","","","","","","","","","hookl101","tianl102","","regular","2","3","NW2","NY6","","p","","","1944"
"NW2194405211","HOM","NW2","NYC14","19440521","1","","day","","","","","","6732","","","","","","","","","mccrf901","moorw901","","","","","browr103","hookl101","","regular","5","1","HOM","NW2","y","both","y","y","1944"
"NW2194405212","HOM","NW2","NYC15","19440521","2","","day","","","","","","6732","","","","","","","","","mccrf901","moorw901","","","","","carts102","forrp101","","regular","12","2","HOM","NW2","y","both","y","y","1944"
"NW2194405281","NY5","NW2","NWK04","19440528","1","","day","","","","","","8000","","","","","","","","","moorw901","crawj902","","","","","hookl101","mcdut101","","regular","4","8","NW2","NY5","y","both","y","y","1944"
"NW2194405282","NY5","NW2","NWK04","19440528","2","","day","","","","","","8000","","","","","","","","","","","","","","","forrp101","stann101","","regular","3","4","NW2","NY5","y","both","","","1944"
"NW2194405301","NY5","NW2","NWK04","19440530","1","","day","","","","","","","","","","","","","","","","","","","","","","","","regular","6","13","NW2","NY5","","","","","1944"
"NW2194405302","NY5","NW2","NWK04","19440530","2","","day","","","","","","","","","","","","","","","","","","","","","","","","regular","5","6","NW2","NY5","","","","","1944"
"PH5194406010","NW2","PH5","PHI17","19440601","0","","night","","","","","","","","","","","","","","","","","","","","","rickb102","cozah101","","regular","1","6","PH5","NW2","y","both","y","y","1944"
"BLG194406020","NW2","BLG","BAL14","19440602","0","","night","","","","","","","","","","","","","","","","","","","","","byrdb101","","","regular","3","6","BLG","NW2","","","","","1944"
"BLG194406030","NW2","BLG","BAL14","19440603","0","","","","","","","","","","","","","","","","","","","","","","","glovt101","","","regular","9","10","BLG","NW2","","","","","1944"
"BLG194406041","NW2","BLG","BAL14","19440604","1","","","","","","","","","","","","","","","","","","","","","","","blacj103","hookl101","","regular","2","10","BLG","NW2","","p","","","1944"
"BLG194406042","NW2","BLG","BAL14","19440604","2","","","7","","","","","","","","","","","","","","","","","","","","davij106","troyd102","","regular","7","0","NW2","BLG","y","p","","","1944"
"MEM194406112","NW2","MEM","CHI11","19440611","2","","day","","","","","","7000","","","","","","","","","","","","","","","hookl101","keyer101","mcdut101","exhibition","3","0","NW2","MEM","y","both","y","y","1944"
"MEM194406130","NW2","MEM","DAV01","19440613","0","","night","","","","","130","1602","","","","","","","","","rohlu901","knudu901","","","","","jacoe102","chate101","","exhibition","8","2","NW2","MEM","y","both","y","y","1944"
"NY6194406150","NW2","NY6","COL05","19440615","0","","night","","","","","","2500","","","","","","","","","","","","","","","cozah101","greev101","","regular","9","3","NW2","NY6","y","both","","","1944"
"NY6194406160","NW2","NY6","DAY03","19440616","0","","night","","","","","","1970","","","","","","","","","","","","","","","tianl102","hillj104","morrb104","regular","7","9","NY6","NW2","y","both","","","1944"
"HOM194406181","NW2","HOM","PIT06","19440618","1","","","","","","","","","","","","","","","","","harrm103","","harrb901","","","","browr103","hookl101","","regular","3","10","HOM","NW2","y","both","y","y","1944"
"HOM194406182","NW2","HOM","PIT06","19440618","2","","","","","","","","","","","","","","","","","","","","","","","carts102","mcdut101","","regular","2","9","HOM","NW2","y","p","","","1944"
"HOM194406190","NW2","HOM","HRB01","19440619","0","","night","","","","","145","1600","","","","","","","","","fiela901","taylb108","","arp-u901","","","newcd101","johnj110","","regular","9","2","NW2","HOM","y","both","y","y","1944"
"HOM194406200","NW2","HOM","WAS09","19440620","0","","night","","","","","","","","","","","","","","","","","","","","","hillj104","","","regular","6","1","NW2","HOM","y","both","","","1944"
"NW2194406230","NY6","NW2","NWK04","19440623","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","8","2","NY6","NW2","","","","","1944"
"NW2194406251","PH5","NW2","NWK04","19440625","1","","day","","","","","","","","","","","","","","","cockp101","crawj902","","","","","hookl101","rickb102","","regular","3","6","NW2","PH5","y","both","y","y","1944"
