"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"HOM194108101","PH5","0","0","1","1","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","10","upper","38","4","9","2","2","0","3","0","","0","","","","2","","","0","24","","38","11","4","1","0","9","","3","","2","0","0","0","2","","24","11","1","1","0","0","coopb101","jordl101","hubej101","parnr102","westj102","owens102","shelh102","duckm101","walke103","walke103","hubej101","westj102","jordl101","coopb101","duckm101","shelh102","owens102","parnr102","","19410810","1","WAS09","HOM","L","regular","y","1941"
"HOM194108102","PH5","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","4","value","23","0","3","1","0","0","0","0","","0","2","","6","0","","","0","18","","26","6","0","2","0","3","3","1","","2","0","0","0","1","","18","8","1","1","0","0","coopb101","jordl101","hubej101","parnr102","westj102","owens102","shelh102","duckm101","mcheh101","mcheh101","hubej101","westj102","jordl101","coopb101","duckm101","shelh102","owens102","parnr102","","19410810","2","WAS09","HOM","L","regular","y","1941"
"HOM194108102","PH5","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","4","lower","23","0","3","1","0","0","0","0","","0","","","6","0","","","0","18","","26","6","0","2","0","3","3","1","","2","0","0","0","0","","18","8","1","1","0","0","coopb101","jordl101","hubej101","parnr102","westj102","owens102","shelh102","duckm101","mcheh101","mcheh101","hubej101","westj102","jordl101","coopb101","duckm101","shelh102","owens102","parnr102","","19410810","2","WAS09","HOM","L","regular","y","1941"
"HOM194108102","PH5","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","4","upper","23","0","3","1","0","0","0","0","","0","","","6","0","","","0","18","","26","6","0","2","0","3","3","1","","2","0","0","0","1","","18","8","1","1","0","0","coopb101","jordl101","hubej101","parnr102","westj102","owens102","shelh102","duckm101","mcheh101","mcheh101","hubej101","westj102","jordl101","coopb101","duckm101","shelh102","owens102","parnr102","","19410810","2","WAS09","HOM","L","regular","y","1941"
"PH5194108120","PH5","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","10","value","35","1","7","1","0","0","1","0","","0","3","","3","1","","","0","27","","39","9","2","0","0","4","3","2","","5","0","0","0","0","2","27","15","4","1","0","0","coopb101","jordl101","hubej101","parnr102","charo101","owens102","shelh102","duckm101","buchc101","buchc101","hubej101","charo101","jordl101","coopb101","duckm101","shelh102","owens102","parnr102","","19410812","0","HRB01","MEM","L","exhibition","y","1941"
"PH5194108120","PH5","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","10","lower","35","1","7","1","0","0","1","0","","0","","","3","1","","","0","27","","39","9","2","0","0","4","3","2","","5","0","0","0","0","2","27","15","4","1","0","0","coopb101","jordl101","hubej101","parnr102","charo101","owens102","shelh102","duckm101","buchc101","buchc101","hubej101","charo101","jordl101","coopb101","duckm101","shelh102","owens102","parnr102","","19410812","0","HRB01","MEM","L","exhibition","y","1941"
"PH5194108120","PH5","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","10","upper","35","1","7","1","0","0","1","0","","0","","","3","1","","","0","27","","39","9","2","0","0","4","3","2","","5","0","0","0","0","2","27","15","4","1","0","0","coopb101","jordl101","hubej101","parnr102","charo101","owens102","shelh102","duckm101","buchc101","buchc101","hubej101","charo101","jordl101","coopb101","duckm101","shelh102","owens102","parnr102","","19410812","0","HRB01","MEM","L","exhibition","y","1941"
"PH5194108140","PH5","0","0","0","0","0","0","2","6","","","","","","","","","","","","","","","","","","","","","6","value","38","8","10","2","3","0","5","0","","0","","","","1","","","0","27","","34","6","0","1","0","1","","","","","0","0","0","0","","27","14","1","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","owens102","duckm101","mcheh101","shelh102","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","shelh102","owens102","parnr102","","19410814","0","PHI17","JAX","W","exhibition","y","1941"
"PH5194108140","PH5","0","0","0","0","0","0","2","6","","","","","","","","","","","","","","","","","","","","","6","lower","","8","10","2","3","0","5","0","","0","","","","1","","","0","27","","","6","0","1","0","1","","","","","0","0","0","0","","27","14","1","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","owens102","duckm101","mcheh101","shelh102","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","shelh102","owens102","parnr102","","19410814","0","PHI17","JAX","W","exhibition","y","1941"
"PH5194108140","PH5","0","0","0","0","0","0","2","6","","","","","","","","","","","","","","","","","","","","","6","upper","","8","10","2","3","0","5","0","","0","","","","1","","","0","27","","","6","0","1","0","1","","","","","0","0","0","0","","27","14","1","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","owens102","duckm101","mcheh101","shelh102","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","shelh102","owens102","parnr102","","19410814","0","PHI17","JAX","W","exhibition","y","1941"
