"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"HOM194004050","CV9","HOM","ORL01","19400405","0","","night","","","","","","904","","","","","","","","","poweu901","ryanu901","","","","","browr103","henrp101","","exhibition","9","10","HOM","CV9","y","both","y","y","1940"
"CV9194004150","HOM","CV9","JKV01","19400415","0","","night","","","","","","","","","","","","","","","","","","","","","walke103","","","exhibition","14","8","HOM","CV9","y","both","","","1940"
"CV9194004160","HOM","CV9","JKV01","19400416","0","","night","","","","","195","","","","","","","","","","","","","","","","","whitc104","","exhibition","10","9","HOM","CV9","y","both","","","1940"
"HOM194004281","KCM","HOM","NOL01","19400428","1","","day","","","","","145","5000","","","","","","","","","auguu901","rouzu901","","benju901","","","browr103","kranf101","","exhibition","0","6","HOM","KCM","y","both","y","y","1940"
"HOM194004282","KCM","HOM","NOL01","19400428","2","","day","","","","","95","5000","","","","","","","","","auguu901","rouzu901","","benju901","","","walke103","matcj101","","exhibition","1","5","HOM","KCM","y","both","y","y","1940"
"CAG194005010","HOM","CAG","MNL01","19400501","0","","night","","","","","","","","","","","","","","","","","","","","","","johnt108","","exhibition","5","2","HOM","CAG","","","","","1940"
"HOM194005020","CAG","HOM","ELD01","19400502","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","9","4","CAG","HOM","y","both","","","1940"
"HOM194005030","CAG","HOM","MNL01","19400503","0","","night","","","","","","","","","","","","","","","","","","","","","walke103","johnt108","","exhibition","2","5","HOM","CAG","y","both","y","y","1940"
"HOM194005110","NY6","HOM","PIT06","19400511","0","","day","","","","","","","","","","","","","","","harrm103","craij901","","","","","browr103","ruizs101","","regular","3","7","HOM","NY6","y","both","y","y","1940"
"HOM194005121","NY6","HOM","WAS09","19400512","1","","day","","","","","","4000","","","","","","","","","harrm103","kempu901","","lee-u901","","","walke103","taylj108","","regular","6","8","HOM","NY6","y","both","y","y","1940"
