"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"MEM194903270","NY6","1","0","0","0","0","1","0","2","0","","","","","","","","","","","","","","","","","","","","","","value","","","4","8","","","1","","","","","","","","","","","","","24","","","8","","","","6","","","","","","","","","","","","","24","","3","","","","","","","","","","","","","","","","loper102","noblr101","","","","","","","","","19490327","0","MEM02","MEM","l","exhibition","","1949"
"MEM194903270","NY6","1","0","0","0","0","1","0","2","0","","","","","","","","","","","","","","","","","","","","","","lower","","","4","8","","","1","2","","","","","","","","","","","","24","","","8","","","","6","","","","","","","","","","","","","24","","3","","","","","","","","","","","","","","","","loper102","noblr101","","","","","","","","","19490327","0","MEM02","MEM","l","exhibition","","1949"
"MEM194904010","NY6","0","1","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","7","","value","37","32","3","7","0","0","1","3","0","0","2","3","0","5","1","0","1","0","1","24","0","36","8","1","0","1","7","5","4","0","0","0","1","3","0","0","3","0","0","24","13","3","0","0","0","1","3","0","yvana101","dandr101","easth104","noblr101","cabrl102","diazf101","vargg101","ariom101","jenkp101","jenkp101","noblr101","cabrl102","dandr101","easth104","yvana101","vargg101","diazf101","ariom101","","19490401","0","GRE01","MEM","l","exhibition","y","1949"
"HOE194904030","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","7","6","","","1","","","","","","","","","","","","","27","","","8","","","","2","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","barnd101","","","","","","","","","","19490403","0","LRK02","HOE","w","exhibition","","1949"
"HOE194904111","NY6","1","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","value","","","2","3","","","","","","","","","","","","","","","","21","","","7","","","","2","","","","","","","","","","","","","21","","1","","","","","","","","","","","","","","","","pearj102","noblr101","","","","","","","","","19490411","1","MEM02","HOE","t","exhibition","","1949"
"MEM194904112","NY6","0","0","0","3","2","3","1","","","","","","","","","","","","","","","","","","","","","","","","value","","","9","9","","","","","","","","","","","","","","","","21","","","3","","","","1","","","","","","","","","","","","","21","","0","","","","","","","","","","","","","","","","barnd101","noblr101","","","","","","","","","19490411","2","MEM02","MEM","w","exhibition","","1949"
"NY6194904150","NY6","0","0","3","0","0","0","4","1","x","","","","","","","","","","","","","","","","","","","","","","value","","","8","12","","","","","","","","","","","","","","","","27","","","7","","","1","3","","","","13","","","","","","","","","27","","","3","","","","","","","","","","","","","","","loper102","noblj101","","","","","","","","","19490415","0","NOL01","KCM","w","exhibition","","1949"
"NY6194904171","NY6","1","0","0","0","2","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","value","","","4","9","","","","","","1","1","","","","","","","","","30","","","6","","","2","3","","","","","","","","","","","","","30","","1","","","","","","","","","","","","","","","","barnd101","loudl101","","","","","","","","","19490417","1","NOL01","KCM","w","exhibition","","1949"
"NY6194904172","NY6","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","value","","","0","2","","","","","","","","","","9","","","","","","18","","","3","","1","","2","2","2","","","","","","","","","","","18","","1","","","","","","","","","","","","","","","","noblj101","noblr101","","","","","","","","","19490417","2","NOL01","KCM","l","exhibition","","1949"
"NY6194904180","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","11","","","","","","","","","","","","","","","","","27","","","","","","1","8","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19490418","0","SHR01","KCM","w","exhibition","","1949"
