"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"KCM194607211","IN9","0","3","0","0","2","0","5","0","0","","","","","","","","","","","","","","","","","","","","6","value","37","10","9","1","1","0","10","1","","0","5","","","0","","","0","27","","37","7","0","1","0","3","","3","","4","0","0","0","0","","27","11","3","1","0","0","drakr101","ferrc102","neilr101","hairs101","tatug101","lockl101","clevd101","xiqul101","colzj101","colzj101","hairs101","tatug101","neilr101","lockl101","ferrc102","xiqul101","drakr101","clevd101","","19460721","1","KAN05","KCM","W","regular","y","1946"
"KCM194607211","IN9","0","3","0","0","2","0","5","0","0","","","","","","","","","","","","","","","","","","","","6","lower","37","10","9","1","1","0","10","1","","0","","","","0","","","0","27","","34","7","0","1","0","3","","3","","4","0","0","0","0","","27","11","3","1","0","0","drakr101","ferrc102","neilr101","hairs101","tatug101","lockl101","clevd101","xiqul101","colzj101","colzj101","hairs101","tatug101","neilr101","lockl101","ferrc102","xiqul101","drakr101","clevd101","","19460721","1","KAN05","KCM","W","regular","y","1946"
"KCM194607211","IN9","0","3","0","0","2","0","5","0","0","","","","","","","","","","","","","","","","","","","","6","upper","38","10","9","1","1","0","10","1","","0","","","","0","","","0","27","","37","7","0","1","0","3","","3","","4","0","0","0","0","","27","11","3","1","0","0","drakr101","ferrc102","neilr101","hairs101","tatug101","lockl101","clevd101","xiqul101","colzj101","colzj101","hairs101","tatug101","neilr101","lockl101","ferrc102","xiqul101","drakr101","clevd101","","19460721","1","KAN05","KCM","W","regular","y","1946"
"KCM194607212","IN9","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","5","value","28","2","5","0","0","0","2","3","","0","3","","","0","","","0","27","","36","6","0","0","0","0","0","5","","5","0","0","0","1","","27","12","2","1","0","0","drakr101","smitg105","neilr101","hairs101","tatug101","lockl101","clevd101","haywb102","watsa102","watsa102","haywb102","tatug101","neilr101","hairs101","smitg105","lockl101","drakr101","clevd101","","19460721","2","KAN05","KCM","W","regular","y","1946"
"KCM194607212","IN9","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","5","lower","28","2","5","0","0","0","2","3","","0","","","","0","","","0","27","","30","6","0","0","0","0","0","5","","5","0","0","0","0","","27","12","2","1","0","0","drakr101","smitg105","neilr101","hairs101","tatug101","lockl101","clevd101","haywb102","watsa102","watsa102","haywb102","tatug101","neilr101","hairs101","smitg105","lockl101","drakr101","clevd101","","19460721","2","KAN05","KCM","W","regular","y","1946"
"KCM194607212","IN9","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","5","upper","28","2","5","0","0","0","2","3","","0","","","","0","","","0","27","","36","6","0","0","0","0","0","5","","5","0","0","0","1","","27","12","2","1","0","0","drakr101","smitg105","neilr101","hairs101","tatug101","lockl101","clevd101","haywb102","watsa102","watsa102","haywb102","tatug101","neilr101","hairs101","smitg105","lockl101","drakr101","clevd101","","19460721","2","KAN05","KCM","W","regular","y","1946"
"KCM194607220","IN9","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","7","value","34","1","7","0","2","0","1","0","","0","1","","","1","","","0","24","","35","8","0","2","0","5","","6","","5","0","0","0","0","","24","13","1","1","0","0","drakr101","ferrc102","neilr101","hairs101","tatug101","lockl101","clevd101","haywb102","henrp101","henrp101","haywb102","tatug101","neilr101","hairs101","ferrc102","lockl101","drakr101","clevd101","","19460722","0","KAN05","KCM","L","regular","y","1946"
"KCM194607220","IN9","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","7","lower","34","1","7","0","2","0","1","0","","0","","","","1","","","0","24","","29","8","0","2","0","5","","6","","5","0","0","0","0","","24","13","1","1","0","0","drakr101","ferrc102","neilr101","hairs101","tatug101","lockl101","clevd101","haywb102","henrp101","henrp101","haywb102","tatug101","neilr101","hairs101","ferrc102","lockl101","drakr101","clevd101","","19460722","0","KAN05","KCM","L","regular","y","1946"
"KCM194607220","IN9","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","7","upper","34","1","7","0","2","0","1","0","","0","","","","1","","","0","24","","35","8","0","2","0","5","","6","","5","0","0","0","0","","24","13","1","1","0","0","drakr101","ferrc102","neilr101","hairs101","tatug101","lockl101","clevd101","haywb102","henrp101","henrp101","haywb102","tatug101","neilr101","hairs101","ferrc102","lockl101","drakr101","clevd101","","19460722","0","KAN05","KCM","L","regular","y","1946"
"KCM194607230","IN9","0","0","3","3","0","0","3","0","0","","","","","","","","","","","","","","","","","","","","9","value","36","9","7","2","0","0","7","2","","0","7","","2","0","","","0","27","","44","10","1","0","0","6","5","8","","9","0","1","0","0","","27","8","2","2","0","1","drakr101","ferrc102","neilr101","hairs101","tatug101","lockl101","clevd101","smitg105","calhl101","calhl101","hairs101","tatug101","neilr101","smitg105","ferrc102","lockl101","drakr101","clevd101","","19460723","0","CBI01","KCM","W","regular","y","1946"
