"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"JAX193804241","NW2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","12","","","","","","","","","","","","","","","","","27","","","","","","","6","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380424","1","JKV01","JAX","w","exhibition","","1938"
"JAX193804242","NW2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","9","","","","","","","","","","","","","","","","","27","","","","","","","5","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380424","2","JKV01","JAX","w","exhibition","","1938"
"NW2193806040","NW2","0","0","3","0","0","0","0","0","3","","","","","","","","","","","","","","","","","","","","6","","value","39","39","6","10","","","","","","","","","","","","","","","","27","","40","12","","","","7","","","","","","","","","","","","","27","","3","","","","","","","crutj101","seayd101","wellw101","stone101","suttm101","pearl102","browj112","smitw105","day-l101","","","","","","","","","","","19380604","0","TRE01","HOM","l","regular","y","1938"
"PH5193806191","NW2","0","2","0","1","2","0","1","2","1","","","","","","","","","","","","","","","","","","","","6","","value","42","42","9","13","","","","","","","","","","","","","","","","27","","39","11","","","","7","","","","","","","","","","","","","27","11","2","","","","","","","crutj101","seayd101","wellw101","stone101","suttm101","dandr101","pearl102","browj113","wrigj105","wrigj105","browj113","suttm101","seayd101","dandr101","wellw101","pearl102","crutj101","stone101","","19380619","1","PHI16","PH5","w","regular","y","1938"
"PH5193806192","NW2","0","0","3","2","0","2","0","","","","","","","","","","","","","","","","","","","","","","3","","value","31","31","7","6","","","","","","","","","","","","","","","","18","","29","9","","","","8","","","","","","","","","","","","","18","","3","","","","","","","crutj101","seayd101","wellw101","stone101","suttm101","dandr101","pearl102","hayej104","evanb105","","","","","","","","","","","19380619","2","PHI16","PH5","l","regular","y","1938"
"NW2193806261","NW2","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","value","","","7","11","","","2","","","","","","","","","","","","","27","","","5","","","0","0","0","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380626","1","NWK04","BFA","w","regular","","1938"
"NW2193806262","NW2","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","value","","","11","12","","","1","","","","","","","","","","","","","21","","","2","","","0","0","0","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380626","2","NWK04","BFA","w","regular","","1938"
"WBS193807020","NW2","0","1","0","2","2","0","0","2","0","","","","","","","","","","","","","","","","","","","","8","","value","42","36","7","8","","","","","0","","0","6","","","","","","","","27","","36","5","","","","5","","5","","","0","","","1","","","","","27","9","2","1","","","","","","crutj101","wellw101","stone101","suttm101","dandr101","pearl102","hayej104","wrigl105","seayd101","","","","","","","","","","","19380702","0","WAS09","WBS","w","regular","y","1938"
"BLG193807031","NW2","0","4","1","0","1","2","0","1","0","","","","","","","","","","","","","","","","","","","","9","","value","45","45","9","17","","","","","","","","","","","","","","","","24","","45","20","","","","18","","","","","","","","","","","","","24","10","","","","","","","","crutj101","seayd101","wellw101","stone101","suttm101","dandr101","pearl102","browj113","evanb105","","","","","","","","","","","19380703","1","BAL14","BLG","l","regular","y","1938"
"BLG193807032","NW2","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","5","","value","26","26","0","5","","","0","0","","","","","","","","","","","","18","","29","10","","","","8","","","","","","","","","","","","","18","7","","","","","","","","crutj101","seayd101","wellw101","stone101","dandr101","mattf101","pearl102","hayej104","robir102","","","","","","","","","","","19380703","2","BAL14","BLG","l","regular","y","1938"
