"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"NY5194807261","NY6","0","0","0","0","0","0","0","1","3","","","","","","","","","","","","","","","","","","","","5","value","36","4","11","1","1","1","","0","","0","0","","","0","","","","24","","33","10","","","1","5","","4","","4","0","1","0","0","","24","14","1","0","0","1","minom101","clarc103","sampt101","cabrl102","bostl102","noblr101","loudl101","ballp102","loper102","loper102","noblr101","cabrl102","sampt101","minom101","ballp102","loudl101","clarc103","bostl102","","19480726","1","PHI11","NY5","L","regular","y","1948"
"NY5194807261","NY6","0","0","0","0","0","0","0","1","3","","","","","","","","","","","","","","","","","","","","5","lower","","4","11","1","1","1","","","","","0","","","","","","","24","","","10","","","1","5","","4","","4","","1","","","","24","14","1","","0","1","minom101","clarc103","sampt101","cabrl102","bostl102","noblr101","loudl101","ballp102","loper102","loper102","noblr101","cabrl102","sampt101","minom101","ballp102","loudl101","clarc103","bostl102","","19480726","1","PHI11","NY5","L","regular","y","1948"
"NY5194807261","NY6","0","0","0","0","0","0","0","1","3","","","","","","","","","","","","","","","","","","","","5","upper","","4","11","1","1","1","","","","","0","","","","","","","24","","","11","","","1","5","","4","","4","","1","","","","24","14","1","","0","1","minom101","clarc103","sampt101","cabrl102","bostl102","noblr101","loudl101","ballp102","loper102","loper102","noblr101","cabrl102","sampt101","minom101","ballp102","loudl101","clarc103","bostl102","","19480726","1","PHI11","NY5","L","regular","y","1948"
"BLG194807270","NY6","1","0","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","6","value","28","3","5","2","1","0","","1","","0","1","","","0","","","","21","","28","4","","","0","2","","3","","6","0","0","0","1","","21","6","1","2","0","0","minom101","clarc103","sampt101","cabrl102","bostl102","noblr101","loudl101","ballp102","santj103","santj103","noblr101","cabrl102","sampt101","minom101","ballp102","loudl101","clarc103","bostl102","","19480727","0","BAL14","BLG","W","regular","y","1948"
"BLG194807270","NY6","1","0","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","6","lower","27","3","5","2","1","","","1","","","","","","","","","","21","","25","4","","","","2","","3","","6","","","","1","","21","6","1","2","0","","minom101","clarc103","sampt101","cabrl102","bostl102","noblr101","loudl101","ballp102","santj103","santj103","noblr101","cabrl102","sampt101","minom101","ballp102","loudl101","clarc103","bostl102","","19480727","0","BAL14","BLG","W","regular","y","1948"
"BLG194807270","NY6","1","0","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","6","upper","28","3","5","2","1","","","1","","","","","","","","","","21","","28","4","","","","2","","3","","6","","","","1","","21","6","1","2","0","","minom101","clarc103","sampt101","cabrl102","bostl102","noblr101","loudl101","ballp102","santj103","santj103","noblr101","cabrl102","sampt101","minom101","ballp102","loudl101","clarc103","bostl102","","19480727","0","BAL14","BLG","W","regular","y","1948"
"NY6194808080","NY6","0","2","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","6","value","35","3","10","4","0","0","","0","","0","1","","","1","","","","27","","40","12","","","0","4","","0","","5","0","0","0","2","","27","10","2","1","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","ballp102","whees101","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","whees101","","19480808","0","NYC16","PH5","L","regular","y","1948"
"NY6194808080","NY6","0","2","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","6","lower","35","3","10","4","","","","","","","","","","1","","","","27","","40","12","","","","4","","0","","5","","","","2","","27","10","2","1","0","","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","ballp102","whees101","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","whees101","","19480808","0","NYC16","PH5","L","regular","y","1948"
"NY6194808080","NY6","0","2","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","6","upper","35","3","10","4","","","","","","","","","","1","","","","27","","40","12","","","","4","","0","","5","","","","2","","27","10","2","1","0","","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","ballp102","whees101","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","whees101","","19480808","0","NYC16","PH5","L","regular","y","1948"
"PH5194808090","NY6","0","0","0","0","3","0","0","1","0","","","","","","","","","","","","","","","","","","","","9","value","35","4","9","0","2","1","","0","","0","5","","","0","","","","27","","33","4","","","0","1","0","1","","8","1","1","0","0","","27","7","1","1","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","ballp102","ashbe101","santj103","santj103","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","ashbe101","","19480809","0","PHI11","PH5","W","regular","y","1948"
"PH5194808090","NY6","0","0","0","0","3","0","0","1","0","","","","","","","","","","","","","","","","","","","","9","lower","","4","9","0","1","1","","0","","0","","","","0","","","","27","","","4","","","0","1","","1","","8","1","1","0","0","","27","7","1","1","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","ballp102","ashbe101","santj103","santj103","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","ashbe101","","19480809","0","PHI11","PH5","W","regular","y","1948"
"PH5194808090","NY6","0","0","0","0","3","0","0","1","0","","","","","","","","","","","","","","","","","","","","9","upper","","4","9","0","2","2","","0","","0","","","","0","","","","27","","","4","","","0","1","","1","","8","1","1","0","0","","27","7","1","1","0","1","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","ballp102","ashbe101","santj103","santj103","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","ashbe101","","19480809","0","PHI11","PH5","W","regular","y","1948"
"BLG194808100","NY6","0","0","1","2","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","5","value","34","4","6","0","0","1","","0","","0","2","","","2","","","","24","","43","12","","","0","9","","7","","1","0","2","0","2","","24","9","1","2","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","scanp104","ballp102","barnd101","barnd101","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","scanp104","","19480810","0","BAL14","BLG","L","regular","y","1948"
