"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"KCM194306110","KCM","2","0","0","0","0","0","0","1","0","0","1","","","","","","","","","","","","","","","","","","9","","value","45","42","4","13","3","1","0","2","2","","0","1","","4","1","","","0","","33","","41","7","0","0","0","3","","2","0","5","0","0","0","0","0","0","","0","33","18","3","1","0","0","0","0","","willj111","oneib801","soueh101","broww101","thomh103","serrb101","hayns101","simmw101","smith111","smith111","hayns101","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430611","0","SPR04","MEM","w","regular","y","1943"
"HOM194306170","KCM","1","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","5","","value","26","24","2","7","0","1","0","2","1","","0","1","","3","1","","","0","","18","","26","2","0","0","0","1","1","8","","5","0","0","0","0","","0","","0","18","8","0","1","0","0","0","0","","willj111","oneib801","soueh101","broww101","thomh103","serrb101","simmw101","duncf102","philn101","philn101","duncf102","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430617","0","WAS09","HOM","w","exhibition","y","1943"
"BLG194306180","KCM","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","8","","value","36","32","1","5","0","0","0","0","2","","0","2","","4","1","","","0","","27","","38","9","2","0","0","0","0","3","","6","1","1","0","0","","0","","1","27","13","0","0","0","1","1","0","","allen102","oneib801","soueh101","broww101","thomh103","serrb101","hayns101","simmw101","mcdab101","mcdab101","hayns101","oneib801","serrb101","soueh101","allen102","simmw101","broww101","thomh103","","19430618","0","BAL14","BLG","w","exhibition","y","1943"
"HOM194306201","KCM","0","0","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","10","","value","39","32","2","6","1","0","0","2","0","0","0","7","0","3","0","","","0","","24","","42","12","0","0","0","10","","4","0","7","0","0","0","0","0","0","","0","24","10","4","1","0","0","0","0","","willj111","allen102","soueh101","broww101","oneib801","thomh103","serrb101","duncf102","paigs101","paigs101","duncf102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430620","1","WAS09","HOM","l","exhibition","y","1943"
"HOM194306202","KCM","1","2","1","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","8","","value","35","34","6","12","1","0","0","4","0","0","1","0","0","3","0","","","0","","18","","33","14","0","0","0","7","","1","0","0","1","0","0","0","0","0","","0","18","5","0","0","0","0","0","0","","willj111","allen102","soueh101","broww101","oneib801","thomh103","serrb101","hayns101","matcj101","matcj101","hayns101","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430620","2","WAS09","HOM","l","exhibition","y","1943"
"PH5194306210","KCM","0","0","0","1","4","0","0","0","0","","","","","","","","","","","","","","","","","","","","8","","value","40","37","5","9","2","0","1","5","1","","0","2","","8","0","","","0","","24","","42","13","1","1","0","8","","7","0","2","1","2","0","0","0","3","","2","24","15","1","3","0","2","2","3","","willj111","oneib801","soueh101","broww101","thomh103","serrb101","allen102","hayns101","paigs101","paigs101","hayns101","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430621","0","PHI11","PH5","l","exhibition","y","1943"
"HOM194306230","KCM","1","0","0","0","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","4","","value","34","34","3","7","2","0","0","2","0","","0","0","0","1","0","","","0","","24","","40","12","1","1","1","8","6","4","","3","0","0","0","2","","0","","0","24","14","4","1","0","0","0","0","","willj111","allen102","soueh101","broww101","oneib801","thomh103","serrb101","duncf102","matcj101","matcj101","duncf102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430623","0","PIT06","HOM","l","exhibition","y","1943"
"BLG194306240","KCM","1","1","0","2","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","7","","value","38","33","4","10","4","0","0","","2","0","0","3","0","8","0","","","0","","27","","30","5","0","1","0","0","0","3","","6","0","0","0","0","","1","","0","27","14","0","2","0","0","0","1","","willj111","allen102","soueh101","broww101","oneib801","thomh103","barnh102","serrb101","smith111","smith111","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430624","0","BAL14","BLG","w","exhibition","y","1943"
"NY6194306272","KCM","2","0","0","0","1","0","3","0","0","","","","","","","","","","","","","","","","","","","","5","","value","38","35","6","10","2","0","0","4","1","1","0","2","","7","1","","","0","","27","","40","8","1","0","0","3","1","4","0","5","0","0","1","0","0","1","","0","27","7","2","0","0","0","0","1","","willj111","simmw101","soueh101","broww101","serrb101","oneib801","thomh103","duncf102","paigs101","paigs101","duncf102","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430627","2","NYC16","NY6","w","exhibition","y","1943"
"CVB194306300","KCM","0","0","0","2","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","2","6","","1","","","","","","","","","","","","","","24","","","6","1","1","","3","","","","","","1","","","","","","1","24","","2","","0","1","1","","","","","","","","","","","","philn101","barnh102","","","","","","","","","19430630","0","IND10","CVB","l","regular","","1943"
