"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"ATN193804240","HOM","ATN","ATL04","19380424","0","0:00PM","day","","","false","","0","5000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","browr103","mitcb104","","exhibition","4","1","HOM","ATN","y","both","y","y","y","1938"
"MEM193805011","ATN","MEM","MEM02","19380501","1","","day","","","","","","3500","","","","","","","","","goodw901","wallg901","","","","","mossp101","howar101","","exhibition","7","8","MEM","ATN","y","both","","","","1938"
"MEM193805012","ATN","MEM","MEM02","19380501","2","","day","7","","","","","3500","","","","","","","","","","","","","","","jeffw101","howar101","","exhibition","4","5","MEM","ATN","y","both","","","","1938"
"MEM193805020","ATN","MEM","MEM02","19380502","0","","night","9","","FALSE","","","","","","","","","","","","","","","","","","radct101","","","exhibition","0","8","MEM","ATN","","","","","","1938"
"ATN193805090","CAG","ATN","ELB01","19380509","0","","day","","","","","","","","","","","","","","","","","","","","","","","","exhibition","3","6","ATN","CAG","","","","","","1938"
"JAX193805230","ATN","JAX","JKV01","19380523","0","","night","","","FALSE","","","3000","","","","","","","","","","","","","","","howar101","henrp101","dixoe101","regular","11","6","ATN","JAX","y","both","y","y","","1938"
"KCM193806070","ATN","KCM","OKC01","19380607","0","","night","9","","FALSE","","","3000","","","","","","","","","","","","","","","","howat101","","regular","1","3","KCM","ATN","y","both","","","","1938"
"ATN193806130","IN7","ATN","ELB01","19380613","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","13","8","IN7","ATN","","","","","","1938"
"MEM193806270","ATN","MEM","MEM02","19380627","0","","night","9","","FALSE","","","","","","","","","","","","","","","","","","","","","regular","3","6","MEM","ATN","","","","","","1938"
"MEM193806280","ATN","MEM","MEM02","19380628","0","","night","9","","FALSE","","","","","","","","","","","","","","","","","","jeffw101","mitcb104","","regular","6","7","MEM","ATN","y","both","y","y","","1938"
"MEM193806290","ATN","MEM","LRK02","19380629","0","","night","9","","FALSE","","","","","","","","","","","","","","","","","","","","","regular","10","13","MEM","ATN","y","both","","","","1938"
"BIR193807140","ATN","BIR","LEE01","19380714","0","","day","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","6","BIR","ATN","","","","","","1938"
"IN7193807170","ATN","IN7","MOU01","19380717","0","","","","","","","","","","","","","","","","","","","","","","","mcalf101","dixoe101","","regular","4","5","IN7","ATN","","","","","","1938"
"IN7193807190","ATN","IN7","MOU01","19380719","0","","","9","","FALSE","","","","","","","","","","","","","","","","","","duncs101","deanr101","","regular","5","4","ATN","IN7","","","","","","1938"
"CAG193808130","ATN","CAG","CHI09","19380813","0","","","","","","","","","","","","","","","","","","","","","","","johnt108","reesj103","","regular","5","12","CAG","ATN","","","","","","1938"
"CAG193808150","ATN","CAG","CHI09","19380815","0","","","","","","","","","","","","","","","","","","","","","","","evanf101","housj103","","regular","8","6","ATN","CAG","y","both","","","","1938"
"KCM193808230","ATN","KCM","OKC01","19380823","0","","night","","","","","","3500","","","","","","","","","","","","","","","howat101","kranf101","","regular","6","5","ATN","KCM","y","both","","","","1938"
"ATN193808290","MEM","ATN","MAC01","19380829","0","","night","","","FALSE","","","300","","","","","","","","","meanu901","harvu901","","","","","duncs101","","","regular","6","12","ATN","MEM","","","","","","1938"
"MEM193809180","ATN","MEM","MEM02","19380918","0","0:00PM","day","","","false","","130","0","unknown","unknown","unknown","0","unknown","-1","","","goodw901","wallg901","harvu901","meanu901","","","radct101","evanf101","","lcs","1","6","MEM","ATN","y","both","y","y","d","1938"
"MEM193809190","ATN","MEM","MEM02","19380919","0","0:00PM","night","","","false","","140","0","unknown","unknown","unknown","0","unknown","-1","","","wallg901","meanu901","harvu901","goodw901","","","mossp101","berrc104","","lcs","6","11","MEM","ATN","y","both","y","y","d","1938"
