"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"BLS193210091","ASB","6","0","0","0","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","4","","value","39","35","8","10","1","0","2","8","0","","1","3","","2","0","","","","","27","","34","5","1","0","1","2","0","2","","5","0","0","0","0","","0","","0","27","12","1","1","0","0","0","0","","powej106","heffd101","belll101","arleb101","wilsh102","phelb101","krast101","almou101","franf101","franf101","almou101","arleb101","heffd101","belll101","krast101","wilsh102","powej106","phelb101","","19321009","1","BAL14","BLS","w","exhibition","y","1932"
"BLS193210161","ASB","2","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","8","","value","37","35","2","8","1","0","0","","1","","0","1","","10","0","","","","","24","","31","6","0","0","1","3","0","3","","5","0","0","0","0","","0","","0","24","11","0","2","0","0","0","0","","powej106","heffd101","belll101","arleb101","phelb101","hohmb101","spoha101","lystj101","franf101","franf101","spoha101","arleb101","lystj101","belll101","heffd101","hohmb101","powej106","phelb101","","19321016","1","BAL14","BLS","l","exhibition","y","1932"
"BLS193210230","ASB","0","0","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","5","","value","34","30","2","6","0","1","1","","0","","1","3","","4","2","","","","","24","","33","9","1","0","1","5","0","2","","7","1","0","0","0","","1","","0","24","10","3","0","0","0","0","1","","powej106","graes101","belll101","arleb101","phelb101","clars102","heffd101","spoha101","franf101","franf101","spoha101","arleb101","heffd101","belll101","graes101","clars102","powej106","phelb101","","19321023","0","BAL14","BLS","l","exhibition","y","1932"
