"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"KCM194207160","MEM","0","0","0","2","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","9","upper","32","3","5","1","1","0","3","0","","2","","","","2","","","0","24","","36","12","1","2","0","4","3","3","","4","0","0","0","0","","24","20","2","2","0","1","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","smitb114","evanf101","evanf101","smitb114","taylj106","bankf101","hydec101","browt105","mcdaf101","robin101","cartm101","","19420716","0","STJ01","KCM","L","regular","y","1942"
"BIR194207191","MEM","0","0","5","1","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","8","value","40","8","12","1","2","0","7","0","","1","2","","","1","","","0","27","","36","8","1","0","0","0","0","2","","6","0","0","0","0","","27","12","0","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","hutcw101","hutcw101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420719","1","BIR01","BIR","W","regular","y","1942"
"BIR194207191","MEM","0","0","5","1","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","8","lower","40","8","12","1","2","0","7","0","","1","0","","","1","","","0","27","","34","8","1","0","0","0","0","2","","6","0","0","0","0","","27","12","0","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","hutcw101","hutcw101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420719","1","BIR01","BIR","W","regular","y","1942"
"BIR194207191","MEM","0","0","5","1","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","8","upper","40","8","12","1","2","0","7","0","","1","2","","","1","","","0","27","","36","8","1","0","0","0","0","2","","6","0","0","0","0","","27","12","0","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","hutcw101","hutcw101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420719","1","BIR01","BIR","W","regular","y","1942"
"BIR194207192","MEM","0","0","2","0","0","1","2","","","","","","","","","","","","","","","","","","","","","","8","value","32","5","11","2","4","0","4","0","","1","1","","","2","","","0","18","","28","7","2","0","0","6","","1","","1","0","0","0","0","","18","8","2","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420719","2","BIR01","BIR","L","regular","y","1942"
"BIR194207192","MEM","0","0","2","0","0","1","2","","","","","","","","","","","","","","","","","","","","","","8","lower","32","5","11","2","4","0","4","0","","1","","","","2","","","0","18","","27","7","2","0","0","6","","1","","1","0","0","0","0","","18","8","2","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420719","2","BIR01","BIR","L","regular","y","1942"
"BIR194207192","MEM","0","0","2","0","0","1","2","","","","","","","","","","","","","","","","","","","","","","8","upper","33","5","11","2","4","0","4","0","","1","","","","2","","","0","18","","28","7","2","0","0","6","","1","","1","0","0","0","0","","18","8","2","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420719","2","BIR01","BIR","L","regular","y","1942"
"MEM194207200","MEM","0","0","0","2","0","0","0","2","","","","","","","","","","","","","","","","","","","","","","value","","4","8","","2","","","","","","1","","","","","","","27","","","3","","","","0","0","","","","","","","","","27","","0","","0","","","","","","","","","","","evanf101","browl107","","","","","","","","","19420720","0","MEM02","BIR","W","regular","","1942"
"MEM194207200","MEM","0","0","0","2","0","0","0","2","","","","","","","","","","","","","","","","","","","","","","lower","","4","8","","2","","","","","","1","","","","","","","27","","","3","","","","0","0","","","","","","","","","27","","0","","0","","","","","","","","","","","evanf101","browl107","","","","","","","","","19420720","0","MEM02","BIR","W","regular","","1942"
"MEM194207200","MEM","0","0","0","2","0","0","0","2","","","","","","","","","","","","","","","","","","","","","","upper","","4","8","","2","","","","","","1","","","","","","","27","","","3","","","","0","0","","","","","","","","","27","","0","","0","","","","","","","","","","","evanf101","browl107","","","","","","","","","19420720","0","MEM02","BIR","W","regular","","1942"
