"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"HSL194306180","HSL","0","3","1","0","0","3","0","1","","","","","","","","","","","","","","","","","","","","","12","","value","44","39","8","12","3","0","1","7","0","","0","5","","6","1","","","0","","27","","32","3","1","0","0","0","0","1","","10","0","0","0","0","","0","","0","27","","4","1","0","0","0","0","","wilsd103","fordj101","parkt101","starj102","armob101","willh105","wille105","grayc104","walkr103","walkr103","grayc104","starj102","fordj101","wilsd103","willh105","parkt101","armob101","wille105","","19430618","0","HRB01","NW2","w","regular","y","1943"
"HSL194306190","HSL","2","2","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","8","","value","37","34","5","12","2","0","0","4","0","0","0","3","0","2","0","","","0","","27","","40","6","1","0","0","3","","4","","8","1","0","1","1","","1","","1","27","12","3","0","0","1","0","1","","wilsd103","fordj101","parkt101","starj102","armob101","willh105","wille105","grayc104","boonl102","boonl102","grayc104","starj102","fordj101","wilsd103","willh105","parkt101","armob101","wille105","","19430619","0","WIL05","NW2","w","regular","y","1943"
"HSL194306200","HSL","1","0","0","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","5","","value","40","36","2","7","1","0","0","2","1","","0","3","","6","3","","","0","","33","","45","10","2","1","0","3","1","6","","7","1","0","0","1","","1","","1","33","17","1","2","0","1","0","1","","wilsd103","fordj101","parkt101","starj102","armob101","willh105","wille105","grayc104","mcalf101","mcalf101","grayc104","starj102","fordj101","wille105","willh105","parkt101","armob101","wilsd103","","19430620","0","HRB01","NW2","l","regular","y","1943"
"HOM194306240","HSL","1","0","0","1","2","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","9","","value","47","43","5","10","3","0","0","5","0","","0","4","","2","1","","","0","","31","","46","10","1","0","0","6","","5","0","11","0","1","0","0","0","5","","1","31","8","2","0","0","1","1","5","","wilsd103","fordj101","parkt101","starj102","cartw102","armob101","willh105","grayc104","boonl102","boonl102","grayc104","starj102","fordj101","cartw102","willh105","wilsd103","armob101","parkt101","","19430624","0","WAS09","HOM","l","regular","y","1943"
"HWS194307041","HSL","0","0","0","0","2","2","2","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","6","2","1","1","","","","","","","","","","","","","","27","","","","","","","4","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","boonl102","","","","","","","","","","19430704","1","CIN07","HWS","w","exhibition","","1943"
"HWS194307042","HSL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","4","","","","","","","","","","","","","","","","","18","","","1","","","","5","","","","","","","","","","","","","18","","5","","0","","","","","","","","","","","","","","","","","","","","","","","","19430704","2","CIN07","HWS","l","exhibition","","1943"
"HSL194307110","HSL","0","1","0","0","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","8","","value","42","39","3","8","0","0","0","2","1","","0","2","","2","2","","","0","","33","","43","4","0","0","0","2","","6","0","7","0","0","0","2","0","2","","0","33","15","3","1","0","0","0","2","","cartw102","wilsd103","armob101","fordj101","mcalf101","mccof102","wille105","turnl101","parkt101","parkt101","mccof102","turnl101","fordj101","cartw102","wilsd103","mcalf101","armob101","wille105","","19430711","0","HRB01","HWS","w","exhibition","y","1943"
"HSL194307130","HSL","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","7","","","","","","","","","","","","","","","","","27","","","","","","","4","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","boonl102","","","","","","","","","","19430713","0","UNI01","HWS","w","exhibition","","1943"
"HOM194307140","HSL","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","3","","value","31","30","1","2","0","0","0","0","0","","0","1","","4","0","","","0","","24","","30","5","0","0","0","2","1","3","","7","0","2","0","0","","0","","1","24","10","2","1","0","1","2","0","","jonec109","wilsd103","armob101","fordj101","parkt101","grayc104","mcalf101","turnl101","boonl102","boonl102","grayc104","turnl101","fordj101","jonec109","wilsd103","mcalf101","armob101","parkt101","","19430714","0","WAS09","HOM","l","regular","y","1943"
"HWS194307181","HSL","0","0","1","0","2","0","1","0","0","","","","","","","","","","","","","","","","","","","","8","","value","39","37","4","11","4","0","0","4","1","","0","1","","5","1","","","0","","27","","36","6","2","0","0","2","1","4","0","7","0","0","1","0","0","1","","0","27","9","2","2","0","0","0","1","","cartw102","grayc104","parkt101","fordj101","armob101","wille105","turnl101","mccof102","grimh101","grimh101","grayc104","turnl101","fordj101","mccof102","cartw102","wille105","armob101","parkt101","","19430718","1","OIL01","HWS","w","exhibition","y","1943"
"HWS194307182","HSL","0","0","3","0","1","","","","","","","","","","","","","","","","","","","","","","","","1","","value","20","18","4","5","1","1","0","4","0","1","1","1","","0","0","","","0","","12","","26","8","0","0","0","9","","3","0","3","0","0","0","0","0","0","","0","12","","","0","0","0","0","0","","cartw102","fordj101","parkt101","armob101","grayc104","wille105","turnl101","mccof102","boonl102","boonl102","grayc104","turnl101","fordj101","mccof102","cartw102","wille105","armob101","parkt101","","19430718","2","OIL01","HWS","l","exhibition","y","1943"
"HWS194307250","HSL","0","0","0","0","2","1","1","0","0","","","","","","","","","","","","","","","","","","","","6","","value","37","32","4","10","1","2","0","","2","0","0","3","0","4","0","","","0","","25","","40","10","0","0","1","5","","5","0","9","0","1","0","1","0","0","","1","25","","3","0","0","1","1","0","","cartw102","wilsd103","parkt101","fordj101","armob101","grayc104","mcalf101","turnl101","walkr103","walkr103","grayc104","turnl101","wilsd103","fordj101","cartw102","parkt101","armob101","mcalf101","","19430725","0","UNI01","HWS","l","exhibition","y","1943"
"HWS194308010","HSL","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","0","","","","","0","","","","","","","","","","","","24","","","1","","","1","6","","1","","","","","","","","","","","24","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19430801","0","BUF06","HWS","l","exhibition","","1943"
"NY5194308150","HSL","0","0","1","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","4","","value","33","33","2","6","1","2","0","0","0","","0","0","0","6","2","","","0","","24","","35","10","0","0","0","7","7","1","0","3","1","0","1","0","0","0","","1","24","","","0","0","1","0","0","","jonec109","wilsd103","parkt101","fordj101","mcalf101","grayc104","shelj102","turnl101","boonl102","boonl102","grayc104","turnl101","fordj101","wilsd103","jonec109","parkt101","mcalf101","shelj102","","19430815","0","NYC16","NY5","l","regular","y","1943"
"HWS194308220","HSL","1","0","0","1","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","4","","value","35","35","4","12","0","2","0","4","0","0","0","0","0","3","0","","","0","","24","","41","13","0","0","0","13","","4","0","5","1","1","0","1","0","1","","3","24","8","6","1","0","3","1","1","","jonec109","turnl101","parkt101","armob101","fordj101","mcalf101","fagag101","johnu101","boonl102","boonl102","fagag101","turnl101","fordj101","johnu101","jonec109","mcalf101","armob101","parkt101","","19430822","0","PIT06","HWS","l","exhibition","y","1943"
"CAG194309070","HSL","0","0","0","0","0","0","4","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","4","7","1","","","2","","","","1","","","","","","","","27","","","6","","","","2","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","walkr103","","","","","","","","","","19430907","0","GRA02","CAG","w","exhibition","","1943"
"MEM194309100","HSL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","10","","","","","","","","","","","","","","","","","27","","","","","","","3","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19430910","0","MEM03","MEM","w","exhibition","","1943"
"MEM194309121","HSL","0","1","2","3","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","6","10","","","","","","","","","","","","","","","","24","","","12","","","","7","","","","","","","","","","","","","24","","2","","0","","","","","","","","","","","","","","parkt101","loveu101","","","","","","","","","19430912","1","MEM03","MEM","l","exhibition","","1943"
"MEM194309121","HSL","0","1","2","3","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","upper","","","6","10","","","","","","","","","","","","","","","","26","","","12","","","","7","","","","","","","","","","","","","26","","2","","0","","","","","","","","","","","","","","parkt101","loveu101","","","","","","","","","19430912","1","MEM03","MEM","l","exhibition","","1943"
"MEM194309122","HSL","1","0","0","2","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","value","","","5","8","","","","","","","","","","","","","","","","21","","","7","","","","2","","","","","","","","","","","","","21","","1","","0","","","","","","","","","","","","","","mcalf101","grayc104","","","","","","","","","19430912","2","MEM03","MEM","w","exhibition","","1943"
"MEM194309140","HSL","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","value","","","6","1","","1","","","","","","","","","","","","","","27","","","","","","","7","","","","","1","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19430914","0","MUS01","MEM","l","exhibition","","1943"
"MEM194309140","HSL","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","upper","","","6","1","","1","","","","","","","","","","","","","","29","","","","","","","7","","","","","1","","","","","","","","29","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19430914","0","MUS01","MEM","l","exhibition","","1943"
"MEM194309150","HSL","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","value","","","1","5","","","","","","","","","","","","","","","","24","","","7","","","","2","","","","","","","","","","","","1","24","","1","","0","1","","","","","","","","","","","","","calhl101","loveu101","","","","","","","","","19430915","0","DAL01","MEM","l","exhibition","","1943"
