"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"BIR194904170","IN9","BIR","ATL04","19490417","0","0:00PM","day","","","false","","0","5000","unknown","unknown","unknown","0","unknown","-1","","","doylj901","meanl101","","","","","poweb103","davip103","","exhibition","6","7","BIR","IN9","y","both","y","y","d","1949"
"BIR194904180","IN9","BIR","BIR01","19490418","0","","","","","FALSE","","","","","","","","","","","","","","","","","","wills104","butth101","","exhibition","2","5","BIR","IN9","y","both","","","","1949"
"BIR194904190","IN9","BIR","BIR01","19490419","0","","night","","","FALSE","","","2500","","","","","","","","","","","","","","","","","","exhibition","4","8","BIR","IN9","y","both","","","","1949"
"KCM194904220","IN9","KCM","MNL01","19490422","0","","night","","","FALSE","","","","","","","","","","","","","","","","","","","","","exhibition","3","4","KCM","IN9","y","both","","","","1949"
"IN9194904280","KCM","IN9","CHA03","19490428","0","0:00PM","night","","","false","","0","2000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","richg102","meanw101","lamaj102","exhibition","5","1","KCM","IN9","y","both","y","y","d","1949"
"KCM194904290","IN9","KCM","NOR02","19490429","0","","night","","","FALSE","","","2900","","","","","","","","","","","","","","","","","","exhibition","7","3","IN9","KCM","","","","","","1949"
"IN9194905030","NY6","IN9","POR01","19490503","0","0:00PM","night","","","false","","0","2000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","barnd101","davip103","","regular","6","3","NY6","IN9","y","both","y","y","d","1949"
"IN9194905040","NY6","IN9","POR01","19490504","0","","night","","","FALSE","","","1500","","","","","","","","","","","","","","","loper102","cathw101","","regular","8","3","NY6","IN9","y","p","","","","1949"
"NY6194905040","NY6","IN9","POR01","19490504","0","","night","","","FALSE","","","1500","","","","","","","","","","","","","","","loper102","cathw101","","regular","3","8","NY6","IN9","","","","","","1949"
"PH5194905120","IN9","PH5","WIL04","19490512","0","0:00PM","night","","","false","","151","1200","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","trusu901","","","","","davip103","harrw101","","regular","2","1","IN9","PH5","y","both","y","y","d","1949"
"PH5194905131","IN9","PH5","PHI11","19490513","1","0:00PM","night","","","false","","0","8243","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","millh104","cathw101","","regular","0","6","PH5","IN9","y","both","y","y","d","1949"
"PH5194905132","IN9","PH5","PHI11","19490513","2","0:00PM","night","","","false","","0","8243","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","thomg105","butth101","rickb102","regular","4","7","PH5","IN9","y","both","y","y","d","1949"
