"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"NY6194804251","PH5","0","0","0","0","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","8","","value","37","33","2","7","0","2","2","2","1","0","0","3","0","5","0","0","0","0","0","24","0","35","7","2","1","1","4","4","5","0","3","0","0","0","1","0","1","0","0","24","13","0","0","0","0","0","1","0","watkm101","cashb101","austf101","bensg101","simph101","dennd102","glens101","duckm101","millh104","millh104","glens101","dennd102","duckm101","watkm101","austf101","cashb101","simph101","bensg101","","19480425","1","NYC14","NY6","l","exhibition","y","1948"
"NY6194804252","PH5","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","value","","","4","","","","","","","","","","","","","","","","","21","","","","","","","3","","","","","","","","","","","","","21","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","19480425","2","NYC14","NY6","w","exhibition","","1948"
"PH5194805010","PH5","2","0","0","0","0","0","0","4","3","","","","","","","","","","","","","","","","","","","","11","","value","47","40","9","11","6","0","0","8","0","","0","7","","7","0","","","","","27","","55","18","7","0","0","17","","7","","8","1","0","0","0","","","","0","27","11","5","0","0","0","0","","","austf101","cashb101","pattg104","bensg101","simph101","dennd102","duckm101","glens101","goulh101","goulh101","glens101","dennd102","duckm101","cashb101","austf101","pattg104","simph101","bensg101","","19480501","0","CHE01","NY6","l","regular","y","1948"
"NY5194805022","PH5","0","0","0","0","1","1","3","0","0","","","","","","","","","","","","","","","","","","","","10","","value","42","35","5","8","3","0","0","5","1","0","0","6","0","4","0","0","0","0","1","27","0","37","6","0","0","0","2","2","1","0","2","0","0","0","0","0","1","0","0","27","11","6","0","0","0","0","1","0","austf101","pattg104","browb107","bensg101","simph101","dennd102","cashb101","duckm101","partr102","partr102","cashb101","dennd102","simph101","duckm101","austf101","pattg104","bensg101","browb107","","19480502","2","NYC16","NY5","w","regular","y","1948"
"NY6194805091","PH5","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","9","","value","39","36","0","10","1","1","0","0","1","0","0","2","0","4","0","0","2","0","0","28","0","32","3","0","0","0","1","1","1","0","4","0","0","0","2","0","1","1","0","28","15","2","1","0","0","0","1","1","watkm101","austf101","simph101","bensg101","dennd102","glens101","pattg104","duckm101","millh104","millh104","glens101","dennd102","duckm101","watkm101","austf101","pattg104","simph101","bensg101","","19480509","1","NYC14","NY6","l","regular","y","1948"
"NY6194805092","PH5","0","0","0","1","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","8","","value","37","34","2","7","0","1","1","2","1","0","0","2","0","4","0","0","0","0","1","24","0","33","9","3","0","0","4","4","2","1","2","0","1","0","0","0","0","0","0","24","9","0","2","0","0","1","0","0","watkm101","austf101","simph101","bensg101","dennd102","cashb101","pattg104","duckm101","mcheh101","mcheh101","cashb101","dennd102","duckm101","watkm101","austf101","pattg104","simph101","bensg101","","19480509","2","NYC14","NY6","l","regular","y","1948"
"PH5194805100","PH5","2","0","1","3","0","0","1","1","","","","","","","","","","","","","","","","","","","","","6","","value","38","36","8","14","5","0","0","","0","","0","2","","1","4","","","","","27","","41","13","3","0","0","4","","0","","3","0","0","0","1","","","","0","27","9","4","0","0","0","0","","","watkm101","austf101","simph101","bensg101","dennd102","pattg104","cashb101","duckm101","partr102","partr102","cashb101","dennd102","duckm101","watkm101","austf101","pattg104","simph101","bensg101","","19480510","0","CHE01","BLG","w","regular","y","1948"
"NW2194805110","PH5","0","0","0","0","3","0","0","0","0","","","","","","","","","","","","","","","","","","","","9","","value","39","39","3","12","0","0","0","","","","","","","","","","","","","27","","34","7","0","0","0","1","","","","","","0","","","","","","0","27","13","1","0","0","0","0","","","watkm101","austf101","simph101","bensg101","dennd102","pattg104","glens101","duckm101","harrw101","harrw101","glens101","dennd102","watkm101","duckm101","austf101","pattg104","simph101","bensg101","","19480511","0","TRE01","NW2","w","regular","y","1948"
"PH5194805142","PH5","4","0","0","8","0","0","0","0","","","","","","","","","","","","","","","","","","","","","6","","value","42","41","12","14","3","0","0","8","0","0","0","1","0","0","3","0","1","0","4","27","0","33","4","0","1","0","2","2","3","0","0","0","0","0","0","0","0","0","0","27","12","0","1","0","0","0","0","0","watkm101","austf101","simph101","bensg101","dennd102","pattg104","cashb101","duckm101","millh104","millh104","cashb101","dennd102","duckm101","watkm101","austf101","pattg104","simph101","bensg101","","19480514","2","PHI11","NW2","w","regular","y","1948"
"PH5194805150","PH5","0","4","3","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","6","","value","38","34","8","11","3","1","0","8","0","0","0","4","0","0","1","0","1","0","1","27","0","41","12","0","0","0","6","6","4","0","0","0","0","0","1","0","0","1","0","27","14","3","4","0","0","0","0","1","watkm101","austf101","simph101","bensg101","dennd102","pattg104","glens101","duckm101","mcheh101","mcheh101","glens101","dennd102","duckm101","watkm101","austf101","pattg104","simph101","bensg101","","19480515","0","WIL04","BLG","w","regular","y","1948"
"PH5194805180","PH5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","","","","","","","","","","","","","","","","","27","","","","","","","6","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","harrw101","","","","","","","","","","19480518","0","YOR02","NY6","l","regular","","1948"
"HOM194805210","PH5","0","0","2","1","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","4","9","","","","","","","","","","","","","","","","27","","","16","","","","11","","","","","","","","","","","","","27","","2","","0","","","","","","","","","","","","","","mcheh101","glens101","","","","","","","","","19480521","0","NBE01","HOM","l","regular","","1948"
"PH5194805220","PH5","0","4","0","0","0","0","0","3","","","","","","","","","","","","","","","","","","","","","","","value","","","7","8","","","","","","","","","","","","","","","","27","","","6","","","","2","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","partr102","glens101","","","","","","","","","19480522","0","PHI11","HOM","w","regular","","1948"
"HOM194805231","PH5","0","0","3","0","0","1","4","0","0","","","","","","","","","","","","","","","","","","","","4","","value","39","38","8","8","0","1","1","8","0","0","0","1","0","2","0","0","0","0","3","27","0","42","12","0","0","0","7","7","3","0","3","0","0","0","0","0","0","0","0","27","14","0","0","0","0","0","0","0","watkm101","austf101","cashb101","bensg101","simph101","dennd102","duckm101","glens101","millh104","millh104","glens101","dennd102","duckm101","watkm101","austf101","bensg101","simph101","cashb101","","19480523","1","WAS09","HOM","w","regular","y","1948"
"HOM194805232","PH5","","","","","","","","","","2","0","0","","","","","","","","","","","","","","","","","","","value","","","6","1","","","1","","","","","","","","","","","","","36","","","1","1","","","6","","2","","","","","","","","","","","36","","0","","0","","","","","","","","","","","","","","browb107","","","","","","","","","","19480523","2","WAS09","HOM","t","regular","","1948"
"HOM194805250","PH5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","","","","","","","","","","","","","","","","","24","","","1","","","1","9","","","","","","","","","","","","","24","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19480525","0","RKM01","HOM","l","regular","","1948"
"NY5194805290","PH5","0","0","0","0","2","0","0","1","5","","","","","","","","","","","","","","","","","","","","10","","value","45","39","8","10","1","0","1","7","2","0","0","4","0","3","1","0","0","0","4","27","0","38","11","1","0","0","2","2","2","0","5","0","0","0","0","0","0","0","0","27","11","2","1","0","0","0","0","0","watkm101","austf101","cashb101","bensg101","simph101","dennd102","brata101","duckm101","mcheh101","mcheh101","cashb101","dennd102","duckm101","watkm101","austf101","bensg101","simph101","brata101","","19480529","0","ROC04","NY5","w","regular","y","1948"
"NY5194805301","PH5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","","","","","","","","","","","","","","","","","27","","","","","","","0","0","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","browb107","","","","","","","","","","19480530","1","SYR04","NY5","w","regular","","1948"
"NY5194805302","PH5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","","","","","","","","","","","","","","","","","18","","","","","","","4","","","","","","","","","","","","","18","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19480530","2","SYR04","NY5","l","regular","","1948"
