"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"MEM193804100","MEM","3","0","2","1","0","0","0","0","x","","","","","","","","","","","","","","","","","","","","","","value","","","6","6","","","","","","","","","","","","","","","","27","","","10","","","","5","","","","","","","","","","","","","27","","2","","","","","","","","","","","","","","","","jeffw101","radct101","","","","","","","","","19380410","0","MEM02","BLG","w","exhibition","","1938"
"MEM193804170","MEM","1","0","0","0","0","2","1","","","","","","","","","","","","","","","","","","","","","","","","value","","","4","9","","","","","","","","","","","","","","","","21","","","9","1","1","2","10","10","5","","","","","","","","","","","21","","1","","","","","","","","","","","","","","","","wilsl102","","","","","","","","","","19380417","0","MEM02","PH5","l","exhibition","","1938"
"MEM193805011","MEM","1","0","0","3","0","0","3","0","0","0","1","","","","","","","","","","","","","","","","","","","","value","","","8","","","","","","","","","","","","","","","","","33","","","","","","","7","","","","","","","","","","","","","33","","","","","","","","","","","","","","","","","","wilsl102","taylj106","","","","","","","","","19380501","1","MEM02","ATN","w","exhibition","","1938"
"MEM193805012","MEM","0","0","4","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","value","","","5","","","","","","","","","","","","","","","","","18","","","","","","","4","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","jeffw101","taylr102","","","","","","","","","19380501","2","MEM02","ATN","w","exhibition","","1938"
"MEM193805020","MEM","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","value","","","8","","","","","","","","","","","","","","","","","27","","","5","","","0","0","0","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380502","0","MEM02","ATN","w","exhibition","","1938"
"MEM193805090","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","1","","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380509","0","MEM02","KCM","l","exhibition","","1938"
"MEM193805102","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","8","","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380510","2","MEM02","KCM","w","exhibition","","1938"
"MEM193805152","MEM","0","1","2","0","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","value","","","8","10","","","","","","","","","","","","","","","","21","","","9","","","","7","","","","","","","","","","","","","21","","1","","","","","","","","","","","","","","","","","","","","","","","","","","19380515","2","MEM02","IN7","w","regular","","1938"
"MEM193805160","MEM","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","value","","","14","","","","","","","","","","","","","","","","","27","","","","","","","9","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380516","0","MRA01","IN7","w","regular","","1938"
"MEM193805160","MEM","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","lower","38","","","","","","","","","","","","","","","","","","","","","36","","","","","","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380516","0","MRA01","IN7","w","regular","","1938"
