"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"PRG193510190","PIR","0","0","0","3","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","5","","value","35","34","3","7","0","0","0","","0","","0","1","","6","0","","","","","24","","41","13","1","0","2","8","0","2","","2","0","0","0","0","","1","","0","24","5","0","0","0","0","0","1","","hillj102","hanef101","vauga101","demaf102","almam101","wrigg102","carlc101","cronb101","frasv101","frasv101","cronb101","almam101","wrigg102","hanef101","vauga101","demaf102","hillj102","carlc101","","19351019","0","LOS02","PRG","l","exhibition","y","1935"
"PRG193510201","PIR","3","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","10","","value","41","36","4","10","0","1","1","4","0","","0","5","","9","0","","","","","25","","39","10","1","0","0","5","0","3","","12","1","0","0","1","","0","","0","25","8","1","1","0","0","0","0","","hillj102","hanef101","vauga101","demaf102","almam101","wrigg102","carlc101","franm102","frenl101","frenl101","franm102","almam101","wrigg102","hanef101","vauga101","demaf102","hillj102","carlc101","","19351020","1","LOS02","PRG","l","exhibition","y","1935"
"PRG193510202","PIR","3","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","5","","value","24","22","4","8","2","0","1","","0","","0","2","","2","1","","","","","15","","20","6","1","0","0","2","0","1","","3","0","0","0","0","","0","","0","15","9","2","1","0","0","0","0","","hillj102","hanef101","vauga101","demaf102","almam101","wrigg102","carlc101","franm102","munnl101","munnl101","franm102","almam101","wrigg102","hanef101","vauga101","demaf102","hillj102","carlc101","","19351020","2","LOS02","PRG","w","exhibition","y","1935"
"PRG193511090","PIR","5","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","5","8","","","1","","","","","","","","","","","","","24","","","16","","","4","13","","","","","","","","","","","","","24","","1","","0","","","","","","","","","","","","","","malic101","luptc101","","","","","","","","","19351109","0","LOS02","PRG","l","exhibition","","1935"
"PRG193511101","PIR","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","4","","value","31","30","0","2","0","0","0","0","0","0","0","1","0","13","1","","","0","","24","","38","11","1","0","0","7","","3","","3","0","0","0","1","","2","","0","24","12","1","1","0","0","0","2","","lee-d101","hanef101","carlc101","bellf102","storl101","bartl102","mcdog103","mcmuh101","munnl101","munnl101","mcmuh101","mcdog103","storl101","hanef101","lee-d101","bartl102","carlc101","bellf102","","19351110","1","LOS02","PRG","l","exhibition","y","1935"
"PRG193511102","PIR","0","1","0","0","2","","","","","","","","","","","","","","","","","","","","","","","","5","","value","23","21","3","8","1","0","0","","1","","0","1","","1","1","","","0","","15","","21","6","2","0","0","2","","0","0","2","0","0","0","0","","0","","0","15","2","0","0","0","0","0","0","","lee-d101","hanef101","carlc101","bellf102","storl101","bartl102","mcdog103","mcmuh101","stinl101","stinl101","mcmuh101","mcdog103","storl101","hanef101","lee-d101","bartl102","carlc101","bellf102","","19351110","2","LOS02","PRG","w","exhibition","y","1935"
"PRG193512011","PIR","0","0","0","0","0","2","2","0","0","","","","","","","","","","","","","","","","","","","","9","","value","40","33","4","7","1","0","0","1","1","","0","6","","12","1","","","0","","24","","36","9","0","0","0","6","5","3","0","3","1","1","0","2","0","1","","1","24","11","2","0","0","1","1","1","","lee-d101","colbb101","carlc101","bellf102","storl101","bartl102","mcdog103","mcmuh101","stinl101","stinl101","mcmuh101","mcdog103","storl101","colbb101","lee-d101","bartl102","carlc101","bellf102","","19351201","1","LOS02","PRG","l","exhibition","y","1935"
"PRG193512012","PIR","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","4","","value","19","15","0","1","0","0","0","0","0","","0","4","","5","0","","","0","","12","","16","3","1","0","2","4","4","2","","2","0","0","0","0","","1","","0","12","6","0","0","0","0","0","1","","lee-d101","colbb101","carlc101","bellf102","storl101","bartl102","mcdog103","mcmuh101","malic101","malic101","mcmuh101","mcdog103","storl101","colbb101","lee-d101","bartl102","carlc101","bellf102","","19351201","2","LOS02","PRG","l","exhibition","y","1935"
"PRG193512221","PIR","0","0","3","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","3","5","","","","","","","","","","","","","","","","24","","","14","","","2","11","","","","","","","","","","","","","24","","1","","0","","","","","","","","","","","","","","munnl101","mcmuh101","","","","","","","","","19351222","1","LOS02","PRG","l","exhibition","","1935"
"PRG193512222","PIR","0","0","0","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","3","","","","","","","","","","","","","","","","12","","","7","","","","5","","","","","","","","","","","","","12","","0","","0","","","","","","","","","","","","","","mcdoh101","bellf102","","","","","","","","","19351222","2","LOS02","PRG","l","exhibition","","1935"
