ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,X,Notes,Accepted
1898N0001,clarb103,1898,BLN,O,,G,SLN189808281,1,0,1898N0003,SWAP,,,
1898N0002,clarb103,1898,BLN,D,C,G,SLN189808281,1,0,1898N0004,SWAP,,,
1898N0003,robiw101,1898,BLN,O,,G,SLN189808281,0,1,1898N0001,SWAP,,,
1898N0004,robiw101,1898,BLN,D,C,G,SLN189808281,0,1,1898N0002,SWAP,,,
1898N0005,clarb103,1898,BLN,O,,AB,SLN189808281,5,0,1898N0006,SWAP,,,
1898N0006,robiw101,1898,BLN,O,,AB,SLN189808281,0,5,1898N0005,SWAP,,,
1898N0007,holmd101,1898,BLN,O,,G,BRO189806170,1,0,,,,Holmes PH for Hughes in 9th,
1898N0008,holmd101,1898,BLN,O,,AB,BRO189806170,1,0,1898N0010,SWAP,,Holmes PH for Hughes in 9th,
1898N0009,holmd101,1898,BLN,O,,R,BRO189806170,1,0,1898N0011,SWAP,,Holmes PH for Hughes in 9th,
1898N0010,hughj105,1898,BLN,O,,AB,BRO189806170,3,4,1898N0010,SWAP,,Holmes PH for Hughes in 9th,
1898N0011,hughj105,1898,BLN,O,,R,BRO189806170,0,1,1898N0011,SWAP,,Holmes PH for Hughes in 9th,
1898N0012,jennh101,1898,BLN,O,,G,CL4189807302,1,0,,,,Jennings ejected in top of 1st,
1898N0013,jennh101,1898,BLN,D,SS,G,CL4189807302,1,0,,,,Jennings ejected in top of 1st,
1898N0014,klobf101,1898,BSN,O,,G,PHI189807070,1,0,,,,Klobedanz PH for Nichols in 9th,
1898N0015,klobf101,1898,BSN,O,,AB,PHI189807070,1,0,1898N0016,SWAP,,Klobedanz PH for Nichols in 9th,
1898N0016,nichk101,1898,BSN,O,,AB,PHI189807070,3,4,1898N0016,SWAP,,Klobedanz PH for Nichols in 9th,
1898N0017,lewit101,1898,BSN,O,,G,BSN189806170,0,1,1898N0020,SWAP,,,
1898N0018,lewit101,1898,BSN,D,2B,G,BSN189806170,0,1,1898N0021,SWAP,,,
1898N0019,lewit101,1898,BSN,O,,AB,BSN189806170,0,4,1898N0022,SWAP,,,
1898N0020,loweb101,1898,BSN,O,,G,BSN189806170,1,0,1898N0017,SWAP,,,
1898N0021,loweb101,1898,BSN,D,2B,G,BSN189806170,1,0,1898N0018,SWAP,,,
1898N0022,loweb101,1898,BSN,O,,AB,BSN189806170,4,0,1898N0019,SWAP,,,
1898N0023,grifc101,1898,CHN,O,,G,NY1189808130,1,0,,,,Griffith ejected in top of 1st,
1898N0024,grifc101,1898,CHN,P,,G,NY1189808130,1,0,,,,Griffith ejected in top of 1st,
1898N0025,grifc101,1898,CHN,D,P,G,NY1189808130,1,0,,,,Griffith ejected in top of 1st,
1898N0026,grifc101,1898,CHN,P,,GS,NY1189808130,1,0,1898N0027,,,Griffith ejected in top of 1st,
1898N0027,woodw102,1898,CHN,P,,GS,NY1189808130,0,1,1898N0026,,,Griffith ejected in top of 1st,
1898N0028,woodw102,1898,CHN,P,,CG,NY1189808130,0,1,1898N0026,,,Griffith ejected in top of 1st,
