ID,last,first
alleh102,Allen,Ham
ayeru901,Ayers,A.D.
blodc901,Blodgett,William
burtl901,Burtis,Warren
chapj102,Chapman,Jack
chepj901,Cheppu,John
clacb101,Clack,Bobby
colld102,Collins,Dan
conef101,Cone,Fred
cranr901,Crandall,Robert
crosj901,Cross,John
currp102,Curran,John
danic901,Daniels,Charles
deanh101,Deane,Harry
devid901,Devinney,Dan
duchu901,Ducharme,Ed
englj901,English,John
fennn901,Fenno,Norman
fishc102,Fisher,Cherokee
fousb101,Fouser,Bill
halee901,Haley,Eddie
hatfj101,Hatfield,John
hautc101,Hautz,Charlie
heubg101,Heubel,George
hodga902,Hodges,Amory
hurlg901,Hurll,George
kennj102,Kenney,John
knigl101,Knight,Lon
laugb101,Laughlin,Ben
martp104,Martin,Phonney
masoc101,Mason,Charlie
mathb101,Mathews,Bobby
mcgep102,McGee,Pat
mcleb901,McLean,Billy
mcmuj101,McMullin,John
medaw901,Medart,William
megrc901,Megrue,Cliff
morrj902,Morris,John
muirt901,Muir,Thomas
obriw901,O'Brien,William
osbow901,Osborne,William
quinp103,Quinn,Paddy
ritcf901,Ritchie,F.
rocaa101,Rocap,Adam
rollu901,Roll,
sewag101,Seward,George
simmj101,Simmons,Joe
smitp101,Smith,Pop
sommb901,Sommer,Benjamin
summj901,Sumner,James
sutte101,Sutton,Ezra
tildo901,Tilden,Otis
walkw901,Walker,William
walsm801,Walsh,Mike
waltg901,Walton,G.W.
warrl901,Warren,L.B.
whitg901,White,Gideon
whitw102,White,Warren
willd106,Williams,Dale
woodj106,Wood,Jimmy
wrigh101,Wright,Harry
