ID,last,first
barrg901,Barr,George
branu901,Brannan,
brenu902,Brenham,
broce901,Brockman,Edward
campb901,Campbell,Bick
clarb901,Clarke,Bob
connt901,Connolly,Tommy
cummc901,Cummings,Chick
dinnb101,Dinneen,Bill
donnc901,Donnelly,Charles
geish901,Geisel,Harry
guthb901,Guthrie,Bill
hildg101,Hildebrand,George
jordl901,Jorda,Lou
klemb901,Klem,Bill
mageg901,Magerkurth,George
mcgob901,McGowan,Bill
mcgrt901,McGrew,Ted
meehj901,Meehan,James
monap901,Monahan,Pat
morac102,Moran,Charlie
morig101,Moriarty,George
murpu901,Murphy,
nalld901,Nallin,Dick
ormsr901,Ormsby,Red
owenb901,Owens,Brick
pfirc901,Pfirman,Cy
quige901,Quigley,Ernie
rearb901,Reardon,Beans
riglc901,Rigler,Cy
rue-j901,Rue,Joe
scotj104,Scott,Jim
stard901,Stark,Dolly
vangr901,Van Graflan,Roy
walku901,Walker,
wheeu901,Wheeler,
