Date,Num,Day,Visitor,League,Game,Home,League,Game,Day/Night,Postponed,Makeup
"18920412","0","Tue","BRO","NL",1,"BLN","NL",1,"D","",""
"18920412","0","Tue","PIT","NL",1,"CIN","NL",1,"D","",""
"18920412","0","Tue","CL4","NL",1,"LS3","NL",1,"D","",""
"18920412","0","Tue","NY1","NL",1,"PHI","NL",1,"D","",""
"18920412","0","Tue","CHN","NL",1,"SLN","NL",1,"D","",""
"18920412","0","Tue","BSN","NL",1,"WSN","NL",1,"D","",""
"18920413","0","Wed","PIT","NL",2,"CIN","NL",2,"D","",""
"18920413","0","Wed","CL4","NL",2,"LS3","NL",2,"D","Rain; Site change","18920615"
"18920413","0","Wed","CHN","NL",2,"SLN","NL",2,"D","Rain; No makeup played",""
"18920414","0","Thu","BRO","NL",2,"BLN","NL",2,"D","Rain","18920427"
"18920414","0","Thu","PIT","NL",3,"CIN","NL",3,"D","Rain; Site change","18920520"
"18920414","0","Thu","CL4","NL",3,"LS3","NL",3,"D","Rain; Site change","18920616"
"18920414","0","Thu","NY1","NL",2,"PHI","NL",2,"D","Rain","18920427"
"18920414","0","Thu","CHN","NL",3,"SLN","NL",3,"D","Rain; No makeup played",""
"18920414","0","Thu","BSN","NL",2,"WSN","NL",2,"D","Rain","18920427"
"18920415","0","Fri","BRO","NL",3,"BLN","NL",3,"D","",""
"18920415","0","Fri","CL4","NL",4,"CIN","NL",4,"D","",""
"18920415","0","Fri","CHN","NL",4,"LS3","NL",4,"D","",""
"18920415","0","Fri","NY1","NL",3,"PHI","NL",3,"D","Wet grounds","18920427"
"18920415","0","Fri","PIT","NL",4,"SLN","NL",4,"D","",""
"18920415","0","Fri","BSN","NL",3,"WSN","NL",3,"D","Wet grounds","18920427"
"18920416","0","Sat","BSN","NL",4,"BLN","NL",4,"D","",""
"18920416","0","Sat","CL4","NL",5,"CIN","NL",5,"D","",""
"18920416","0","Sat","CHN","NL",5,"LS3","NL",5,"D","",""
"18920416","0","Sat","BRO","NL",4,"PHI","NL",4,"D","",""
"18920416","0","Sat","PIT","NL",5,"SLN","NL",5,"D","",""
"18920416","0","Sat","NY1","NL",4,"WSN","NL",4,"D","",""
"18920418","0","Mon","BSN","NL",5,"BLN","NL",5,"D","Rain","18920624"
"18920418","0","Mon","CHN","NL",6,"CIN","NL",6,"D","Rain","18920419"
"18920418","0","Mon","PIT","NL",6,"LS3","NL",6,"D","Rain","18920621"
"18920418","0","Mon","BRO","NL",5,"PHI","NL",5,"D","",""
"18920418","0","Mon","CL4","NL",6,"SLN","NL",6,"D","Rain","18920508"
"18920418","0","Mon","NY1","NL",5,"WSN","NL",5,"D","Rain","18920621"
"18920419","0","Tue","NY1","NL",6,"BLN","NL",6,"D","",""
"18920419","0","Tue","CHN","NL",7,"CIN","NL",7,"D","",""
"18920419","0","Tue","PIT","NL",7,"LS3","NL",7,"D","",""
"18920419","0","Tue","BSN","NL",6,"PHI","NL",6,"D","",""
"18920419","0","Tue","CL4","NL",7,"SLN","NL",7,"D","Rain","18920625"
"18920419","0","Tue","BRO","NL",6,"WSN","NL",6,"D","",""
"18920420","0","Wed","NY1","NL",7,"BLN","NL",7,"D","",""
"18920420","0","Wed","CHN","NL",8,"LS3","NL",8,"D","Rain","18920422"
"18920420","0","Wed","BSN","NL",7,"PHI","NL",7,"D","",""
"18920420","0","Wed","BRO","NL",7,"WSN","NL",7,"D","Rain","18920624"
"18920421","0","Thu","PHI","NL",8,"BRO","NL",8,"D","Rain","18920423"
"18920421","0","Thu","BLN","NL",8,"BSN","NL",8,"D","",""
"18920421","0","Thu","CIN","NL",8,"CL4","NL",8,"D","",""
"18920421","0","Thu","CHN","NL",9,"LS3","NL",9,"D","",""
"18920421","0","Thu","WSN","NL",8,"NY1","NL",8,"D","Rain","18920423"
"18920421","0","Thu","SLN","NL",8,"PIT","NL",8,"D","Rain","18920423"
"18920422","0","Fri","PHI","NL",9,"BRO","NL",9,"D","",""
"18920422","0","Fri","BLN","NL",9,"BSN","NL",9,"D","Rain","18920423"
"18920422","0","Fri","CIN","NL",9,"CL4","NL",9,"D","",""
"18920422","0","Fri","WSN","NL",9,"NY1","NL",9,"D","Rain","18921004"
"18920422","0","Fri","SLN","NL",9,"PIT","NL",9,"D","",""
