ID,last,first
bearo101,Beard,Ollie
bettw901,Betts,William
bittr101,Bittmann,Red
campd901,Campbell,Dan
carsk102,Carsey,Kid
chame101,Chamberlain,Ice Box
clarb103,Clarke,Boileryard
clard102,Clarkson,Dad
cushc801,Cushman,Charlie
dailc101,Daily,Con
dwyef101,Dwyer,Frank
earlb101,Earle,Billy
emslb101,Emslie,Bob
gaffj801,Gaffney,John
grifc101,Griffith,Clark
hartj901,Hartley,Jack
herrw901,Herrin,W.E.
hoagw901,Hoagland,Will
hurst801,Hurst,Tim
jevnf901,Jevne,Fred
keeft101,Keefe,Tim
lynct901,Lynch,Tom
mcgud101,McGuire,Deacon
mcquj902,McQuaid,Jack
mearc901,Mears,Charles
murrm101,Murray,Miah
nicoh101,Nicol,Hugh
orouj103,O'Rourke,Jim
powec902,Power,Charles
reilc102,Reilly,Charlie
stagb901,Stage,Billy
stivj101,Stivetts,Jack
sware101,Swartwood,Ed
twitl101,Twitchell,Larry
