ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,,Notes,Accepted
"1956A0001","pisoj101",1956,"KC1","O",,"CS","KC1195609180",1,0,,,,
"1956A0002","pierj102",1956,"BOS","O",,"GDP","KC1195609180",1,0,,,,
"1956A0003","boydb102",1956,"BAL","O",,"SO","KC1195605150",1,0,,,,
"1956A0004","boydb102",1956,"BAL","O",,"RBI","BAL195608210",2,1,,,,
"1956A0005","everh101",1956,"BAL","O",,"SO","BAL195606031",1,0,,,,
"1956A0006","fornm101",1956,"BAL","O",,"GDP","KC1195609162",0,1,,,,
"1956A0007","gardb101",1956,"BAL","O",,"GDP","BAL195605010",1,0,,,,
"1956A0008","gardb101",1956,"BAL","O",,"GDP","KC1195609162",1,0,,,,
"1956A0009","gastt101",1956,"BAL","O",,"SO","BAL195606290",1,0,,,,
"1956A0010","hattg101",1956,"BAL","O",,"SO","BAL195608140",0,1,,,,
"1956A0012","miraw101",1956,"BAL","O",,"RBI","BAL195609071",1,0,,,,
"1956A0015","niemb101",1956,"BAL","O",,"CS","BAL195608140",1,0,,,,
"1956A0016","phild102",1956,"BAL","O",,"BB","DET195605190",2,0,,,,
"1956A0018","triag101",1956,"BAL","O",,"SO","BAL195606031",0,1,,,,
"1956A0019","willd104",1956,"BAL","O",,"SO","BAL195608140",1,0,,,,
"1956A0020","willd104",1956,"BAL","O",,"CS","BAL195608150",1,0,,,,
"1956A0021","brewt101",1956,"BOS","O",,"SO","CHA195606260",0,2,,,,
"1956A0022","buddd101",1956,"BOS","O",,"SO","CHA195606260",2,0,,,,
"1956A0024","buddd101",1956,"BOS","O",,"GDP","BOS195607172",0,1,,,,
"1956A0025","buddd101",1956,"BOS","O",,"BB","CHA195607291",1,0,,,,
"1956A0026","buddd101",1956,"BOS","O",,"BB","CHA195607292",1,0,,,,
"1956A0027","dalep101",1956,"BOS","O",,"GDP","BOS195607172",1,0,,,,
"1956A0028","dalep101",1956,"BOS","O",,"BB","CHA195607291",0,1,,,,
"1956A0029","dalep101",1956,"BOS","O",,"IBB","CHA195609110",0,1,,,,
"1956A0031","gernd101",1956,"BOS","O",,"RBI","BOS195607200",1,0,,,,
"1956A0032","jensj101",1956,"BOS","O",,"HBP","CHA195606270",0,1,,,,
"1956A0035","parnm101",1956,"BOS","O",,"BB","CHA195607292",0,1,,,,
"1956A0036","pierj102",1956,"BOS","O",,"HBP","CHA195606270",1,0,,,,
"1956A0037","whits103",1956,"BOS","O",,"GDP","BOS195607220",0,1,,,,
