ID,last,first
anthm901,Anthony,Merle
avann901,Avants,Nick
barla901,Barlick,Al
barnl901,Barnett,Larry
burkk101,Burkhart,Ken
chyln901,Chylak,Nestor
colon901,Colosi,Nick
craws901,Crawford,Shag
dalej901,Dale,Jerry
davis901,Davidson,Satch
deegb901,Deegan,Bill
denkd901,Denkinger,Don
dimul901,DiMuro,Lou
donaa901,Donatelli,Augie
engeb901,Engel,Bob
evanj901,Evans,Jim
flahr901,Flaherty,Red
frana901,Frantz,Art
froeb901,Froemming,Bruce
goetr901,Goetz,Russ
gormt101,Gorman,Tom
hallb901,Haller,Bill
harvd901,Harvey,Doug
honoj901,Honochick,Jim
kiblj901,Kibler,John
kunkb101,Kunkel,Bill
lands901,Landes,Stan
lucir901,Luciano,Ron
malog901,Maloney,George
mccol901,McCoy,Larry
mcshj901,McSherry,John
nappl901,Napp,Larry
neudj901,Neudecker,Jerry
odomj901,Odom,Jim
odonj901,O'Donnell,Jake
olsea901,Olsen,Andy
pelec901,Pelekoudas,Chris
phild901,Phillips,Dave
pryop901,Pryor,Paul
ricej901,Rice,John
soarh901,Soar,Hank
sprim901,Springstead,Marty
steim901,Steiner,Mel
steld901,Stello,Dick
stevj901,Stevens,Johnny
sudoe901,Sudol,Ed
umonf901,Umont,Frank
varge901,Vargo,Ed
venzt901,Venzon,Tony
wendh901,Wendelstedt,Harry
weyel901,Weyer,Lee
willb901,Williams,Bill
