ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,,Notes,Accepted
"1972A0001","bayld001",1972,"BAL","O",,"SO","CLE197210031",0,2,,"IMP",,"official totals have 3 AB 2 hits and 2 strikeouts",
"1972A0002","bayld001",1972,"BAL","O",,"GDP","BAL197209041",0,1,,,,
"1972A0003","bufod101",1972,"BAL","O",,"SO","OAK197208270",1,0,,,,
"1972A0004","crowt101",1972,"BAL","O",,"SO","MIN197208290",1,0,,,,
"1972A0005","crowt101",1972,"BAL","O",,"GDP",,10,8,,"ADD",,
"1972A0006","rettm101",1972,"BAL","O",,"GDP",,12,10,,"ADD",,
"1972A0007","bayld001",1972,"BAL","D","OF","LFG","BAL197205060",1,0,,,,
"1972A0008","bayld001",1972,"BAL","D","OF","RFG","BAL197205060",0,1,,,,
"1972A0009","bayld001",1972,"BAL","D","OF","LFG","DET197205170",1,0,,,,
"1972A0010","bayld001",1972,"BAL","D","OF","RFG","DET197205170",0,1,,,,
"1972A0011","bayld001",1972,"BAL","D","OF","LFG","TEX197206110",1,0,,,,
"1972A0012","bayld001",1972,"BAL","D","OF","RFG","TEX197206110",0,1,,,,
"1972A0013","bayld001",1972,"BAL","D","OF","LFG","CAL197209010",1,0,,,,
"1972A0014","bayld001",1972,"BAL","D","1B","DP","MIL197205210",2,3,,,,
"1972A0015","bayld001",1972,"BAL","D","1B","DP","MIN197206160",1,0,,,,
"1972A0016","bayld001",1972,"BAL","D","1B","DP","BAL197207090",1,0,,,,
"1972A0017","bayld001",1972,"BAL","D","1B","DP","TEX197207180",1,0,,,,
"1972A0018","bufod101",1972,"BAL","D","OF","LFG","CLE197210031",1,0,,,,
"1972A0019","bufod101",1972,"BAL","D","OF","RFG","CLE197210031",0,1,,,,
"1972A0020","bumba001",1972,"BAL","D","OF","RFG",,2,0,,"COPY",,
"1972A0021","bumba001",1972,"BAL","D","OF","LFG",,0,2,,"COPY",,
