ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,,Notes,Accepted
"1976A0001","decid001",1976,"BAL","O",,"CS","CAL197604190",0,1,,,,
"1976A0002","duncd101",1976,"BAL","O",,"CS","CAL197604190",1,0,,,,
"1976A0003","fossr101",1976,"CLE","O",,"GDP","NYA197606230",0,1,,,,
"1976A0004","kuipd001",1976,"CLE","O",,"GDP","CLE197605021",0,1,,,,"got /SH on play and 2XH so not GDP"
"1976A0005","lezcs001",1976,"MIL","O",,"SO","BAL197607230",1,2,,,,
"1976A0006","scotg102",1976,"MIL","O",,"SO","MIL197605300",2,1,,,,
"1976A0007","aloms101",1976,"NYA","O",,"SO","TEX197607160",2,1,,,,
"1976A0008","gambo001",1976,"NYA","O",,"SO","TEX197607160",0,1,,,,
"1976A0009","gambo001",1976,"NYA","O",,"SO","NYA197608250",1,2,,,,
"1976A0010","may-c101",1976,"NYA","O",,"GDP","NYA197608250",2,1,,,,
"1976A0011","murrl101",1976,"NYA","O",,"RBI","NYA197610022",1,2,,,,,"Y"
"1976A0012","nettg001",1976,"NYA","O",,"HBP","NYA197605220",1,0,,,,
"1976A0013","randw001",1976,"NYA","O",,"HBP","NYA197605220",0,1,,,,
"1976A0014","rivem001",1976,"NYA","O",,"BB","KCA197608100",0,1,,,,
"1976A0015","whitr101",1976,"NYA","O",,"SO","NYA197608250",1,0,,,,
"1976A0016","bondb101",1976,"CAL","O",,"GDP","CLE197605010",0,1,,,,"no runner on first"
"1976A0017","davit103",1976,"CAL","O",,"IBB","CLE197607210",1,0,,,,
"1976A0018","easlm001",1976,"CAL","O",,"CS","CAL197609220",0,1,,,,
"1976A0019","lopec101",1976,"CAL","O",,"CS","CAL197609220",1,0,,,,
"1976A0020","torrr101",1976,"CAL","O",,"GDP","KCA197604150",1,0,,,,
"1976A0021","bellk101",1976,"CHA","O",,"SH","TEX197606252",1,2,,,,
"1976A0022","bradb105",1976,"CHA","O",,"BB","MIL197606080",1,0,,,,
"1976A0023","brohj101",1976,"CHA","O",,"BB","MIL197608270",0,1,,,,
"1976A0024","dentb001",1976,"CHA","O",,"GDP","KCA197606210",0,1,,,,
"1976A0025","dentb001",1976,"CHA","O",,"SH","TEX197606251",1,0,,,,
"1976A0026","lemoc001",1976,"CHA","O",,"SH","TEX197606252",1,0,,,,
"1976A0027","spenj101",1976,"CHA","O",,"SO","OAK197607260",1,0,,,,
"1976A0028","spenj101",1976,"CHA","O",,"SH","TEX197606251",0,1,,,,
"1976A0029","steib001",1976,"CHA","O",,"BB","MIL197606080",0,1,,,,
"1976A0030","steib001",1976,"CHA","O",,"BB","MIL197608270",1,0,,,,
"1976A0031","steib001",1976,"CHA","O",,"SO","OAK197607260",0,1,,,,
"1976A0032","maybj101",1976,"KCA","O",,"CS","DET197606160",0,1,,,,
"1976A0033","wathj001",1976,"KCA","O",,"GDP","TEX197605262",1,0,,,,
"1976A0034","benij001",1976,"TEX","O",,"GDP","TEX197609250",1,0,,,,
"1976A0035","faheb101",1976,"TEX","O",,"SO","CAL197607250",0,1,,,,
"1976A0036","lahoj101",1976,"TEX","O",,"SO","CAL197607250",1,0,,,,
"1976A0037","waitr001",1976,"CLE","P",,"IBB","CLE197607210",1,0,,,,
"1976A0038","guidr001",1976,"NYA","P",,"GF","NYA197605200",0,1,,,,,"Y"
"1976A0039","pagad101",1976,"NYA","P",,"GF","NYA197605200",1,0,,,,,"Y"
"1976A0040","forst001",1976,"CHA","P",,"BK","KCA197605160",1,0,,,,
"1976A0041","jeffj101",1976,"CHA","P",,"HR","MIN197609050",2,1,,,,,"Y"
"1976A0042","johnb105",1976,"CHA","P",,"HR","MIN197609050",0,1,,,,,"Y"
"1976A0043","leond001",1976,"KCA","P",,"BK","CLE197608240",1,0,,,,
"1976A0044","mings101",1976,"KCA","P",,"BB","KCA197608100",0,1,,,,
"1976A0045","fingr001",1976,"OAK","P",,"R","CHA197609240",3,2,,10.18,,
"1976A0046","fingr001",1976,"OAK","P",,"ER","CHA197609240",3,2,,10.18,,
"1976A0047","lindp101",1976,"OAK","P",,"R","CHA197609240",0,1,,10.18,,
"1976A0048","lindp101",1976,"OAK","P",,"ER","CHA197609240",0,1,,10.18,,
"1976A0049","grimr101",1976,"BAL","P",,"IP",,136.2,137.1,,,,"Film has 136.2 but Pete has 137.1"
"1976A0050","bumba001",1976,"BAL","D","OF","LFG","OAK197607050",1,0,,,,
"1976A0051","bumba001",1976,"BAL","D","OF","LFG","BAL197608270",1,0,,,,
"1976A0052","decid001",1976,"BAL","D","1B","G","NYA197605140",0,1,,,,
"1976A0053","gricb001",1976,"BAL","D","3B","G","KCA197606120",0,1,,,,
"1976A0054","jackr001",1976,"BAL","D","OF","RFG","NYA197605140",1,0,,,,
"1976A0055","moraa101",1976,"BAL","D","OF","RFG","TEX197606200",1,0,,,,
"1976A0056","singk001",1976,"BAL","D","OF","LFG","NYA197605140",1,0,,,,
