ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,,Notes,Accepted
"1957N0061","ashbr101",1957,"PHI","O",,"SO","PIT195709081",0,2,,,,
"1957N0062","ashbr101",1957,"PHI","O",,"CS","NY1195704200",1,0,"1957N0065","COL",,
"1957N0063","ashbr101",1957,"PHI","O",,"CS","PHI195705080",1,0,,,,"K+CS3"
"1957N0064","ashbr101",1957,"PHI","O",,"CS","SLN195708030",1,0,,,,
"1957N0065","ashbr101",1957,"PHI","O",,"GDP","NY1195704200",0,1,"1957N0062","COL",,
"1957N0066","bouce101",1957,"PHI","O",,"HBP","NY1195704212",0,1,"1957N0058","SWAP",,
"1957N0067","bowmb102",1957,"PHI","O",,"CS","PHI195709240",1,0,,,,
"1957N0068","cardd101",1957,"PHI","O",,"SO","PHI195705262",0,1,,,,
"1957N0069","fernc102",1957,"PHI","O",,"BB","CHN195709180",1,0,,,,
"1957N0070","fernc102",1957,"PHI","O",,"SH","PHI195705020",0,1,"1957N0089","SWAP",,
"1957N0071","fernc102",1957,"PHI","O",,"GDP","PHI195705020",0,1,"1957N0081","SWAP",,
"1957N0072","hamng102",1957,"PHI","O",,"2B","CHN195706200",0,1,,,,
"1957N0073","hamng102",1957,"PHI","O",,"H","MLN195706240",1,2,,,,
"1957N0074","hamng102",1957,"PHI","O",,"BB","MLN195707240",1,0,,,,
"1957N0075","hamng102",1957,"PHI","O",,"GDP","CHN195706192",1,0,,,,
"1957N0076","jonew101",1957,"PHI","O",,"CS","PHI195705030",1,0,,,,
"1957N0077","jonew101",1957,"PHI","O",,"GDP","PHI195705030",1,0,,,,
"1957N0078","kazat101",1957,"PHI","O",,"CS","NY1195704200",1,0,"1957N0080","COL",,
"1957N0079","kazat101",1957,"PHI","O",,"CS","PHI195709270",1,0,,,,"K+CS DP"
"1957N0080","kazat101",1957,"PHI","O",,"GDP","NY1195704200",0,1,"1957N0078","COL",,
"1957N0081","kazat101",1957,"PHI","O",,"GDP","PHI195705020",1,0,"1957N0071","SWAP",,
"1957N0082","kazat101",1957,"PHI","O",,"GDP","PHI195708310",1,0,,,,
"1957N0083","lopas101",1957,"PHI","O",,"IBB","NY1195705280",0,1,"1957N0155",,,
