id1,relation,id2
bonie001,Brother,bonij002
bookg001,Related To,bookb101
bookr001,Related To,robij103
boonb001,Father,boona001
boonb001,Father,boonb002
boonb002,Brother,boona001
boonb002,Father-in-Law,allen002
boond102,Brother,booni101
boonr101,Father,boonb001
boonr101,Grandfather,boona001
boonr101,Grandfather,boonb002
borbp101,Father,borbp001
bosmd101,Cousin,kuipd001
bostl102,Father,bostl101
boudl101,Father-in-Law,mclad101
bourc101,Father,bourp001
bowal001,Uncle,johnn001
boyec101,Brother,boyek101
boyec102,Brother,boyec101
boyec102,Brother,boyek101
boyle101,Brother,boylj102
boylj103,Brother,boylb101
bradf101,Uncle,bradh101
bragj801,Brother,bragb101
branm001,Father,branm003
brask101,Brother,brasr101
breed101,Brother,breeh101
bretg001,Brother,bretk101
brewt001,Brother,brewm001
bricf101,Father,bricf102
brinc101,Brother,brine101
britj001,Brother,britj002
brooh001,Cousin,moord001
brooi101,Cousin,broot001
brouc101,Brother-in-Law,lowed101
browc102,Brother,browl103
browj109,Brother,browp101
browj109,Uncle,browd801
browl104,Brother,browd102
browo102,Brother,browo101
browp101,Father,browd801
brubb101,Grandfather,rasmd001
bruce101,Father,bruce102
brumm101,Father,brumm001
buckg101,Great Grandson,pomed001
buckg101,Great Grandson,pomes001
bufod101,Father,bufod001
bullj001,Brother,bullk001
burdl101,Grandfather,fontn001
burdn001,Brother,burdz001
burke001,Cousin,browr001
burnj901,Brother,burnt101
burrj001,Father,burrs001
busbj101,Cousin,busbs101
busbj102,Brother,busbm101
butes001,Father,buted001
butlr001,Brother,butlr002
cabee001,Cousin,david101
cabee001,Cousin,landk001
cabra001,Father,cabrr001
cabro001,Brother,cabrj002
camem001,Father,camed001
camid102,Father,camid101
camnh102,Brother,camnh101
campa101,Father,campj105
campb101,Cousin,cardj101
camph101,Brother,campm101
campl101,Brother,campk101
campv001,Cousin,acunl001
campv001,Cousin,acunr001
canoj001,Father,canor001
cansj001,Brother,canso001
cantm101,Brother,cantt101
capem001,Father,capec001
cares101,Uncle,mcavg101
carlc101,Brother,carlr101
carra101,Uncle,carrc105
carrc104,Father,carrm001
carrc105,Uncle,coloc001
cartr101,Uncle,santj001
cased103,Brother,cased102
ceccg001,Brother,ceccg002
cedea001,Brother,ceded001
ceder001,Uncle,solay001
chapc101,Brother,chape101
chapk002,Cousin,dendm001
charb101,Brother,charo101
chilm001,Brother,chilj001
chilr101,Cousin,kellg101
chilr101,Cousin,kellr102
chiod101,Brother,chiol101
chise101,Brother,chisj101
chith101,Father,chitd801
chril102,Brother,chrir101
cicoe101,Great Uncle,cicoa101
clapa101,Brother,clapj101
clard102,Brother,clarj102
clard102,Brother,clarw102
clard102,Cousin,hackm101
clard102,Cousin,hackw101
clarf101,Brother,clarj103
clarj002,Brother,clarp001
clarj102,Brother,clarw102
clarj102,Cousin,hackm101
clarj102,Cousin,hackw101
clarr101,Brother,clars102
clart001,Father,clarm003
clarw102,Cousin,hackm101
clarw102,Cousin,hackw101
clemr001,Father,clemk001
clemr101,Uncle,cleme001
clibs101,Brother,clibs001
coffs101,Brother,coffd101
cohea101,Brother,cohes101
colac101,Brother,colaj101
coled001,Father-in-Law,segoz001
coleg101,Cousin,littl101
colej101,Father,colej102
colej101,Grandfather,colec001
colej102,Father,colec001
colle101,Father,colle102
colls101,Grandfather,gallb101
coloj001,Uncle,coloa001
conco001,Cousin,lindj002
concr101,Brother,concm101
conij001,Father,conig001
conit101,Brother,conib101
conne101,Father,conne102
conng101,Brother,connj108
connj104,Brother,connr102
contw002,Brother,contw001
conwd101,Brother,conwb101
conwj102,Brother,conwp101
conwo101,Great Uncle,bourp001
cools001,Brother,coolm001
coomj101,Uncle,coomb101
coonj102,Father,coonj101
coonj102,Father,coonj103
coonj103,Brother,coonj101
coopd101,Brother,coopa103
coopm101,Brother,coopw102
coopw102,Father-in-Law,blasd101
coraj001,Brother,coraa001
corcl101,Brother,corcm102
cornm101,Father,cornn001
corrr101,Father,corrj101
coscj101,Brother,coscp101
coveh101,Brother,coves101
covis101,Brother,covit101
crand101,Father,cranj801
crawb001,Brother-in-Law,coleg001
crawc002,Cousin,crawj002
craws901,Father,crawj901
creej101,Cousin,hught102
cresf001,Brother,cresc001
cromt001,Brother,cromd001
cronc001,Father,cronc002
cronc001,Father,cronk001
cronc002,Brother,cronk001
crosa101,Brother,crosf101
crosa101,Brother,crosj102
crosa101,Brother,crosl101
crose101,Father,crosb002
crosf101,Brother,crosj102
crosf101,Brother,crosl101
crosl101,Brother,crosj102
croub102,Father,croub103
crouj101,Uncle,scric101
cruzh101,Brother,cruzj001
cruzh101,Uncle,cruzj004
cruzj001,Father,cruzj004
cruzt101,Brother,cruzh101
cruzt101,Brother,cruzj001
cruzt101,Uncle,cruzj004
cubbm101,Cousin,hanec001
cubbm101,Cousin,hanel101
cucca101,Brother,cucct101
cucct101,Uncle,meles101
culbl101,Grandfather,culbc001
cunnj102,Brother,cunnm102
dacqj101,Cousin,marol101
dalld101,Uncle,gernd101
dalyj101,Brother,dalyt101
dankj001,Brother,dankj002
dannh101,Brother,danni101
daric101,Brother,darir101
darnc001,Brother,darnt001
darrm101,Father,darrm001
darwd001,Brother,darwj001
davaj101,Father,davaj001
davay101,Brother,davav101
davec101,Brother,daved101
davib101,Cousin,housa001
davij001,Cousin,daviw001
davim002,Brother,davim004
davir001,Father,davii001
daviw102,Father,anthe001
dawsj101,Brother,dawsr101
deand102,Brother,deanp101
deann101,Father,deanb102
deasj101,Brother,deasp101
dejei001,Father,dejei002
delae101,Brother,delaf101
delae101,Brother,delaj102
delae101,Brother,delaj103
delae101,Brother,delat101
delaf101,Brother,delaj102
delaf101,Brother,delaj103
delaf101,Brother,delat101
delaj101,Step Father,bautd001
delaj102,Brother,delat101
delaj103,Brother,delaj102
delaj103,Brother,delat101
demes101,Grandfather,dietd001
demog101,Brother,demol101
dempr001,Uncle,zaung001
denno101,Uncle,bourc101
dents101,Grandfather,porcr001
deshd001,Father,deshd002
dever001,Cousin,devej001
diaza004,Brother,diaze006
dickg101,Brother,dickb101
dillj101,Brother,dillp102
dills101,Father,dillt001
dimad101,Brother,dimaj101
dimad101,Brother,dimav101
dimaj101,Brother,dimav101
dimul901,Father,dimum901
dimul901,Father,dimur901
dimum901,Brother,dimur901
dinek101,Cousin,hendk101
dixop101,Brother,dixor101
donaj103,Brother,donap101
donne101,Grandfather,cosaj001
donoj101,Brother,donot102
dorgj101,Brother,dorgm101
dosch101,Father,doscj101
downd101,Brother,downk001
doylb101,Brother,doylb801
doylb101,Brother,doyld102
doyld102,Brother,doylb801
drabd001,Father,drabk001
draks102,Brother,draks101
drewj001,Brother,drews001
drewj001,Brother,drewt001
drewt001,Brother,drews001
dried001,Uncle,perrg001
ducer101,Brother,ducye101
dugae101,Brother,dugab101
duncc002,Brother,duncs001
duncd101,Father,duncc002
duncd101,Father,duncs001
duncf102,Father,duncf103
dunnd001,Brother,dunnj001
durol101,Cousin,duroj001
dykhr001,Cousin,ponss001
ecksd001,Brother,ecksr801
edwad101,Brother,edwam101
edwad101,Brother,edwam102
edwam102,Brother,edwam101
edwat101,Father,edwaw101
ellir001,Father,ellid003
ellsd101,Father,ellss001
ens-m101,Brother,ens-j101
eraue101,Brother,erauj101
eschj101,Father,eschl101
escoa003,Cousin,acunl001
escoa003,Cousin,acunr001
escoa003,Cousin,campv001
escoa003,Cousin,escoe002
escoa003,Cousin,escok001
escoe002,Cousin,acunl001
escoe002,Cousin,acunr001
escoe002,Cousin,campv001
escoj001,Father,escoe002
escoj001,Uncle,acunl001
escoj001,Uncle,acunr001
escoj001,Uncle,campv001
escoj001,Uncle,escoa003
escoj001,Uncle,escok001
escok001,Cousin,acunl001
escok001,Cousin,acunr001
escok001,Cousin,campv001
escok001,Cousin,escoe002
estab101,Grandfather,estab001
everj102,Brother,everj101
evert101,Uncle,everj101
evert101,Uncle,everj102
ewinj101,Brother,ewinb101
eyres001,Brother,eyrew001
faeda001,Cousin,faedl001
faheb101,Father,faheb001
falcp001,Cousin,pignj101
falkb101,Brother,falkc102
farmh001,Brother,farmm001
farrj001,Father,farrl001
farrt101,Father,dotsr001
fellb101,Cousin,mandh101
fernr101,Brother,fernj101
ferrc101,Brother,ferrj101
ferrr101,Brother,ferrw101
fialg101,Brother,fialt101
fielb001,Father,field001
fielc001,Father,fielp001
fielj102,Brother,fiels101
figub001,Father,figuc001
finnh101,Brother,finnl101
fishc103,Brother,fisht102
fishn101,Brother,fisht103
fitzm002,Father,fitzt001
fletd002,Brother,fletd003
flets001,Cousin,barrm003
flets001,Father-in-Law,beckg001
flett101,Father,fletd001
florr001,Brother,florr002
flyne101,Brother,flyng101
folet101,Brother,folew101
fordg101,Brother,fordr101
fordt102,Grandfather,fordd002
foref101,Brother,foreb101
forsk001,Brother,forsb001
fostr105,Half Brother,fostw101
foutd101,Brother,foutf101
fowlj101,Brother,fowla101
franj001,Related To,pignj101
frant101,Father,frant001
frazj001,Brother,frazt001
freeg102,Brother,freeg101
friep102,Brother,frieb103
fullh101,Brother,fulls101
fulmc102,Brother,fulmw101
gabrl101,Father,gabrl102
gaglp101,Brother,gaglr101
gallm001,Uncle,barna001
gamem001,Brother,gameb001
ganzc101,Brother,ganzj101
ganzc101,Father,ganzb101
ganzj101,Uncle,ganzb101
garbm101,Brother,garbb102
garca005,Brother,garca004
garcd801,Grandfather,garcg002
garcl002,Father,garcl006
garcr901,Father-in-Law,carav901
garda104,Brother,gardd101
garra101,Brother,garrw101
garvn102,Uncle,bereb001
gasta101,Brother,gastm101
gay-h101,Brother,gay-w101
gehrc101,Cousin,smolj001
gehrc101,Related To,parsc001
geise101,Brother,geisb101
genth101,Brother,gentr101
giamj001,Brother,giamj002
gibbw101,Brother,gibbj103
gibsj101,Brother,gibsj102
gibsj101,Brother,gibsj102
gilbc101,Brother,gilbt101
gilbh101,Brother,gilbj102
gilbl101,Father,gilbc101
gilbl101,Father,gilbt101
gileb002,Brother,gilem001
glavt001,Brother,glavm001
gleah101,Brother,gleak101
gleaj102,Brother,gleab102
glenh103,Brother,glens101
goede001,Brother,goedt001
gonza003,Brother,gonze003
gonze101,Brother,gonzm101
goodd001,Uncle,shefg001
gordn001,Brother,gordd002
gordt001,Father,gordd002
gordt001,Father,gordn001
gormt101,Father,gormb901
gotaj101,Uncle,gotar001
graba101,Brother,grabr101
grahp101,Father,grahj101
granj101,Uncle,browd004
gravj101,Brother,gravs101
greef101,Father,greeg001
greem001,Uncle,terdj001
gregd101,Brother,gregv101
griet101,Father,grieb001
grifb101,Grandfather,willm003
grifc101,Uncle,robes102
grifk001,Father,grifk002
grigw101,Brother,griga102
grils101,Father,grilj001
grimr102,Father,grimr101
grimr103,Father,grimo101
grimr104,Brother,grimr103
grimr104,Uncle,grimo101
grisl101,Brother,grism101
grism101,Uncle,davij103
grohh101,Brother,grohl101
grosd101,Uncle,benzt001
guere801,Brother,guerm101
guere801,Father,guerm801
guerg001,Cousin,guerv002
guerv001,Brother,guerw001
guerv001,Father,guerv002
guerv001,Uncle,guerg001
guerw001,Uncle,guerg001
guerw001,Uncle,guerv002
gugla901,Step Father,tatat901
guilf101,Brother,guilj101
gumba101,Brother,gumbb101
gurrl001,Brother,gurry001
guthm001,Father,guthd001
guttd101,Cousin,muelr101
gwync001,Uncle,gwynt002
gwynt001,Brother,gwync001
gwynt001,Father,gwynt002
haase101,Cousin,roofg101
haase101,Cousin,roofp101
hackm101,Brother,hackw101
hackw102,Uncle,hackr101
hafeb101,Brother,hafet101
hafec101,Cousin,hafeb101
hafec101,Cousin,hafet101
hairj001,Brother,hairj101
hairj001,Father,hairj002
hairj001,Father,hairs001
hairj002,Brother,hairs001
hairj101,Uncle,hairj002
hairj101,Uncle,hairs001
hairs101,Father,hairj001
hairs101,Father,hairj101
