"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"CAG194208201","CCB","CAG","RCI01","19420820","1","","night","","","","","","","","","","","","","","","","","","","","","cornw101","westo102","","regular","5","4","CCB","CAG","y","both","y","y","1942"
"CI2194306120","MEM","CI2","RCI01","19430612","0","","day","","","","","","","","","","","","","","","","","","","","","","","","regular","7","6","MEM","CI2","y","","","","1943"
"CI2194306170","BIR","CI2","RCI01","19430617","0","","night","","","","","","350","","","","","","","","","","","","","","","davip103","gipsa101","","regular","5","7","CI2","BIR","y","both","y","y","1943"
"IN9194607010","CAG","IN9","RCI01","19460701","0","","","","","","","123","2061","","","","","","","","","","","","","","","henrp101","rhodh101","","regular","2","3","IN9","CAG","y","both","y","y","1946"
"IN9194607090","CCR","IN9","RCI01","19460709","0","","night","","","","","","3222","","","","","","","","","","","","","","","napol101","","markj101","exhibition","6","3","CCR","IN9","y","both","","","1946"
"CAG194608190","CCR","CAG","RCI01","19460819","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","7","CAG","CCR","y","","","","1946"
"KCM194609040","HOM","KCM","RCI01","19460904","0","","","","","","","","","","","","","","","","","","","","","","","walkr103","wylis101","","exhibition","9","4","HOM","KCM","y","both","","","1946"
"ASF194610100","ASP","ASF","RCI01","19461010","0","0:00PM","day","","","false","","113","2280","unknown","unknown","unknown","0","unknown","-1","","","elkiu901","wissu901","","mcbru901","","","leond103","browb107","","exhibition","5","7","ASF","ASP","y","both","y","y","1946"
"IN9194707010","KCM","IN9","RCI01","19470701","0","","night","","","","","","1316","","","","","","","","","","","","","","","quint103","","","regular","8","9","IN9","KCM","y","both","","","1947"
"IN9194808240","NY5","IN9","RCI01","19480824","0","","night","","","","","","2479","","","","","","","","","","","","","","","godim101","vierc101","","exhibition","2","7","IN9","NY5","y","both","","","1948"
