"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"KCM194004160","IN8","KCM","FTW01","19400416","0","","night","","","","","","1600","","","","","","","","","","","","","","","","","","exhibition","6","1","IN8","KCM","y","both","","","1940"
"MEM194404170","CAG","MEM","FTW01","19440417","0","","night","","","","","","2700","","","","","","","","","","","","","","","chate101","westo102","","exhibition","2","3","MEM","CAG","y","both","","","1944"
"MEM194404180","CAG","MEM","FTW01","19440418","0","8:15pm","night","","","","","","","","","","","","","","","","","","","","","","brooj103","","exhibition","2","8","MEM","CAG","y","both","","","1944"
"CIA194404210","KCM","CIA","FTW01","19440421","0","","night","","","","","","","","","","","","","","","","","","","","","bumpe101","","","exhibition","12","1","KCM","CIA","y","","","","1944"
"MEM194405020","KCM","MEM","FTW01","19440502","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","1","KCM","MEM","y","","","","1944"
"BIR194406210","MEM","BIR","FTW01","19440621","0","","","","","","","","3500","","","","","","","","","goodw901","","","","","","","","","regular","1","7","BIR","MEM","","","","","1944"
"MEM194406280","CIA","MEM","FTW01","19440628","0","","night","","","","","","","","","","","","","","","","","","","","","willj112","mossp101","","regular","8","0","CIA","MEM","y","both","","","1944"
"MEM194407260","CAG","MEM","FTW01","19440726","0","","night","","","","","","","","","","","","","","","","","","","","","suttl101","hutcw101","","regular","8","4","CAG","MEM","y","both","","","1944"
"KCM194408160","BIR","KCM","FTW01","19440816","0","","night","","","","","","","","","","","","","","","","","","","","","","","","regular","8","9","KCM","BIR","y","both","","","1944"
"KCM194409130","CIA","KCM","FTW01","19440913","0","","night","","","","","","4000","","","","","","","","","","","","","","","medil101","lamaj102","","exhibition","7","1","CIA","KCM","y","both","","","1944"
"KCM194409150","CIA","KCM","FTW01","19440915","0","","night","","","","","","5500","","","","","","","","","","","","","","","paigs101","","","exhibition","1","3","KCM","CIA","","","","","1944"
"CVB194410040","CAG","CVB","FTW01","19441004","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","0","2","CVB","CAG","","","","","1944"
"MEM194410060","BLG","MEM","FTW01","19441006","0","","","","","","","","3000","","","","","","","","","","","","","","","campr102","","","exhibition","4","2","BLG","MEM","","","","","1944"
"KCM194504040","CAG","KCM","FTW01","19450404","0","","night","","","","","","1000","","","","","","","","","","","","","","","","","","exhibition","3","2","CAG","KCM","","","","","1945"
"CVB194504130","NY6","CVB","FTW01","19450413","0","","night","","","","","","3000","","","","","","","","","","","","","","","daudu101","gulln101","","exhibition","9","5","NY6","CVB","y","both","","","1945"
"CAG194504160","CVB","CAG","FTW01","19450416","0","","","","","","","","","","","","","","","","","","","","","","","fincr101","westo102","hardl104","exhibition","12","9","CVB","CAG","y","both","","","1945"
"CVB194504240","CAG","CVB","FTW01","19450424","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","8","1","CAG","CVB","y","both","","","1945"
