"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"CV9194003240","SNO","CV9","JKV01","19400324","0","","day","","","","","","2837","","","","","","","","","","","","","","","sarva101","armsj101","","exhibition","4","6","CV9","SNO","y","both","y","y","1940"
"CV9194003310","SNO","CV9","JKV01","19400331","0","","day","","","","","","","","","","","","","","","","","","","","","owens101","deanr101","","exhibition","3","4","CV9","SNO","y","both","y","y","1940"
"CV9194004150","HOM","CV9","JKV01","19400415","0","","night","","","","","","","","","","","","","","","","","","","","","walke103","","","exhibition","14","8","HOM","CV9","y","both","","","1940"
"CV9194004160","HOM","CV9","JKV01","19400416","0","","night","","","","","195","","","","","","","","","","","","","","","","","whitc104","","exhibition","10","9","HOM","CV9","y","both","","","1940"
"CV9194004170","NW2","CV9","JKV01","19400417","0","","","","","","","","","","","","","","","","","","","","","","","sarva101","hookl101","","exhibition","4","8","CV9","NW2","y","both","y","y","1940"
"JAX194104060","KCM","JAX","JKV01","19410406","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","10","JAX","KCM","","","","","1941"
"JAX194104140","KCM","JAX","JKV01","19410414","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","2","","","","","","","1941"
"JAX194104270","SNO","JAX","JKV01","19410427","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","1","1","","","","","","","1941"
"JAX194106151","MEM","JAX","JKV01","19410615","1","","","","","","","","","","","","","","","","","","","","","","","","","","regular","7","2","MEM","JAX","","","","","1941"
"JAX194106152","MEM","JAX","JKV01","19410615","2","","","7","","","","","","","","","","","","","","","","","","","","","","","regular","0","2","JAX","MEM","","","","","1941"
"JAX194107010","BIR","JAX","JKV01","19410701","0","","night","","","","","","","","","","","","","","","","","","","","","markj101","sarva101","","regular","7","4","BIR","JAX","y","both","","","1941"
"JAX194107020","BIR","JAX","JKV01","19410702","0","","","","","","","","","","","","","","","","","","","","","","","henrp101","gipsa101","","regular","4","5","JAX","BIR","y","both","","","1941"
