ID,last,first
andre101,Andrews,Ed
bettw901,Betts,William
brenj901,Brennan,Jack
browt102,Brown,Tom
burno101,Burns,Oyster
colgh901,Colgan,Harry
connt901,Connolly,Tommy
dwyef101,Dwyer,Frank
emslb101,Emslie,Bob
gaffj801,Gaffney,John
gardj101,Gardner,Jim
huntj901,Hunt,John
kittm101,Kittridge,Malachi
latha101,Latham,Arlie
lynct901,Lynch,Tom
manna901,Mannassau,Al
mcals101,McAllister,Sport
mcdoj105,McDonald,Jim
mcgac101,McGarr,Chippy
odayh101,O'Day,Hank
smitb901,Smith,Billy
snydp101,Snyder,Pop
sware101,Swartwood,Ed
taylj102,Taylor,Jack
vaugf101,Vaughn,Farmer
warna901,Warner,Al
weyhg101,Weyhing,Gus
wilsp102,Wilson,Parke
wilsz101,Wilson,Zeke
