Date,Num,Day,Visitor,League,Game,Home,League,Game,Day/Night,Postponed,Makeup
"19590409","0","Thu","PIT","NL",1,"CIN","NL",1,"D","",""
"19590409","0","Thu","BAL","AL",1,"WS1","AL",1,"D","",""
"19590410","0","Fri","LAN","NL",1,"CHN","NL",1,"D","Snow","19590704"
"19590410","0","Fri","CHA","AL",1,"DET","AL",1,"D","",""
"19590410","0","Fri","CLE","AL",1,"KC1","AL",1,"D","",""
"19590410","0","Fri","BOS","AL",1,"NYA","AL",1,"D","Rain","19590527"
"19590410","0","Fri","CIN","NL",2,"PHI","NL",1,"N","",""
"19590410","0","Fri","MLN","NL",1,"PIT","NL",2,"D","",""
"19590410","0","Fri","SFN","NL",1,"SLN","NL",1,"N","",""
"19590411","0","Sat","LAN","NL",2,"CHN","NL",2,"D","",""
"19590411","0","Sat","CHA","AL",2,"DET","AL",2,"D","",""
"19590411","0","Sat","CLE","AL",2,"KC1","AL",2,"D","",""
"19590411","0","Sat","BOS","AL",2,"NYA","AL",2,"D","Rain","19590708"
"19590411","0","Sat","CIN","NL",3,"PHI","NL",2,"D","Rain","19590702"
"19590411","0","Sat","MLN","NL",2,"PIT","NL",3,"D","",""
"19590411","0","Sat","SFN","NL",2,"SLN","NL",2,"N","",""
"19590411","0","Sat","BAL","AL",2,"WS1","AL",2,"D","Rain","19590709"
"19590412","0","Sun","LAN","NL",3,"CHN","NL",3,"D","",""
"19590412","0","Sun","CHA","AL",3,"DET","AL",3,"D","",""
"19590412","0","Sun","CLE","AL",3,"KC1","AL",3,"D","Rain","19590810"
"19590412","0","Sun","BOS","AL",3,"NYA","AL",3,"D","",""
"19590412","1","Sun","CIN","NL",4,"PHI","NL",3,"D","Rain","19590814"
"19590412","2","Sun","CIN","NL",5,"PHI","NL",4,"D","Rain","19590922"
"19590412","0","Sun","MLN","NL",3,"PIT","NL",4,"D","Snow","19590816"
"19590412","0","Sun","SFN","NL",3,"SLN","NL",3,"D","",""
"19590412","1","Sun","BAL","AL",3,"WS1","AL",3,"D","Rain","19590507"
"19590412","2","Sun","BAL","AL",4,"WS1","AL",4,"D","Rain","19590511"
"19590414","0","Tue","NYA","AL",4,"BAL","AL",5,"D","",""
"19590414","0","Tue","WS1","AL",5,"BOS","AL",4,"D","",""
"19590414","0","Tue","KC1","AL",4,"CHA","AL",4,"D","",""
"19590414","0","Tue","PIT","NL",5,"CIN","NL",6,"N","",""
"19590414","0","Tue","DET","AL",4,"CLE","AL",4,"D","",""
"19590414","0","Tue","SLN","NL",4,"LAN","NL",4,"N","",""
"19590414","0","Tue","PHI","NL",5,"MLN","NL",4,"D","",""
"19590414","0","Tue","CHN","NL",4,"SFN","NL",4,"D","",""
"19590415","0","Wed","NYA","AL",5,"BAL","AL",6,"N","",""
"19590415","0","Wed","WS1","AL",6,"BOS","AL",5,"D","",""
"19590415","0","Wed","KC1","AL",5,"CHA","AL",5,"D","",""
"19590415","0","Wed","PIT","NL",6,"CIN","NL",7,"D","",""
"19590415","0","Wed","DET","AL",5,"CLE","AL",5,"D","",""
"19590415","0","Wed","SLN","NL",5,"LAN","NL",5,"N","",""
"19590415","0","Wed","CHN","NL",5,"SFN","NL",5,"N","",""
"19590416","0","Thu","NYA","AL",6,"BAL","AL",7,"D","",""
"19590416","0","Thu","WS1","AL",7,"BOS","AL",6,"D","",""
"19590416","0","Thu","KC1","AL",6,"CHA","AL",6,"D","",""
"19590416","0","Thu","SLN","NL",6,"LAN","NL",6,"N","",""
