ID,last,first
barnl901,Barnett,Larry
bonig901,Bonin,Greg
brinj901,Brinkman,Joe
brocf901,Brocklander,Fred
cedeg901,Cederstrom,Gary
clara901,Clark,Al
cobld901,Coble,Drew
coont901,Cooney,Terry
cousd901,Cousins,Derryl
craft901,Craft,Terry
crawj901,Crawford,Jerry
darlg901,Darling,Gary
davib902,Davidson,Bob
davig901,Davis,Gerry
demud901,DeMuth,Dana
denkd901,Denkinger,Don
engeb901,Engel,Bob
evanj901,Evans,Jim
fordd901,Ford,Dale
froeb901,Froemming,Bruce
garcr901,Garcia,Rich
grege901,Gregg,Eric
hallt901,Hallion,Tom
harvd901,Harvey,Doug
hendt901,Hendry,Ted
hirsj901,Hirschbeck,John
hirsm901,Hirschbeck,Mark
hohnb901,Hohn,Bill
johnm901,Johnson,Mark
joycj901,Joyce,Jim
kaisk901,Kaiser,Ken
kiblj901,Kibler,John
koscg901,Kosc,Greg
laynj901,Layne,Jerry
marsr901,Marsh,Randy
mcclt901,McClelland,Tim
mccol901,McCoy,Larry
mckej901,McKean,Jim
mcshj901,McSherry,John
meric901,Meriwether,Chuck
merrd901,Merrill,Durwood
monte901,Montague,Ed
morrd901,Morrison,Dan
pales901,Palermo,Steve
phild901,Phillips,Dave
pullf901,Pulli,Frank
quicj901,Quick,Jim
reedr901,Reed,Rick
reilm901,Reilly,Mike
relic901,Reliford,Charlie
rennd901,Rennert,Dutch
ripps901,Rippley,Steve
roe-r901,Roe,Rocky
rungp901,Runge,Paul
scotd901,Scott,Dale
shulj901,Shulock,John
tatat901,Tata,Terry
tscht901,Tschida,Tim
voltv901,Voltaggio,Vic
welkt901,Welke,Tim
wendh901,Wendelstedt,Harry
westj901,West,Joe
willc901,Williams,Charlie
wintm901,Winters,Mike
younl901,Young,Larry
