Date,Num,Day,Visitor,League,Game,Home,League,Game,Day/Night,Postponed,Makeup
"18790501","0","Thu","BSN","NL",1,"BFN","NL",1,"D","",""
"18790501","0","Thu","SR1","NL",1,"CHN","NL",1,"D","",""
"18790501","0","Thu","PRO","NL",1,"CL2","NL",1,"D","",""
"18790501","0","Thu","TRN","NL",1,"CN1","NL",1,"D","",""
"18790502","0","Fri","BSN","NL",2,"BFN","NL",2,"D","",""
"18790502","0","Fri","SR1","NL",2,"CHN","NL",2,"D","",""
"18790502","0","Fri","PRO","NL",2,"CL2","NL",2,"D","",""
"18790502","0","Fri","TRN","NL",2,"CN1","NL",2,"D","",""
"18790503","0","Sat","BSN","NL",3,"BFN","NL",3,"D","",""
"18790503","0","Sat","SR1","NL",3,"CHN","NL",3,"D","Rain","18790505"
"18790503","0","Sat","PRO","NL",3,"CL2","NL",3,"D","",""
"18790503","0","Sat","TRN","NL",3,"CN1","NL",3,"D","",""
"18790506","0","Tue","PRO","NL",4,"BFN","NL",4,"D","",""
"18790506","0","Tue","TRN","NL",4,"CHN","NL",4,"D","",""
"18790506","0","Tue","BSN","NL",4,"CL2","NL",4,"D","",""
"18790506","0","Tue","SR1","NL",4,"CN1","NL",4,"D","",""
"18790508","0","Thu","PRO","NL",5,"BFN","NL",5,"D","",""
"18790508","0","Thu","TRN","NL",5,"CHN","NL",5,"D","",""
"18790508","0","Thu","BSN","NL",5,"CL2","NL",5,"D","",""
"18790508","0","Thu","SR1","NL",5,"CN1","NL",5,"D","",""
"18790510","0","Sat","PRO","NL",6,"BFN","NL",6,"D","",""
"18790510","0","Sat","TRN","NL",6,"CHN","NL",6,"D","",""
"18790510","0","Sat","BSN","NL",6,"CL2","NL",6,"D","",""
"18790510","0","Sat","SR1","NL",6,"CN1","NL",6,"D","",""
"18790513","0","Tue","TRN","NL",7,"BFN","NL",7,"D","",""
"18790513","0","Tue","PRO","NL",7,"CHN","NL",7,"D","",""
"18790513","0","Tue","SR1","NL",7,"CL2","NL",7,"D","",""
"18790513","0","Tue","BSN","NL",7,"CN1","NL",7,"D","",""
"18790515","0","Thu","TRN","NL",8,"BFN","NL",8,"D","Unknown reason","18790516"
"18790515","0","Thu","PRO","NL",8,"CHN","NL",8,"D","",""
"18790515","0","Thu","SR1","NL",8,"CL2","NL",8,"D","Train problems; No makeup played",""
"18790515","0","Thu","BSN","NL",8,"CN1","NL",8,"D","",""
"18790517","0","Sat","TRN","NL",9,"BFN","NL",9,"D","",""
"18790517","0","Sat","PRO","NL",9,"CHN","NL",9,"D","",""
"18790517","0","Sat","SR1","NL",9,"CL2","NL",9,"D","",""
"18790517","0","Sat","BSN","NL",9,"CN1","NL",9,"D","",""
"18790520","0","Tue","SR1","NL",10,"BFN","NL",10,"D","",""
"18790520","0","Tue","BSN","NL",10,"CHN","NL",10,"D","",""
"18790520","0","Tue","TRN","NL",10,"CL2","NL",10,"D","",""
"18790520","0","Tue","PRO","NL",10,"CN1","NL",10,"D","",""
"18790522","0","Thu","SR1","NL",11,"BFN","NL",11,"D","",""
"18790522","0","Thu","BSN","NL",11,"CHN","NL",11,"D","",""
"18790522","0","Thu","TRN","NL",11,"CL2","NL",11,"D","",""
"18790522","0","Thu","PRO","NL",11,"CN1","NL",11,"D","",""
"18790524","0","Sat","SR1","NL",12,"BFN","NL",12,"D","",""
"18790524","0","Sat","BSN","NL",12,"CHN","NL",12,"D","",""
"18790524","0","Sat","TRN","NL",12,"CL2","NL",12,"D","",""
"18790524","0","Sat","PRO","NL",12,"CN1","NL",12,"D","",""
"18790528","0","Wed","CHN","NL",13,"BSN","NL",13,"D","",""
"18790528","0","Wed","BFN","NL",13,"PRO","NL",13,"D","",""
"18790528","0","Wed","CL2","NL",13,"SR1","NL",13,"D","",""
"18790528","0","Wed","CN1","NL",13,"TRN","NL",13,"D","",""
"18790530","0","Fri","CHN","NL",14,"BSN","NL",14,"D","",""
"18790530","0","Fri","BFN","NL",14,"PRO","NL",14,"D","",""
"18790530","0","Fri","CL2","NL",14,"SR1","NL",14,"D","",""
"18790530","0","Fri","CN1","NL",14,"TRN","NL",14,"D","",""
"18790531","0","Sat","CHN","NL",15,"BSN","NL",15,"D","",""
"18790531","0","Sat","BFN","NL",15,"PRO","NL",15,"D","",""
"18790531","0","Sat","CL2","NL",15,"SR1","NL",15,"D","",""
"18790531","0","Sat","CN1","NL",15,"TRN","NL",15,"D","",""
"18790603","0","Tue","BFN","NL",16,"BSN","NL",16,"D","Rain","18790606"
"18790603","0","Tue","CHN","NL",16,"PRO","NL",16,"D","Rain","18790606"
"18790603","0","Tue","CN1","NL",16,"SR1","NL",16,"D","Rain","18790604"
"18790603","0","Tue","CL2","NL",16,"TRN","NL",16,"D","Rain","18790905"
"18790605","0","Thu","BFN","NL",17,"BSN","NL",17,"D","Rain","18790609"
"18790605","0","Thu","CHN","NL",17,"PRO","NL",17,"D","",""
"18790605","0","Thu","CN1","NL",17,"SR1","NL",17,"D","",""
"18790605","0","Thu","CL2","NL",17,"TRN","NL",17,"D","",""
"18790607","0","Sat","BFN","NL",18,"BSN","NL",18,"D","",""
"18790607","0","Sat","CHN","NL",18,"PRO","NL",18,"D","",""
"18790607","0","Sat","CN1","NL",18,"SR1","NL",18,"D","",""
"18790607","0","Sat","CL2","NL",18,"TRN","NL",18,"D","",""
"18790610","0","Tue","CL2","NL",19,"BSN","NL",19,"D","",""
"18790610","0","Tue","CN1","NL",19,"PRO","NL",19,"D","",""
"18790610","0","Tue","BFN","NL",19,"SR1","NL",19,"D","Unknown reason","18790611"
"18790610","0","Tue","CHN","NL",19,"TRN","NL",19,"D","",""
