Date,Num,Day,Visitor,League,Game,Home,League,Game,Day/Night,Postponed,Makeup
"18840417","0","Thu","ALT","UA",1,"CNU","UA",1,"D","",""
"18840417","0","Thu","BSU","UA",1,"PHU","UA",1,"D","",""
"18840417","0","Thu","BLU","UA",1,"WSU","UA",1,"D","Site change","18840417"
"18840418","0","Fri","ALT","UA",2,"CNU","UA",2,"D","",""
"18840418","0","Fri","BSU","UA",2,"PHU","UA",2,"D","",""
"18840418","0","Fri","BLU","UA",2,"WSU","UA",2,"D","",""
"18840419","0","Sat","ALT","UA",3,"CNU","UA",3,"D","",""
"18840419","0","Sat","BSU","UA",3,"PHU","UA",3,"D","",""
"18840419","0","Sat","CHU","UA",1,"SLU","UA",1,"D","Rain","18840620"
"18840419","0","Sat","BLU","UA",3,"WSU","UA",3,"D","",""
"18840420","0","Sun","ALT","UA",4,"CNU","UA",4,"D","Unknown reason; No makeup played",""
"18840420","0","Sun","CHU","UA",2,"SLU","UA",2,"D","",""
"18840421","0","Mon","BSU","UA",4,"PHU","UA",4,"D","",""
"18840421","0","Mon","CHU","UA",3,"SLU","UA",3,"D","Unknown reason","18840621"
"18840421","0","Mon","BLU","UA",4,"WSU","UA",4,"D","Site change","18840421"
"18840423","0","Wed","BLU","UA",5,"PHU","UA",5,"D","Unknown reason","18840422"
"18840423","0","Wed","CHU","UA",4,"SLU","UA",4,"D","Unknown reason","18840622"
"18840423","0","Wed","BSU","UA",5,"WSU","UA",5,"D","",""
"18840424","0","Thu","CHU","UA",5,"CNU","UA",5,"D","Unknown reason","18840429"
"18840424","0","Thu","BLU","UA",6,"PHU","UA",6,"D","",""
"18840424","0","Thu","ALT","UA",5,"SLU","UA",5,"D","",""
"18840424","0","Thu","BSU","UA",6,"WSU","UA",6,"D","",""
"18840425","0","Fri","BLU","UA",7,"PHU","UA",7,"D","Rain","18840723"
"18840425","0","Fri","BSU","UA",7,"WSU","UA",7,"D","Unknown reason","18840721"
"18840426","0","Sat","CHU","UA",6,"CNU","UA",6,"D","",""
"18840426","0","Sat","BLU","UA",8,"PHU","UA",8,"D","",""
"18840426","0","Sat","ALT","UA",6,"SLU","UA",6,"D","",""
"18840426","0","Sat","BSU","UA",8,"WSU","UA",8,"D","",""
"18840427","0","Sun","CHU","UA",7,"CNU","UA",7,"D","",""
"18840427","0","Sun","ALT","UA",7,"SLU","UA",7,"D","",""
"18840428","0","Mon","CHU","UA",8,"CNU","UA",8,"D","",""
"18840428","0","Mon","ALT","UA",8,"SLU","UA",8,"D","",""
"18840430","0","Wed","SLU","UA",9,"ALT","UA",9,"D","",""
"18840430","0","Wed","PHU","UA",9,"BSU","UA",9,"D","",""
"18840501","0","Thu","NY4","AA",1,"BL2","AA",1,"D","",""
"18840501","0","Thu","BFN","NL",1,"BSN","NL",1,"D","",""
"18840501","0","Thu","CNU","UA",9,"CHU","UA",9,"D","Unknown reason","18840505"
"18840501","0","Thu","CL5","AA",1,"CN2","AA",1,"D","",""
"18840501","0","Thu","TL1","AA",1,"LS2","AA",1,"D","",""
"18840501","0","Thu","CHN","NL",1,"NY1","NL",1,"D","",""
"18840501","0","Thu","DTN","NL",1,"PHI","NL",1,"D","",""
"18840501","0","Thu","CL2","NL",1,"PRO","NL",1,"D","",""
"18840501","0","Thu","PH4","AA",1,"PT1","AA",1,"D","",""
"18840501","0","Thu","IN2","AA",1,"SL4","AA",1,"D","",""
"18840501","0","Thu","BR3","AA",1,"WS7","AA",1,"D","",""
"18840502","0","Fri","SLU","UA",10,"ALT","UA",10,"D","",""
"18840502","0","Fri","NY4","AA",2,"BL2","AA",2,"D","",""
"18840502","0","Fri","WSU","UA",9,"BLU","UA",9,"D","Unknown reason","18840428"
"18840502","0","Fri","BFN","NL",2,"BSN","NL",2,"D","",""
"18840502","0","Fri","PHU","UA",10,"BSU","UA",10,"D","",""
"18840502","0","Fri","CNU","UA",10,"CHU","UA",10,"D","",""
"18840502","0","Fri","CL5","AA",2,"CN2","AA",2,"D","",""
"18840502","0","Fri","TL1","AA",2,"LS2","AA",2,"D","",""
"18840502","0","Fri","CHN","NL",2,"NY1","NL",2,"D","",""
"18840502","0","Fri","DTN","NL",2,"PHI","NL",2,"D","",""
"18840502","0","Fri","CL2","NL",2,"PRO","NL",2,"D","",""
"18840502","0","Fri","PH4","AA",2,"PT1","AA",2,"D","",""
"18840502","0","Fri","IN2","AA",2,"SL4","AA",2,"D","",""
"18840502","0","Fri","BR3","AA",2,"WS7","AA",2,"D","",""
"18840503","0","Sat","SLU","UA",11,"ALT","UA",11,"D","",""
"18840503","0","Sat","NY4","AA",3,"BL2","AA",3,"D","",""
"18840503","0","Sat","WSU","UA",10,"BLU","UA",10,"D","Site change","18840503"
"18840503","0","Sat","CL2","NL",3,"BSN","NL",3,"D","",""
"18840503","0","Sat","PHU","UA",11,"BSU","UA",11,"D","",""
"18840503","0","Sat","CNU","UA",11,"CHU","UA",11,"D","",""
"18840503","0","Sat","CL5","AA",3,"CN2","AA",3,"D","",""
